51 0 AP890908-0222    1 17.06233 BM25_short 
68 0 AP891214-0202  424 6.19922 BM25_short 
68 0 AP890407-0315  425 6.18544 BM25_short 
68 0 AP890306-0314  426 6.17886 BM25_short 
68 0 AP890324-0090  427 6.17886 BM25_short 
68 0 AP890207-0203  428 6.15121 BM25_short 
68 0 AP890614-0082  429 6.15121 BM25_short 
68 0 AP890713-0062  430 6.15121 BM25_short 
68 0 AP890729-0018  431 6.15121 BM25_short 
68 0 AP890928-0118  432 6.15121 BM25_short 
68 0 AP891020-0066  433 6.15121 BM25_short 
68 0 AP891203-0053  434 6.15121 BM25_short 
68 0 AP890731-0211  435 6.14543 BM25_short 
68 0 AP891111-0123  436 6.14543 BM25_short 
68 0 AP890814-0124  437 6.13628 BM25_short 
68 0 AP891018-0075  438 6.13628 BM25_short 
68 0 AP891128-0028  439 6.13628 BM25_short 
68 0 AP890818-0098  440 6.13440 BM25_short 
68 0 AP890909-0129  441 6.13440 BM25_short 
68 0 AP890914-0003  442 6.13440 BM25_short 
68 0 AP890530-0161  443 6.13387 BM25_short 
68 0 AP890707-0159  444 6.13387 BM25_short 
68 0 AP891122-0267  445 6.12940 BM25_short 
68 0 AP890209-0119  446 6.12842 BM25_short 
68 0 AP890314-0272  447 6.12842 BM25_short 
68 0 AP890705-0212  448 6.12842 BM25_short 
68 0 AP890727-0198  449 6.12472 BM25_short 
68 0 AP890920-0029  450 6.11996 BM25_short 
68 0 AP890111-0013  451 6.11879 BM25_short 
68 0 AP890121-0161  452 6.11662 BM25_short 
68 0 AP890313-0085  453 6.11306 BM25_short 
68 0 AP890419-0185  454 6.11306 BM25_short 
68 0 AP890610-0077  455 6.11306 BM25_short 
68 0 AP890228-0188  456 6.09988 BM25_short 
68 0 AP890509-0183  457 6.09767 BM25_short 
68 0 AP890510-0172  458 6.09767 BM25_short 
68 0 AP890510-0204  459 6.09767 BM25_short 
68 0 AP891103-0139  460 6.09767 BM25_short 
68 0 AP891210-0006  461 6.07877 BM25_short 
68 0 AP890508-0240  462 6.07648 BM25_short 
68 0 AP890218-0008  463 6.07641 BM25_short 
68 0 AP890218-0024  464 6.07641 BM25_short 
68 0 AP890223-0124  465 6.07641 BM25_short 
68 0 AP890508-0168  466 6.07641 BM25_short 
68 0 AP890527-0045  467 6.07641 BM25_short 
68 0 AP890529-0130  468 6.07641 BM25_short 
68 0 AP890621-0215  469 6.07641 BM25_short 
68 0 AP890320-0248  470 6.06952 BM25_short 
68 0 AP890424-0168  471 6.06952 BM25_short 
68 0 AP891108-0029  472 6.06952 BM25_short 
68 0 AP891117-0108  473 6.06952 BM25_short 
68 0 AP891213-0104  474 6.06841 BM25_short 
68 0 AP890504-0142  475 6.05230 BM25_short 
68 0 AP890608-0169  476 6.05026 BM25_short 
68 0 AP891006-0227  477 6.05026 BM25_short 
68 0 AP891027-0134  478 6.05026 BM25_short 
68 0 AP890301-0310  479 6.04517 BM25_short 
68 0 AP890312-0062  480 6.04517 BM25_short 
68 0 AP890501-0058  481 6.04517 BM25_short 
68 0 AP890619-0109  482 6.04517 BM25_short 
68 0 AP890627-0053  483 6.04517 BM25_short 
68 0 AP890805-0123  484 6.04517 BM25_short 
68 0 AP890831-0030  485 6.04517 BM25_short 
68 0 AP891225-0035  486 6.04517 BM25_short 
68 0 AP890104-0274  487 6.04364 BM25_short 
68 0 AP890712-0033  488 6.04364 BM25_short 
68 0 AP890921-0047  489 6.03802 BM25_short 
68 0 AP890222-0289  490 6.02460 BM25_short 
68 0 AP890418-0064  491 6.02460 BM25_short 
68 0 AP891215-0009  492 6.02460 BM25_short 
68 0 AP891124-0004  493 6.00716 BM25_short 
68 0 AP890116-0042  494 5.99473 BM25_short 
68 0 AP890424-0311  495 5.99473 BM25_short 
68 0 AP890707-0167  496 5.99473 BM25_short 
68 0 AP890708-0100  497 5.99473 BM25_short 
68 0 AP891016-0179  498 5.99473 BM25_short 
68 0 AP891124-0110  499 5.99473 BM25_short 
68 0 AP890812-0031  500 5.98838 BM25_short 
68 0 AP890831-0228  501 5.98838 BM25_short 
68 0 AP890913-0102  502 5.98838 BM25_short 
68 0 AP890815-0033  503 5.97734 BM25_short 
68 0 AP890201-0031  504 5.97433 BM25_short 
68 0 AP890524-0027  505 5.97433 BM25_short 
68 0 AP890809-0121  506 5.97433 BM25_short 
68 0 AP891019-0132  507 5.97433 BM25_short 
68 0 AP890418-0263  508 5.96973 BM25_short 
68 0 AP890704-0071  509 5.96973 BM25_short 
68 0 AP890614-0191  510 5.94242 BM25_short 
68 0 AP890303-0028  511 5.93136 BM25_short 
68 0 AP890724-0118  512 5.93136 BM25_short 
68 0 AP890814-0212  513 5.93136 BM25_short 
68 0 AP891127-0111  514 5.93136 BM25_short 
68 0 AP890630-0220  515 5.90454 BM25_short 
68 0 AP890301-0151  516 5.89954 BM25_short 
68 0 AP890317-0171  517 5.89954 BM25_short 
68 0 AP890418-0034  518 5.89954 BM25_short 
68 0 AP890518-0139  519 5.89954 BM25_short 
68 0 AP890606-0010  520 5.89954 BM25_short 
68 0 AP890619-0061  521 5.89954 BM25_short 
68 0 AP891030-0138  522 5.89954 BM25_short 
68 0 AP891221-0224  523 5.89954 BM25_short 
68 0 AP890221-0083  524 5.89496 BM25_short 
68 0 AP890922-0280  525 5.89496 BM25_short 
68 0 AP890929-0272  526 5.89496 BM25_short 
68 0 AP891127-0143  527 5.88935 BM25_short 
68 0 AP890621-0008  528 5.88353 BM25_short 
68 0 AP890808-0010  529 5.86245 BM25_short 
68 0 AP891123-0055  530 5.86245 BM25_short 
68 0 AP890615-0057  531 5.85187 BM25_short 
68 0 AP890112-0134  532 5.83608 BM25_short 
68 0 AP890109-0003  533 5.80760 BM25_short 
68 0 AP890203-0156  534 5.80760 BM25_short 
68 0 AP891204-0278  535 5.80760 BM25_short 
68 0 AP890701-0024  536 5.80478 BM25_short 
68 0 AP890325-0014  537 5.79320 BM25_short 
68 0 AP890519-0210  538 5.79320 BM25_short 
68 0 AP890206-0019  539 5.79176 BM25_short 
68 0 AP890412-0012  540 5.79176 BM25_short 
68 0 AP890514-0080  541 5.79176 BM25_short 
68 0 AP890608-0183  542 5.79176 BM25_short 
68 0 AP890925-0292  543 5.79176 BM25_short 
68 0 AP890930-0013  544 5.79176 BM25_short 
68 0 AP891124-0028  545 5.79176 BM25_short 
68 0 AP890727-0249  546 5.78631 BM25_short 
68 0 AP891011-0256  547 5.78631 BM25_short 
68 0 AP890325-0130  548 5.78353 BM25_short 
68 0 AP890705-0145  549 5.78353 BM25_short 
68 0 AP890417-0161  550 5.75228 BM25_short 
68 0 AP890503-0313  551 5.75228 BM25_short 
68 0 AP890625-0016  552 5.75228 BM25_short 
68 0 AP890806-0052  553 5.75228 BM25_short 
68 0 AP891214-0032  554 5.75228 BM25_short 
68 0 AP890308-0124  555 5.72741 BM25_short 
68 0 AP890414-0272  556 5.72741 BM25_short 
68 0 AP890503-0032  557 5.72741 BM25_short 
68 0 AP890724-0164  558 5.72741 BM25_short 
68 0 AP891216-0083  559 5.72741 BM25_short 
68 0 AP890309-0117  560 5.70184 BM25_short 
68 0 AP890629-0196  561 5.70184 BM25_short 
68 0 AP890815-0019  562 5.70184 BM25_short 
68 0 AP890907-0056  563 5.70184 BM25_short 
68 0 AP890626-0230  564 5.69061 BM25_short 
68 0 AP890629-0006  565 5.69061 BM25_short 
68 0 AP890703-0013  566 5.69061 BM25_short 
68 0 AP891026-0221  567 5.69061 BM25_short 
68 0 AP890120-0097  568 5.66078 BM25_short 
68 0 AP890127-0158  569 5.65723 BM25_short 
68 0 AP890307-0231  570 5.65723 BM25_short 
68 0 AP890610-0061  571 5.65723 BM25_short 
68 0 AP891102-0259  572 5.65723 BM25_short 
68 0 AP890502-0073  573 5.65262 BM25_short 
68 0 AP890616-0166  574 5.64425 BM25_short 
68 0 AP891005-0156  575 5.64425 BM25_short 
68 0 AP891006-0165  576 5.60666 BM25_short 
68 0 AP890202-0278  577 5.59436 BM25_short 
68 0 AP891016-0079  578 5.57501 BM25_short 
68 0 AP890601-0078  579 5.56770 BM25_short 
68 0 AP891024-0137  580 5.56686 BM25_short 
68 0 AP891003-0107  581 5.55888 BM25_short 
68 0 AP890218-0067  582 5.54786 BM25_short 
68 0 AP890315-0191  583 5.54786 BM25_short 
68 0 AP891122-0190  584 5.54786 BM25_short 
68 0 AP890308-0090  585 5.54410 BM25_short 
68 0 AP890405-0022  586 5.53011 BM25_short 
68 0 AP890627-0026  587 5.53011 BM25_short 
68 0 AP891116-0197  588 5.53011 BM25_short 
68 0 AP890623-0179  589 5.52316 BM25_short 
68 0 AP890221-0171  590 5.50601 BM25_short 
68 0 AP890601-0215  591 5.50601 BM25_short 
68 0 AP890207-0096  592 5.50201 BM25_short 
68 0 AP890215-0104  593 5.50201 BM25_short 
68 0 AP890701-0037  594 5.50201 BM25_short 
68 0 AP890911-0236  595 5.49489 BM25_short 
68 0 AP890117-0057  596 5.49267 BM25_short 
68 0 AP890427-0100  597 5.49267 BM25_short 
68 0 AP890608-0091  598 5.49267 BM25_short 
68 0 AP890728-0014  599 5.49267 BM25_short 
68 0 AP890728-0145  600 5.49267 BM25_short 
68 0 AP891024-0173  601 5.49267 BM25_short 
68 0 AP891025-0005  602 5.49267 BM25_short 
68 0 AP891201-0035  603 5.49267 BM25_short 
68 0 AP891215-0108  604 5.49267 BM25_short 
68 0 AP891221-0252  605 5.49267 BM25_short 
68 0 AP890131-0210  606 5.48307 BM25_short 
68 0 AP890111-0050  607 5.47740 BM25_short 
68 0 AP890629-0182  608 5.47740 BM25_short 
68 0 AP890129-0077  609 5.47144 BM25_short 
68 0 AP890413-0017  610 5.47144 BM25_short 
68 0 AP890420-0145  611 5.47144 BM25_short 
68 0 AP890914-0237  612 5.47144 BM25_short 
68 0 AP891226-0179  613 5.47144 BM25_short 
68 0 AP890428-0137  614 5.47052 BM25_short 
68 0 AP891017-0172  615 5.46101 BM25_short 
68 0 AP890812-0122  616 5.45848 BM25_short 
68 0 AP891211-0062  617 5.45848 BM25_short 
68 0 AP890911-0217  618 5.45225 BM25_short 
68 0 AP890723-0092  619 5.44215 BM25_short 
68 0 AP890806-0020  620 5.44215 BM25_short 
68 0 AP890725-0212  621 5.43677 BM25_short 
68 0 AP890922-0022  622 5.43677 BM25_short 
68 0 AP890416-0028  623 5.43018 BM25_short 
68 0 AP890713-0195  624 5.43018 BM25_short 
68 0 AP890811-0232  625 5.43018 BM25_short 
68 0 AP890912-0017  626 5.42433 BM25_short 
68 0 AP890716-0098  627 5.42102 BM25_short 
68 0 AP890215-0054  628 5.42066 BM25_short 
68 0 AP890911-0084  629 5.42066 BM25_short 
68 0 AP890427-0123  630 5.41765 BM25_short 
68 0 AP890616-0083  631 5.41765 BM25_short 
68 0 AP890620-0170  632 5.41765 BM25_short 
68 0 AP890728-0052  633 5.41765 BM25_short 
68 0 AP890817-0177  634 5.41765 BM25_short 
68 0 AP891222-0031  635 5.41765 BM25_short 
68 0 AP890414-0277  636 5.41119 BM25_short 
68 0 AP890918-0147  637 5.41119 BM25_short 
68 0 AP890512-0178  638 5.40740 BM25_short 
68 0 AP890913-0042  639 5.40740 BM25_short 
68 0 AP891116-0132  640 5.40740 BM25_short 
68 0 AP890330-0267  641 5.39757 BM25_short 
68 0 AP890201-0064  642 5.39503 BM25_short 
68 0 AP890329-0070  643 5.38964 BM25_short 
68 0 AP890531-0229  644 5.38964 BM25_short 
68 0 AP890721-0212  645 5.38964 BM25_short 
68 0 AP891119-0021  646 5.38964 BM25_short 
68 0 AP890619-0175  647 5.38902 BM25_short 
68 0 AP890731-0017  648 5.38902 BM25_short 
68 0 AP890907-0160  649 5.38664 BM25_short 
68 0 AP891002-0159  650 5.38633 BM25_short 
68 0 AP890928-0149  651 5.38612 BM25_short 
68 0 AP890201-0018  652 5.38320 BM25_short 
68 0 AP890203-0068  653 5.38320 BM25_short 
68 0 AP890316-0297  654 5.38320 BM25_short 
68 0 AP890320-0020  655 5.38320 BM25_short 
68 0 AP890712-0147  656 5.38320 BM25_short 
68 0 AP890919-0075  657 5.38320 BM25_short 
68 0 AP891013-0074  658 5.38320 BM25_short 
68 0 AP891019-0013  659 5.38320 BM25_short 
68 0 AP891103-0063  660 5.38320 BM25_short 
68 0 AP891112-0085  661 5.38320 BM25_short 
68 0 AP891113-0149  662 5.38320 BM25_short 
68 0 AP891118-0153  663 5.38320 BM25_short 
68 0 AP891212-0117  664 5.38320 BM25_short 
68 0 AP891216-0086  665 5.38320 BM25_short 
68 0 AP890318-0031  666 5.38293 BM25_short 
68 0 AP890609-0055  667 5.38293 BM25_short 
68 0 AP890327-0040  668 5.37568 BM25_short 
68 0 AP890817-0056  669 5.37568 BM25_short 
68 0 AP890619-0058  670 5.37535 BM25_short 
68 0 AP891024-0163  671 5.37535 BM25_short 
68 0 AP891129-0250  672 5.37256 BM25_short 
68 0 AP890619-0121  673 5.36777 BM25_short 
68 0 AP890306-0046  674 5.36693 BM25_short 
68 0 AP890526-0173  675 5.36693 BM25_short 
68 0 AP890609-0181  676 5.36693 BM25_short 
68 0 AP890707-0029  677 5.36554 BM25_short 
68 0 AP891201-0098  678 5.35973 BM25_short 
68 0 AP890322-0143  679 5.35572 BM25_short 
68 0 AP890630-0205  680 5.35572 BM25_short 
68 0 AP890706-0021  681 5.35572 BM25_short 
68 0 AP890227-0233  682 5.35414 BM25_short 
68 0 AP890911-0234  683 5.34798 BM25_short 
68 0 AP890215-0056  684 5.34252 BM25_short 
68 0 AP890227-0015  685 5.34252 BM25_short 
68 0 AP890509-0212  686 5.34252 BM25_short 
68 0 AP891012-0234  687 5.34252 BM25_short 
68 0 AP891103-0037  688 5.33786 BM25_short 
68 0 AP890525-0033  689 5.33097 BM25_short 
68 0 AP890718-0030  690 5.33097 BM25_short 
68 0 AP890913-0251  691 5.33097 BM25_short 
68 0 AP891106-0232  692 5.33097 BM25_short 
68 0 AP891113-0005  693 5.33097 BM25_short 
68 0 AP891207-0003  694 5.33097 BM25_short 
68 0 AP890114-0135  695 5.32477 BM25_short 
68 0 AP890214-0137  696 5.32477 BM25_short 
68 0 AP890215-0192  697 5.32477 BM25_short 
68 0 AP890403-0122  698 5.32477 BM25_short 
68 0 AP890518-0200  699 5.32477 BM25_short 
68 0 AP890803-0164  700 5.32477 BM25_short 
68 0 AP890912-0066  701 5.32477 BM25_short 
68 0 AP890713-0186  702 5.32462 BM25_short 
68 0 AP891019-0250  703 5.32456 BM25_short 
68 0 AP890614-0033  704 5.32368 BM25_short 
68 0 AP890213-0118  705 5.32248 BM25_short 
68 0 AP890514-0038  706 5.32248 BM25_short 
68 0 AP890624-0102  707 5.32248 BM25_short 
68 0 AP891004-0067  708 5.32248 BM25_short 
68 0 AP891129-0156  709 5.32248 BM25_short 
68 0 AP890304-0004  710 5.32114 BM25_short 
68 0 AP890310-0068  711 5.32114 BM25_short 
68 0 AP890914-0242  712 5.32114 BM25_short 
68 0 AP890803-0118  713 5.31957 BM25_short 
68 0 AP890424-0173  714 5.30316 BM25_short 
68 0 AP891206-0106  715 5.30316 BM25_short 
68 0 AP890617-0138  716 5.30199 BM25_short 
68 0 AP890125-0069  717 5.30067 BM25_short 
68 0 AP890202-0089  718 5.30067 BM25_short 
68 0 AP890215-0062  719 5.30067 BM25_short 
68 0 AP890404-0051  720 5.30067 BM25_short 
68 0 AP890504-0058  721 5.30067 BM25_short 
68 0 AP890727-0229  722 5.30067 BM25_short 
68 0 AP890814-0037  723 5.30067 BM25_short 
68 0 AP890315-0113  724 5.30042 BM25_short 
68 0 AP891013-0016  725 5.29473 BM25_short 
68 0 AP890421-0020  726 5.29201 BM25_short 
68 0 AP890723-0035  727 5.29114 BM25_short 
68 0 AP890127-0043  728 5.28997 BM25_short 
68 0 AP890216-0259  729 5.28997 BM25_short 
68 0 AP890310-0095  730 5.28997 BM25_short 
68 0 AP890405-0219  731 5.28997 BM25_short 
68 0 AP890428-0072  732 5.28997 BM25_short 
68 0 AP890524-0236  733 5.28997 BM25_short 
68 0 AP890616-0060  734 5.28997 BM25_short 
68 0 AP890629-0113  735 5.28997 BM25_short 
68 0 AP890630-0208  736 5.28997 BM25_short 
68 0 AP890819-0010  737 5.28997 BM25_short 
68 0 AP891002-0168  738 5.28997 BM25_short 
68 0 AP891009-0119  739 5.28997 BM25_short 
68 0 AP891009-0142  740 5.28997 BM25_short 
68 0 AP891113-0053  741 5.28997 BM25_short 
68 0 AP891118-0030  742 5.28997 BM25_short 
68 0 AP891119-0007  743 5.28997 BM25_short 
68 0 AP891129-0033  744 5.28997 BM25_short 
68 0 AP891221-0231  745 5.28997 BM25_short 
68 0 AP891228-0116  746 5.28997 BM25_short 
68 0 AP890207-0012  747 5.28786 BM25_short 
68 0 AP891215-0267  748 5.28786 BM25_short 
68 0 AP890606-0101  749 5.28734 BM25_short 
68 0 AP891101-0081  750 5.28734 BM25_short 
68 0 AP890213-0202  751 5.28271 BM25_short 
68 0 AP890504-0174  752 5.28227 BM25_short 
68 0 AP890408-0073  753 5.27719 BM25_short 
68 0 AP890428-0015  754 5.27719 BM25_short 
68 0 AP890504-0183  755 5.27719 BM25_short 
68 0 AP890923-0040  756 5.27719 BM25_short 
68 0 AP891019-0074  757 5.27719 BM25_short 
68 0 AP891024-0016  758 5.27719 BM25_short 
68 0 AP891107-0033  759 5.27719 BM25_short 
68 0 AP891014-0080  760 5.27576 BM25_short 
68 0 AP891212-0203  761 5.27576 BM25_short 
68 0 AP890128-0012  762 5.26736 BM25_short 
68 0 AP890720-0241  763 5.26736 BM25_short 
68 0 AP890928-0172  764 5.26736 BM25_short 
68 0 AP891004-0091  765 5.26736 BM25_short 
68 0 AP890113-0003  766 5.26610 BM25_short 
68 0 AP890314-0172  767 5.26610 BM25_short 
68 0 AP890322-0056  768 5.26610 BM25_short 
68 0 AP890512-0070  769 5.26610 BM25_short 
68 0 AP890612-0033  770 5.26610 BM25_short 
68 0 AP890627-0054  771 5.26610 BM25_short 
68 0 AP890725-0197  772 5.26610 BM25_short 
68 0 AP890818-0027  773 5.26610 BM25_short 
68 0 AP890921-0008  774 5.26610 BM25_short 
68 0 AP890927-0184  775 5.26610 BM25_short 
68 0 AP891031-0027  776 5.26610 BM25_short 
68 0 AP891115-0199  777 5.26610 BM25_short 
68 0 AP890714-0015  778 5.26578 BM25_short 
68 0 AP890908-0046  779 5.25926 BM25_short 
68 0 AP890125-0134  780 5.25904 BM25_short 
68 0 AP890605-0123  781 5.25166 BM25_short 
68 0 AP891216-0082  782 5.24999 BM25_short 
68 0 AP890216-0024  783 5.24956 BM25_short 
68 0 AP891103-0024  784 5.24956 BM25_short 
68 0 AP891103-0169  785 5.24956 BM25_short 
68 0 AP890525-0256  786 5.24130 BM25_short 
68 0 AP890324-0177  787 5.23801 BM25_short 
68 0 AP891028-0039  788 5.23801 BM25_short 
68 0 AP891110-0188  789 5.23801 BM25_short 
68 0 AP891004-0003  790 5.23631 BM25_short 
68 0 AP890612-0216  791 5.22989 BM25_short 
68 0 AP890227-0055  792 5.22943 BM25_short 
68 0 AP890912-0137  793 5.22247 BM25_short 
68 0 AP891216-0010  794 5.22247 BM25_short 
68 0 AP890213-0015  795 5.22178 BM25_short 
68 0 AP890414-0235  796 5.21405 BM25_short 
68 0 AP890110-0010  797 5.21231 BM25_short 
68 0 AP890603-0029  798 5.21231 BM25_short 
68 0 AP890830-0051  799 5.21231 BM25_short 
68 0 AP890913-0199  800 5.21231 BM25_short 
68 0 AP890918-0023  801 5.21231 BM25_short 
68 0 AP890928-0053  802 5.21231 BM25_short 
68 0 AP891011-0110  803 5.21231 BM25_short 
68 0 AP891122-0045  804 5.21231 BM25_short 
68 0 AP890322-0311  805 5.21206 BM25_short 
68 0 AP891011-0185  806 5.21206 BM25_short 
68 0 AP890405-0235  807 5.21174 BM25_short 
68 0 AP891101-0213  808 5.20365 BM25_short 
68 0 AP890622-0273  809 5.18359 BM25_short 
68 0 AP890822-0123  810 5.18359 BM25_short 
68 0 AP890921-0165  811 5.18359 BM25_short 
68 0 AP890204-0166  812 5.18202 BM25_short 
68 0 AP890612-0265  813 5.18202 BM25_short 
68 0 AP891030-0209  814 5.18202 BM25_short 
68 0 AP891104-0009  815 5.18202 BM25_short 
68 0 AP891104-0130  816 5.18202 BM25_short 
68 0 AP891110-0079  817 5.18202 BM25_short 
68 0 AP891110-0264  818 5.18202 BM25_short 
68 0 AP891204-0012  819 5.18202 BM25_short 
68 0 AP891216-0006  820 5.18202 BM25_short 
68 0 AP890710-0065  821 5.17474 BM25_short 
68 0 AP890301-0201  822 5.17219 BM25_short 
68 0 AP890515-0093  823 5.17219 BM25_short 
68 0 AP890601-0296  824 5.17219 BM25_short 
68 0 AP891027-0166  825 5.17206 BM25_short 
68 0 AP890621-0170  826 5.17077 BM25_short 
68 0 AP890525-0160  827 5.17061 BM25_short 
68 0 AP890926-0155  828 5.16823 BM25_short 
68 0 AP890205-0015  829 5.16819 BM25_short 
68 0 AP890417-0022  830 5.16117 BM25_short 
68 0 AP890412-0007  831 5.15653 BM25_short 
68 0 AP890502-0024  832 5.15633 BM25_short 
68 0 AP891114-0146  833 5.15633 BM25_short 
68 0 AP891202-0015  834 5.15572 BM25_short 
68 0 AP890112-0051  835 5.15438 BM25_short 
68 0 AP890501-0147  836 5.15438 BM25_short 
68 0 AP890802-0123  837 5.15438 BM25_short 
68 0 AP891211-0024  838 5.15302 BM25_short 
68 0 AP890829-0225  839 5.15227 BM25_short 
68 0 AP890301-0172  840 5.14932 BM25_short 
68 0 AP890218-0014  841 5.14475 BM25_short 
68 0 AP891109-0187  842 5.14475 BM25_short 
68 0 AP890712-0035  843 5.14033 BM25_short 
68 0 AP890612-0120  844 5.13971 BM25_short 
68 0 AP890901-0205  845 5.13890 BM25_short 
68 0 AP891004-0207  846 5.13890 BM25_short 
68 0 AP890115-0029  847 5.13485 BM25_short 
68 0 AP890417-0027  848 5.13160 BM25_short 
68 0 AP891109-0234  849 5.13009 BM25_short 
68 0 AP890217-0007  850 5.12980 BM25_short 
68 0 AP891121-0071  851 5.12946 BM25_short 
68 0 AP890612-0022  852 5.12892 BM25_short 
68 0 AP891207-0066  853 5.12892 BM25_short 
68 0 AP890101-0066  854 5.12653 BM25_short 
68 0 AP890131-0141  855 5.12653 BM25_short 
68 0 AP890215-0107  856 5.12653 BM25_short 
68 0 AP890606-0150  857 5.12653 BM25_short 
68 0 AP890629-0011  858 5.12653 BM25_short 
68 0 AP891030-0296  859 5.12653 BM25_short 
68 0 AP891114-0162  860 5.12653 BM25_short 
68 0 AP890823-0055  861 5.12101 BM25_short 
68 0 AP890925-0029  862 5.12101 BM25_short 
68 0 AP891101-0088  863 5.12101 BM25_short 
68 0 AP890823-0233  864 5.11917 BM25_short 
68 0 AP890918-0214  865 5.11917 BM25_short 
68 0 AP890803-0158  866 5.11882 BM25_short 
68 0 AP890109-0185  867 5.11714 BM25_short 
68 0 AP890201-0118  868 5.11714 BM25_short 
68 0 AP890222-0066  869 5.11714 BM25_short 
68 0 AP890228-0040  870 5.11714 BM25_short 
68 0 AP890522-0315  871 5.11714 BM25_short 
68 0 AP890705-0192  872 5.11714 BM25_short 
68 0 AP890706-0220  873 5.11714 BM25_short 
68 0 AP890717-0043  874 5.11714 BM25_short 
68 0 AP890810-0109  875 5.11714 BM25_short 
68 0 AP890912-0026  876 5.11714 BM25_short 
68 0 AP891125-0039  877 5.11714 BM25_short 
68 0 AP891217-0028  878 5.11714 BM25_short 
68 0 AP891011-0031  879 5.11607 BM25_short 
68 0 AP890527-0130  880 5.10848 BM25_short 
68 0 AP890330-0160  881 5.10831 BM25_short 
68 0 AP890502-0172  882 5.10831 BM25_short 
68 0 AP891117-0008  883 5.10831 BM25_short 
68 0 AP891215-0074  884 5.10831 BM25_short 
68 0 AP890630-0293  885 5.10233 BM25_short 
68 0 AP891012-0041  886 5.10233 BM25_short 
68 0 AP891018-0073  887 5.10233 BM25_short 
68 0 AP890814-0033  888 5.09503 BM25_short 
68 0 AP891024-0148  889 5.09482 BM25_short 
68 0 AP891207-0052  890 5.09482 BM25_short 
68 0 AP890314-0224  891 5.09435 BM25_short 
68 0 AP890508-0072  892 5.09435 BM25_short 
68 0 AP890526-0105  893 5.09364 BM25_short 
68 0 AP890109-0087  894 5.08783 BM25_short 
68 0 AP890516-0159  895 5.08783 BM25_short 
68 0 AP890927-0085  896 5.08783 BM25_short 
68 0 AP890113-0204  897 5.07781 BM25_short 
68 0 AP891130-0170  898 5.07781 BM25_short 
68 0 AP890125-0053  899 5.07404 BM25_short 
68 0 AP890216-0131  900 5.07404 BM25_short 
68 0 AP890309-0129  901 5.07404 BM25_short 
68 0 AP890416-0049  902 5.07404 BM25_short 
68 0 AP890918-0100  903 5.07404 BM25_short 
68 0 AP890123-0099  904 5.06358 BM25_short 
68 0 AP890224-0206  905 5.06358 BM25_short 
68 0 AP890412-0133  906 5.06358 BM25_short 
68 0 AP890715-0008  907 5.06358 BM25_short 
68 0 AP890717-0167  908 5.06358 BM25_short 
68 0 AP890720-0036  909 5.06358 BM25_short 
68 0 AP890906-0168  910 5.06358 BM25_short 
68 0 AP891010-0121  911 5.06358 BM25_short 
68 0 AP890922-0143  912 5.06114 BM25_short 
68 0 AP890509-0231  913 5.05083 BM25_short 
68 0 AP890628-0021  914 5.05083 BM25_short 
68 0 AP891124-0177  915 5.05083 BM25_short 
68 0 AP890727-0066  916 5.04644 BM25_short 
68 0 AP890603-0119  917 5.04422 BM25_short 
68 0 AP891002-0297  918 5.04422 BM25_short 
68 0 AP890520-0088  919 5.04303 BM25_short 
68 0 AP890221-0128  920 5.04112 BM25_short 
68 0 AP890506-0055  921 5.04112 BM25_short 
68 0 AP890314-0156  922 5.04056 BM25_short 
68 0 AP890405-0035  923 5.03739 BM25_short 
68 0 AP890507-0056  924 5.03463 BM25_short 
68 0 AP891113-0267  925 5.03463 BM25_short 
68 0 AP890523-0123  926 5.02904 BM25_short 
68 0 AP890130-0075  927 5.02077 BM25_short 
68 0 AP890208-0017  928 5.02077 BM25_short 
68 0 AP890214-0073  929 5.02077 BM25_short 
68 0 AP890225-0117  930 5.02077 BM25_short 
68 0 AP890414-0113  931 5.02077 BM25_short 
68 0 AP890420-0142  932 5.02077 BM25_short 
68 0 AP890607-0103  933 5.02077 BM25_short 
68 0 AP890610-0079  934 5.02077 BM25_short 
68 0 AP890615-0100  935 5.02077 BM25_short 
68 0 AP890616-0139  936 5.02077 BM25_short 
68 0 AP890705-0056  937 5.02077 BM25_short 
68 0 AP890706-0119  938 5.02077 BM25_short 
68 0 AP890710-0043  939 5.02077 BM25_short 
68 0 AP890728-0054  940 5.02077 BM25_short 
68 0 AP890818-0002  941 5.02077 BM25_short 
68 0 AP890829-0006  942 5.02077 BM25_short 
68 0 AP890911-0091  943 5.02077 BM25_short 
68 0 AP891019-0100  944 5.02077 BM25_short 
68 0 AP891213-0011  945 5.02077 BM25_short 
68 0 AP891222-0208  946 5.02077 BM25_short 
68 0 AP891227-0075  947 5.02077 BM25_short 
68 0 AP890227-0037  948 5.01893 BM25_short 
68 0 AP891004-0027  949 5.01893 BM25_short 
68 0 AP890110-0187  950 5.01584 BM25_short 
68 0 AP890210-0244  951 5.01584 BM25_short 
68 0 AP890228-0241  952 5.01584 BM25_short 
68 0 AP890328-0002  953 5.01584 BM25_short 
68 0 AP890509-0128  954 5.01584 BM25_short 
68 0 AP890929-0098  955 5.01584 BM25_short 
68 0 AP890930-0046  956 5.01584 BM25_short 
68 0 AP891005-0106  957 5.01584 BM25_short 
68 0 AP891016-0071  958 5.01584 BM25_short 
68 0 AP891024-0034  959 5.01584 BM25_short 
68 0 AP891114-0184  960 5.01584 BM25_short 
