51 0 AP890518-0275    1 0.54291 VSM_long 
74 0 AP890322-0183   17 0.10348 VSM_long 
74 0 AP890426-0033   18 0.10240 VSM_long 
74 0 AP891214-0177   19 0.10209 VSM_long 
74 0 AP890221-0009   20 0.10188 VSM_long 
74 0 AP890124-0034   21 0.10106 VSM_long 
74 0 AP890527-0075   22 0.10104 VSM_long 
74 0 AP890503-0031   23 0.10038 VSM_long 
74 0 AP890908-0180   24 0.09983 VSM_long 
74 0 AP890620-0117   25 0.09920 VSM_long 
74 0 AP890324-0159   26 0.09840 VSM_long 
74 0 AP890926-0060   27 0.09831 VSM_long 
74 0 AP891219-0191   28 0.09785 VSM_long 
74 0 AP890306-0295   29 0.09771 VSM_long 
74 0 AP890407-0110   30 0.09677 VSM_long 
74 0 AP890522-0057   31 0.09607 VSM_long 
74 0 AP890410-0113   32 0.09540 VSM_long 
74 0 AP890928-0134   33 0.09474 VSM_long 
74 0 AP891110-0167   34 0.09365 VSM_long 
74 0 AP890913-0200   35 0.09301 VSM_long 
74 0 AP890126-0088   36 0.09278 VSM_long 
74 0 AP891012-0164   37 0.09260 VSM_long 
74 0 AP891223-0020   38 0.09212 VSM_long 
74 0 AP891009-0011   39 0.09180 VSM_long 
74 0 AP890407-0012   40 0.09126 VSM_long 
74 0 AP890117-0100   41 0.09091 VSM_long 
74 0 AP890125-0007   42 0.09084 VSM_long 
74 0 AP891129-0089   43 0.09065 VSM_long 
74 0 AP890110-0147   44 0.09033 VSM_long 
74 0 AP890728-0198   45 0.08994 VSM_long 
74 0 AP891220-0027   46 0.08984 VSM_long 
74 0 AP890322-0179   47 0.08979 VSM_long 
74 0 AP890316-0108   48 0.08834 VSM_long 
74 0 AP890511-0087   49 0.08834 VSM_long 
74 0 AP890824-0139   50 0.08830 VSM_long 
74 0 AP890410-0138   51 0.08816 VSM_long 
74 0 AP890801-0223   52 0.08797 VSM_long 
74 0 AP890908-0126   53 0.08742 VSM_long 
74 0 AP891114-0020   54 0.08737 VSM_long 
74 0 AP891108-0272   55 0.08737 VSM_long 
74 0 AP890708-0136   56 0.08706 VSM_long 
74 0 AP890123-0201   57 0.08684 VSM_long 
74 0 AP890411-0133   58 0.08681 VSM_long 
74 0 AP890308-0088   59 0.08603 VSM_long 
74 0 AP890922-0031   60 0.08589 VSM_long 
74 0 AP891029-0025   61 0.08556 VSM_long 
74 0 AP891025-0066   62 0.08532 VSM_long 
74 0 AP890815-0116   63 0.08523 VSM_long 
74 0 AP890329-0011   64 0.08523 VSM_long 
74 0 AP890214-0064   65 0.08513 VSM_long 
74 0 AP891118-0104   66 0.08430 VSM_long 
74 0 AP890428-0071   67 0.08401 VSM_long 
74 0 AP890616-0172   68 0.08394 VSM_long 
74 0 AP890130-0025   69 0.08392 VSM_long 
74 0 AP890515-0185   70 0.08381 VSM_long 
74 0 AP891017-0101   71 0.08329 VSM_long 
74 0 AP890921-0157   72 0.08316 VSM_long 
74 0 AP890613-0158   73 0.08274 VSM_long 
74 0 AP891112-0068   74 0.08266 VSM_long 
74 0 AP890505-0181   75 0.08239 VSM_long 
74 0 AP890506-0012   76 0.08239 VSM_long 
74 0 AP891213-0106   77 0.08220 VSM_long 
74 0 AP890523-0156   78 0.08182 VSM_long 
74 0 AP891225-0063   79 0.08179 VSM_long 
74 0 AP890208-0036   80 0.08157 VSM_long 
74 0 AP890804-0167   81 0.08134 VSM_long 
74 0 AP890313-0077   82 0.08122 VSM_long 
74 0 AP891108-0067   83 0.08089 VSM_long 
74 0 AP890405-0134   84 0.08088 VSM_long 
74 0 AP890719-0020   85 0.08076 VSM_long 
74 0 AP890605-0089   86 0.07993 VSM_long 
74 0 AP890510-0237   87 0.07985 VSM_long 
74 0 AP890407-0097   88 0.07982 VSM_long 
74 0 AP890114-0096   89 0.07966 VSM_long 
74 0 AP890922-0075   90 0.07961 VSM_long 
74 0 AP891213-0158   91 0.07952 VSM_long 
74 0 AP890211-0114   92 0.07928 VSM_long 
74 0 AP890427-0150   93 0.07927 VSM_long 
74 0 AP891129-0190   94 0.07925 VSM_long 
74 0 AP890915-0228   95 0.07914 VSM_long 
74 0 AP890915-0107   96 0.07904 VSM_long 
74 0 AP890210-0167   97 0.07870 VSM_long 
74 0 AP891222-0148   98 0.07858 VSM_long 
74 0 AP890425-0146   99 0.07832 VSM_long 
74 0 AP890416-0042  100 0.07820 VSM_long 
74 0 AP891222-0156  101 0.07751 VSM_long 
74 0 AP890407-0093  102 0.07745 VSM_long 
74 0 AP890506-0014  103 0.07744 VSM_long 
74 0 AP890724-0140  104 0.07728 VSM_long 
74 0 AP890213-0144  105 0.07715 VSM_long 
74 0 AP891004-0106  106 0.07709 VSM_long 
74 0 AP890103-0152  107 0.07699 VSM_long 
74 0 AP890707-0191  108 0.07698 VSM_long 
74 0 AP890512-0239  109 0.07672 VSM_long 
74 0 AP890327-0193  110 0.07653 VSM_long 
74 0 AP890102-0115  111 0.07638 VSM_long 
74 0 AP890518-0083  112 0.07633 VSM_long 
74 0 AP891109-0225  113 0.07630 VSM_long 
74 0 AP890530-0127  114 0.07613 VSM_long 
74 0 AP890921-0262  115 0.07606 VSM_long 
74 0 AP890821-0189  116 0.07580 VSM_long 
74 0 AP890109-0041  117 0.07571 VSM_long 
74 0 AP890324-0122  118 0.07560 VSM_long 
74 0 AP890425-0124  119 0.07550 VSM_long 
74 0 AP890308-0026  120 0.07519 VSM_long 
74 0 AP890425-0127  121 0.07517 VSM_long 
74 0 AP890424-0063  122 0.07516 VSM_long 
74 0 AP890911-0138  123 0.07508 VSM_long 
74 0 AP890211-0129  124 0.07477 VSM_long 
74 0 AP890421-0093  125 0.07469 VSM_long 
74 0 AP890617-0089  126 0.07466 VSM_long 
74 0 AP890125-0049  127 0.07437 VSM_long 
74 0 AP891005-0121  128 0.07437 VSM_long 
74 0 AP890502-0184  129 0.07433 VSM_long 
74 0 AP891011-0181  130 0.07417 VSM_long 
74 0 AP890103-0026  131 0.07409 VSM_long 
74 0 AP890411-0119  132 0.07377 VSM_long 
74 0 AP890809-0227  133 0.07369 VSM_long 
74 0 AP890412-0217  134 0.07369 VSM_long 
74 0 AP890128-0042  135 0.07367 VSM_long 
74 0 AP890528-0073  136 0.07355 VSM_long 
74 0 AP891121-0074  137 0.07355 VSM_long 
74 0 AP890806-0052  138 0.07348 VSM_long 
74 0 AP890502-0083  139 0.07333 VSM_long 
74 0 AP890911-0121  140 0.07327 VSM_long 
74 0 AP890408-0099  141 0.07288 VSM_long 
74 0 AP890410-0042  142 0.07273 VSM_long 
74 0 AP891124-0027  143 0.07257 VSM_long 
74 0 AP891116-0050  144 0.07212 VSM_long 
74 0 AP890508-0274  145 0.07204 VSM_long 
74 0 AP890616-0111  146 0.07171 VSM_long 
74 0 AP890407-0209  147 0.07162 VSM_long 
74 0 AP890407-0163  148 0.07154 VSM_long 
74 0 AP890918-0045  149 0.07152 VSM_long 
74 0 AP890807-0013  150 0.07146 VSM_long 
74 0 AP890616-0090  151 0.07142 VSM_long 
74 0 AP890705-0012  152 0.07138 VSM_long 
74 0 AP891108-0137  153 0.07122 VSM_long 
74 0 AP890523-0093  154 0.07107 VSM_long 
74 0 AP890518-0145  155 0.07106 VSM_long 
74 0 AP890703-0274  156 0.07106 VSM_long 
74 0 AP890313-0021  157 0.07092 VSM_long 
74 0 AP891027-0088  158 0.07079 VSM_long 
74 0 AP890406-0018  159 0.07077 VSM_long 
74 0 AP890508-0050  160 0.07076 VSM_long 
74 0 AP890501-0072  161 0.07071 VSM_long 
74 0 AP890614-0206  162 0.07069 VSM_long 
74 0 AP890302-0174  163 0.07061 VSM_long 
74 0 AP891219-0109  164 0.07044 VSM_long 
74 0 AP890426-0087  165 0.07031 VSM_long 
74 0 AP890414-0026  166 0.07013 VSM_long 
74 0 AP890724-0120  167 0.07004 VSM_long 
74 0 AP890413-0186  168 0.06997 VSM_long 
74 0 AP891216-0124  169 0.06969 VSM_long 
74 0 AP890215-0199  170 0.06961 VSM_long 
74 0 AP890307-0033  171 0.06956 VSM_long 
74 0 AP890115-0043  172 0.06949 VSM_long 
74 0 AP890602-0034  173 0.06949 VSM_long 
74 0 AP890309-0274  174 0.06943 VSM_long 
74 0 AP890807-0121  175 0.06937 VSM_long 
74 0 AP890122-0016  176 0.06936 VSM_long 
74 0 AP890422-0003  177 0.06933 VSM_long 
74 0 AP890421-0159  178 0.06927 VSM_long 
74 0 AP890210-0090  179 0.06927 VSM_long 
74 0 AP890619-0177  180 0.06927 VSM_long 
74 0 AP890929-0124  181 0.06925 VSM_long 
74 0 AP890722-0001  182 0.06918 VSM_long 
74 0 AP890926-0096  183 0.06912 VSM_long 
74 0 AP890612-0292  184 0.06912 VSM_long 
74 0 AP890210-0149  185 0.06907 VSM_long 
74 0 AP890727-0194  186 0.06907 VSM_long 
74 0 AP890519-0091  187 0.06901 VSM_long 
74 0 AP890830-0074  188 0.06899 VSM_long 
74 0 AP890304-0140  189 0.06891 VSM_long 
74 0 AP890210-0130  190 0.06859 VSM_long 
74 0 AP891214-0090  191 0.06842 VSM_long 
74 0 AP890317-0192  192 0.06830 VSM_long 
74 0 AP890304-0151  193 0.06829 VSM_long 
74 0 AP890917-0066  194 0.06821 VSM_long 
74 0 AP890719-0086  195 0.06817 VSM_long 
74 0 AP891211-0280  196 0.06795 VSM_long 
74 0 AP890419-0018  197 0.06790 VSM_long 
74 0 AP890627-0109  198 0.06776 VSM_long 
74 0 AP891108-0222  199 0.06776 VSM_long 
74 0 AP891030-0196  200 0.06767 VSM_long 
74 0 AP890419-0027  201 0.06761 VSM_long 
74 0 AP890922-0231  202 0.06755 VSM_long 
74 0 AP890428-0121  203 0.06755 VSM_long 
74 0 AP890616-0173  204 0.06751 VSM_long 
74 0 AP890526-0209  205 0.06750 VSM_long 
74 0 AP890928-0202  206 0.06740 VSM_long 
74 0 AP890102-0103  207 0.06731 VSM_long 
74 0 AP890820-0037  208 0.06727 VSM_long 
74 0 AP890911-0166  209 0.06725 VSM_long 
74 0 AP890107-0089  210 0.06716 VSM_long 
74 0 AP890704-0127  211 0.06713 VSM_long 
74 0 AP891017-0165  212 0.06675 VSM_long 
74 0 AP890826-0137  213 0.06671 VSM_long 
74 0 AP890110-0188  214 0.06657 VSM_long 
74 0 AP890128-0097  215 0.06651 VSM_long 
74 0 AP890509-0045  216 0.06640 VSM_long 
74 0 AP890725-0177  217 0.06615 VSM_long 
74 0 AP890815-0008  218 0.06614 VSM_long 
74 0 AP890912-0063  219 0.06614 VSM_long 
74 0 AP890128-0061  220 0.06605 VSM_long 
74 0 AP891019-0146  221 0.06600 VSM_long 
74 0 AP891002-0087  222 0.06591 VSM_long 
74 0 AP890525-0216  223 0.06584 VSM_long 
74 0 AP890107-0057  224 0.06584 VSM_long 
74 0 AP890906-0269  225 0.06582 VSM_long 
74 0 AP890522-0349  226 0.06574 VSM_long 
74 0 AP890104-0022  227 0.06564 VSM_long 
74 0 AP890908-0142  228 0.06559 VSM_long 
74 0 AP890531-0220  229 0.06552 VSM_long 
74 0 AP890622-0152  230 0.06546 VSM_long 
74 0 AP891209-0082  231 0.06538 VSM_long 
74 0 AP890918-0210  232 0.06532 VSM_long 
74 0 AP890419-0206  233 0.06531 VSM_long 
74 0 AP890830-0063  234 0.06525 VSM_long 
74 0 AP890429-0081  235 0.06513 VSM_long 
74 0 AP891123-0088  236 0.06511 VSM_long 
74 0 AP890715-0065  237 0.06510 VSM_long 
74 0 AP891026-0193  238 0.06508 VSM_long 
74 0 AP890407-0039  239 0.06505 VSM_long 
74 0 AP891106-0215  240 0.06498 VSM_long 
74 0 AP891120-0149  241 0.06481 VSM_long 
74 0 AP890320-0026  242 0.06480 VSM_long 
74 0 AP890629-0187  243 0.06466 VSM_long 
74 0 AP891030-0181  244 0.06464 VSM_long 
74 0 AP891220-0238  245 0.06455 VSM_long 
74 0 AP891220-0240  246 0.06455 VSM_long 
74 0 AP891108-0295  247 0.06443 VSM_long 
74 0 AP890211-0103  248 0.06441 VSM_long 
74 0 AP890503-0192  249 0.06436 VSM_long 
74 0 AP890104-0206  250 0.06435 VSM_long 
74 0 AP890303-0017  251 0.06431 VSM_long 
74 0 AP890628-0156  252 0.06425 VSM_long 
74 0 AP891201-0065  253 0.06421 VSM_long 
74 0 AP891015-0035  254 0.06416 VSM_long 
74 0 AP890802-0254  255 0.06410 VSM_long 
74 0 AP890505-0121  256 0.06407 VSM_long 
74 0 AP891117-0117  257 0.06406 VSM_long 
74 0 AP891220-0186  258 0.06393 VSM_long 
74 0 AP891121-0214  259 0.06380 VSM_long 
74 0 AP891127-0005  260 0.06380 VSM_long 
74 0 AP890503-0307  261 0.06376 VSM_long 
74 0 AP891003-0163  262 0.06376 VSM_long 
74 0 AP890509-0221  263 0.06368 VSM_long 
74 0 AP891006-0092  264 0.06359 VSM_long 
74 0 AP890726-0139  265 0.06349 VSM_long 
74 0 AP890313-0194  266 0.06338 VSM_long 
74 0 AP890327-0053  267 0.06329 VSM_long 
74 0 AP890425-0156  268 0.06320 VSM_long 
74 0 AP890802-0031  269 0.06310 VSM_long 
74 0 AP890208-0250  270 0.06308 VSM_long 
74 0 AP890517-0212  271 0.06304 VSM_long 
74 0 AP890811-0119  272 0.06301 VSM_long 
74 0 AP891003-0148  273 0.06300 VSM_long 
74 0 AP890302-0264  274 0.06294 VSM_long 
74 0 AP891003-0072  275 0.06286 VSM_long 
74 0 AP890126-0185  276 0.06282 VSM_long 
74 0 AP890905-0033  277 0.06280 VSM_long 
74 0 AP890106-0049  278 0.06276 VSM_long 
74 0 AP890105-0005  279 0.06267 VSM_long 
74 0 AP890111-0194  280 0.06265 VSM_long 
74 0 AP891103-0136  281 0.06257 VSM_long 
74 0 AP890629-0119  282 0.06255 VSM_long 
74 0 AP890425-0212  283 0.06236 VSM_long 
74 0 AP891023-0189  284 0.06230 VSM_long 
74 0 AP890110-0112  285 0.06224 VSM_long 
74 0 AP891108-0016  286 0.06221 VSM_long 
74 0 AP890711-0100  287 0.06214 VSM_long 
74 0 AP890611-0017  288 0.06211 VSM_long 
74 0 AP890105-0164  289 0.06210 VSM_long 
74 0 AP890120-0216  290 0.06205 VSM_long 
74 0 AP891211-0090  291 0.06199 VSM_long 
74 0 AP890617-0148  292 0.06195 VSM_long 
74 0 AP890502-0093  293 0.06194 VSM_long 
74 0 AP890727-0024  294 0.06189 VSM_long 
74 0 AP890715-0006  295 0.06182 VSM_long 
74 0 AP890322-0013  296 0.06177 VSM_long 
74 0 AP891220-0090  297 0.06176 VSM_long 
74 0 AP890412-0134  298 0.06165 VSM_long 
74 0 AP890125-0279  299 0.06164 VSM_long 
74 0 AP890223-0073  300 0.06162 VSM_long 
74 0 AP890419-0264  301 0.06157 VSM_long 
74 0 AP890911-0104  302 0.06156 VSM_long 
74 0 AP891219-0231  303 0.06154 VSM_long 
74 0 AP890818-0055  304 0.06150 VSM_long 
74 0 AP890728-0028  305 0.06149 VSM_long 
74 0 AP891219-0089  306 0.06144 VSM_long 
74 0 AP891211-0205  307 0.06141 VSM_long 
74 0 AP890816-0076  308 0.06138 VSM_long 
74 0 AP891026-0152  309 0.06126 VSM_long 
74 0 AP891026-0128  310 0.06110 VSM_long 
74 0 AP891207-0038  311 0.06105 VSM_long 
74 0 AP891019-0177  312 0.06103 VSM_long 
74 0 AP891219-0118  313 0.06096 VSM_long 
74 0 AP890507-0039  314 0.06084 VSM_long 
74 0 AP890505-0092  315 0.06079 VSM_long 
74 0 AP890509-0179  316 0.06068 VSM_long 
74 0 AP890901-0021  317 0.06065 VSM_long 
74 0 AP890328-0177  318 0.06061 VSM_long 
74 0 AP890920-0101  319 0.06058 VSM_long 
74 0 AP890428-0253  320 0.06054 VSM_long 
74 0 AP891120-0194  321 0.06052 VSM_long 
74 0 AP890223-0310  322 0.06052 VSM_long 
74 0 AP890120-0083  323 0.06048 VSM_long 
74 0 AP890106-0225  324 0.06042 VSM_long 
74 0 AP891011-0028  325 0.06042 VSM_long 
74 0 AP890715-0047  326 0.06042 VSM_long 
74 0 AP890519-0252  327 0.06038 VSM_long 
74 0 AP890906-0023  328 0.06037 VSM_long 
74 0 AP891208-0254  329 0.06018 VSM_long 
74 0 AP890302-0072  330 0.06017 VSM_long 
74 0 AP890720-0210  331 0.06008 VSM_long 
74 0 AP890412-0216  332 0.05991 VSM_long 
74 0 AP890319-0103  333 0.05982 VSM_long 
74 0 AP890427-0021  334 0.05979 VSM_long 
74 0 AP890817-0220  335 0.05957 VSM_long 
74 0 AP890112-0217  336 0.05954 VSM_long 
74 0 AP890517-0035  337 0.05954 VSM_long 
74 0 AP890601-0340  338 0.05950 VSM_long 
74 0 AP890925-0157  339 0.05943 VSM_long 
74 0 AP890109-0204  340 0.05940 VSM_long 
74 0 AP890803-0021  341 0.05935 VSM_long 
74 0 AP891007-0101  342 0.05933 VSM_long 
74 0 AP890915-0109  343 0.05928 VSM_long 
74 0 AP890606-0018  344 0.05927 VSM_long 
74 0 AP890516-0200  345 0.05922 VSM_long 
74 0 AP890616-0038  346 0.05921 VSM_long 
74 0 AP891128-0077  347 0.05912 VSM_long 
74 0 AP890513-0098  348 0.05910 VSM_long 
74 0 AP890708-0104  349 0.05904 VSM_long 
74 0 AP891023-0220  350 0.05888 VSM_long 
74 0 AP890315-0148  351 0.05879 VSM_long 
74 0 AP890926-0112  352 0.05873 VSM_long 
74 0 AP890411-0143  353 0.05870 VSM_long 
74 0 AP890921-0081  354 0.05870 VSM_long 
74 0 AP890731-0102  355 0.05869 VSM_long 
74 0 AP890601-0321  356 0.05867 VSM_long 
74 0 AP891017-0207  357 0.05863 VSM_long 
74 0 AP890311-0105  358 0.05859 VSM_long 
74 0 AP890110-0199  359 0.05856 VSM_long 
74 0 AP891007-0112  360 0.05853 VSM_long 
74 0 AP890423-0057  361 0.05853 VSM_long 
74 0 AP891114-0054  362 0.05853 VSM_long 
74 0 AP890320-0070  363 0.05850 VSM_long 
74 0 AP890304-0124  364 0.05845 VSM_long 
74 0 AP890822-0173  365 0.05841 VSM_long 
74 0 AP890411-0025  366 0.05835 VSM_long 
74 0 AP890507-0095  367 0.05834 VSM_long 
74 0 AP890728-0038  368 0.05824 VSM_long 
74 0 AP890217-0148  369 0.05818 VSM_long 
74 0 AP890221-0006  370 0.05818 VSM_long 
74 0 AP890607-0050  371 0.05816 VSM_long 
74 0 AP890107-0120  372 0.05815 VSM_long 
74 0 AP891221-0028  373 0.05810 VSM_long 
74 0 AP891209-0074  374 0.05808 VSM_long 
74 0 AP890516-0080  375 0.05772 VSM_long 
74 0 AP890919-0072  376 0.05771 VSM_long 
74 0 AP890511-0232  377 0.05764 VSM_long 
74 0 AP890527-0030  378 0.05763 VSM_long 
74 0 AP890417-0261  379 0.05758 VSM_long 
74 0 AP890323-0013  380 0.05756 VSM_long 
74 0 AP890309-0249  381 0.05756 VSM_long 
74 0 AP890106-0216  382 0.05752 VSM_long 
74 0 AP890118-0195  383 0.05751 VSM_long 
74 0 AP890130-0076  384 0.05750 VSM_long 
74 0 AP891212-0062  385 0.05749 VSM_long 
74 0 AP890624-0085  386 0.05746 VSM_long 
74 0 AP890907-0147  387 0.05743 VSM_long 
74 0 AP890630-0085  388 0.05739 VSM_long 
74 0 AP890212-0027  389 0.05730 VSM_long 
74 0 AP890414-0219  390 0.05727 VSM_long 
74 0 AP890828-0123  391 0.05722 VSM_long 
74 0 AP890413-0150  392 0.05720 VSM_long 
74 0 AP890405-0078  393 0.05716 VSM_long 
74 0 AP891227-0044  394 0.05714 VSM_long 
74 0 AP890111-0029  395 0.05713 VSM_long 
74 0 AP891216-0088  396 0.05713 VSM_long 
74 0 AP890914-0002  397 0.05701 VSM_long 
74 0 AP891215-0145  398 0.05699 VSM_long 
74 0 AP891111-0068  399 0.05694 VSM_long 
74 0 AP891229-0007  400 0.05685 VSM_long 
74 0 AP890225-0157  401 0.05684 VSM_long 
74 0 AP891119-0006  402 0.05678 VSM_long 
74 0 AP890530-0199  403 0.05674 VSM_long 
74 0 AP890105-0276  404 0.05672 VSM_long 
74 0 AP890605-0080  405 0.05657 VSM_long 
74 0 AP890916-0050  406 0.05655 VSM_long 
74 0 AP890505-0134  407 0.05649 VSM_long 
74 0 AP890921-0117  408 0.05646 VSM_long 
74 0 AP891108-0212  409 0.05646 VSM_long 
74 0 AP890227-0237  410 0.05645 VSM_long 
74 0 AP890228-0162  411 0.05641 VSM_long 
74 0 AP890821-0046  412 0.05640 VSM_long 
74 0 AP890522-0060  413 0.05635 VSM_long 
74 0 AP890317-0163  414 0.05633 VSM_long 
74 0 AP890107-0130  415 0.05624 VSM_long 
74 0 AP890110-0191  416 0.05619 VSM_long 
74 0 AP890426-0283  417 0.05619 VSM_long 
74 0 AP890407-0156  418 0.05603 VSM_long 
74 0 AP890809-0166  419 0.05603 VSM_long 
74 0 AP890526-0164  420 0.05601 VSM_long 
74 0 AP890831-0258  421 0.05590 VSM_long 
74 0 AP890417-0230  422 0.05583 VSM_long 
74 0 AP890326-0068  423 0.05579 VSM_long 
74 0 AP890406-0082  424 0.05571 VSM_long 
74 0 AP890503-0038  425 0.05569 VSM_long 
74 0 AP890628-0139  426 0.05569 VSM_long 
74 0 AP890210-0279  427 0.05568 VSM_long 
74 0 AP890630-0021  428 0.05566 VSM_long 
74 0 AP890210-0131  429 0.05556 VSM_long 
74 0 AP890111-0146  430 0.05555 VSM_long 
74 0 AP890820-0056  431 0.05553 VSM_long 
74 0 AP890815-0092  432 0.05553 VSM_long 
74 0 AP890323-0029  433 0.05553 VSM_long 
74 0 AP890822-0172  434 0.05547 VSM_long 
74 0 AP890417-0106  435 0.05547 VSM_long 
74 0 AP890501-0179  436 0.05545 VSM_long 
74 0 AP890404-0239  437 0.05545 VSM_long 
74 0 AP890130-0106  438 0.05544 VSM_long 
74 0 AP890811-0195  439 0.05540 VSM_long 
74 0 AP890821-0167  440 0.05539 VSM_long 
74 0 AP891108-0042  441 0.05533 VSM_long 
74 0 AP890102-0077  442 0.05528 VSM_long 
74 0 AP891103-0075  443 0.05528 VSM_long 
74 0 AP890807-0130  444 0.05527 VSM_long 
74 0 AP890227-0122  445 0.05527 VSM_long 
74 0 AP890110-0186  446 0.05525 VSM_long 
74 0 AP890501-0245  447 0.05522 VSM_long 
74 0 AP890123-0142  448 0.05522 VSM_long 
74 0 AP890222-0160  449 0.05521 VSM_long 
74 0 AP890712-0234  450 0.05521 VSM_long 
74 0 AP891030-0131  451 0.05520 VSM_long 
74 0 AP890903-0016  452 0.05519 VSM_long 
74 0 AP890727-0196  453 0.05518 VSM_long 
74 0 AP890104-0221  454 0.05514 VSM_long 
74 0 AP890119-0080  455 0.05511 VSM_long 
74 0 AP890109-0228  456 0.05509 VSM_long 
74 0 AP890412-0017  457 0.05509 VSM_long 
74 0 AP890901-0030  458 0.05506 VSM_long 
74 0 AP890615-0105  459 0.05504 VSM_long 
74 0 AP891007-0123  460 0.05501 VSM_long 
74 0 AP891016-0143  461 0.05501 VSM_long 
74 0 AP890501-0057  462 0.05499 VSM_long 
74 0 AP890706-0055  463 0.05498 VSM_long 
74 0 AP890413-0183  464 0.05493 VSM_long 
74 0 AP890523-0152  465 0.05491 VSM_long 
74 0 AP891213-0025  466 0.05490 VSM_long 
74 0 AP890411-0136  467 0.05489 VSM_long 
74 0 AP890502-0220  468 0.05485 VSM_long 
74 0 AP890731-0096  469 0.05484 VSM_long 
74 0 AP890807-0177  470 0.05480 VSM_long 
74 0 AP890413-0002  471 0.05469 VSM_long 
74 0 AP890125-0187  472 0.05462 VSM_long 
74 0 AP891229-0071  473 0.05460 VSM_long 
74 0 AP890824-0073  474 0.05458 VSM_long 
74 0 AP890923-0042  475 0.05447 VSM_long 
74 0 AP890801-0117  476 0.05442 VSM_long 
74 0 AP890523-0018  477 0.05441 VSM_long 
74 0 AP890311-0118  478 0.05440 VSM_long 
74 0 AP890522-0082  479 0.05439 VSM_long 
74 0 AP890718-0086  480 0.05438 VSM_long 
74 0 AP890405-0208  481 0.05437 VSM_long 
74 0 AP890113-0061  482 0.05427 VSM_long 
74 0 AP890124-0172  483 0.05427 VSM_long 
74 0 AP891108-0202  484 0.05424 VSM_long 
74 0 AP890716-0049  485 0.05424 VSM_long 
74 0 AP890706-0016  486 0.05421 VSM_long 
74 0 AP890925-0194  487 0.05421 VSM_long 
74 0 AP890315-0178  488 0.05419 VSM_long 
74 0 AP891026-0108  489 0.05417 VSM_long 
74 0 AP891113-0188  490 0.05414 VSM_long 
74 0 AP890502-0034  491 0.05414 VSM_long 
74 0 AP891110-0108  492 0.05414 VSM_long 
74 0 AP891014-0086  493 0.05413 VSM_long 
74 0 AP890715-0049  494 0.05409 VSM_long 
74 0 AP890210-0220  495 0.05407 VSM_long 
74 0 AP890618-0023  496 0.05407 VSM_long 
74 0 AP891116-0128  497 0.05400 VSM_long 
74 0 AP890626-0232  498 0.05395 VSM_long 
74 0 AP890530-0114  499 0.05393 VSM_long 
74 0 AP890504-0161  500 0.05391 VSM_long 
74 0 AP890311-0137  501 0.05388 VSM_long 
74 0 AP890307-0108  502 0.05387 VSM_long 
74 0 AP890501-0083  503 0.05384 VSM_long 
74 0 AP891211-0091  504 0.05384 VSM_long 
74 0 AP891018-0119  505 0.05374 VSM_long 
74 0 AP891103-0013  506 0.05364 VSM_long 
74 0 AP890613-0062  507 0.05358 VSM_long 
74 0 AP891020-0313  508 0.05355 VSM_long 
74 0 AP891212-0226  509 0.05352 VSM_long 
74 0 AP890620-0183  510 0.05348 VSM_long 
74 0 AP890629-0298  511 0.05348 VSM_long 
74 0 AP891212-0113  512 0.05337 VSM_long 
74 0 AP890320-0283  513 0.05335 VSM_long 
74 0 AP890801-0196  514 0.05332 VSM_long 
74 0 AP890203-0248  515 0.05331 VSM_long 
74 0 AP890407-0124  516 0.05331 VSM_long 
74 0 AP890811-0076  517 0.05331 VSM_long 
74 0 AP891007-0060  518 0.05328 VSM_long 
74 0 AP890304-0112  519 0.05327 VSM_long 
74 0 AP890310-0259  520 0.05321 VSM_long 
74 0 AP890614-0048  521 0.05314 VSM_long 
74 0 AP890623-0112  522 0.05314 VSM_long 
74 0 AP890502-0170  523 0.05312 VSM_long 
74 0 AP890103-0109  524 0.05309 VSM_long 
74 0 AP890504-0171  525 0.05308 VSM_long 
74 0 AP890322-0236  526 0.05307 VSM_long 
74 0 AP890609-0031  527 0.05300 VSM_long 
74 0 AP890911-0186  528 0.05299 VSM_long 
74 0 AP890707-0114  529 0.05298 VSM_long 
74 0 AP891117-0232  530 0.05292 VSM_long 
74 0 AP890803-0128  531 0.05291 VSM_long 
74 0 AP890930-0041  532 0.05286 VSM_long 
74 0 AP890829-0024  533 0.05284 VSM_long 
74 0 AP890619-0039  534 0.05283 VSM_long 
74 0 AP890620-0156  535 0.05283 VSM_long 
74 0 AP890404-0065  536 0.05271 VSM_long 
74 0 AP891125-0074  537 0.05268 VSM_long 
74 0 AP890921-0043  538 0.05265 VSM_long 
74 0 AP890903-0068  539 0.05265 VSM_long 
74 0 AP890914-0188  540 0.05261 VSM_long 
74 0 AP890201-0117  541 0.05260 VSM_long 
74 0 AP891017-0171  542 0.05259 VSM_long 
74 0 AP890323-0170  543 0.05257 VSM_long 
74 0 AP891031-0046  544 0.05255 VSM_long 
74 0 AP891221-0054  545 0.05250 VSM_long 
74 0 AP891025-0159  546 0.05250 VSM_long 
74 0 AP890224-0279  547 0.05247 VSM_long 
74 0 AP890201-0251  548 0.05245 VSM_long 
74 0 AP890627-0126  549 0.05240 VSM_long 
74 0 AP890807-0054  550 0.05239 VSM_long 
74 0 AP891104-0016  551 0.05236 VSM_long 
74 0 AP891025-0258  552 0.05232 VSM_long 
74 0 AP891212-0019  553 0.05230 VSM_long 
