51 0 AP891126-0082    1 0.44663 TREC_long 
24377 0 AP890929-0168  327 0.04657 TREC_long 
24378 0 AP890909-0063  328 0.04654 TREC_long 
24379 0 AP890223-0073  329 0.04641 TREC_long 
24380 0 AP890421-0159  330 0.04641 TREC_long 
24381 0 AP891021-0038  331 0.04639 TREC_long 
24382 0 AP891109-0085  332 0.04639 TREC_long 
24383 0 AP890320-0139  333 0.04633 TREC_long 
24384 0 AP890404-0028  334 0.04633 TREC_long 
24385 0 AP890717-0146  335 0.04633 TREC_long 
24386 0 AP890425-0127  336 0.04628 TREC_long 
24387 0 AP890917-0069  337 0.04627 TREC_long 
24388 0 AP890814-0036  338 0.04623 TREC_long 
24389 0 AP890203-0025  339 0.04617 TREC_long 
24390 0 AP891223-0016  340 0.04603 TREC_long 
24391 0 AP891123-0163  341 0.04594 TREC_long 
24392 0 AP891214-0126  342 0.04590 TREC_long 
24393 0 AP890406-0076  343 0.04577 TREC_long 
24394 0 AP890619-0167  344 0.04575 TREC_long 
24395 0 AP890614-0272  345 0.04570 TREC_long 
24396 0 AP890321-0009  346 0.04570 TREC_long 
24397 0 AP890726-0164  347 0.04569 TREC_long 
24398 0 AP890811-0144  348 0.04549 TREC_long 
24399 0 AP891107-0025  349 0.04540 TREC_long 
24400 0 AP890304-0023  350 0.04526 TREC_long 
24401 0 AP890714-0209  351 0.04526 TREC_long 
24402 0 AP891222-0117  352 0.04519 TREC_long 
24403 0 AP890505-0117  353 0.04514 TREC_long 
24404 0 AP890511-0168  354 0.04514 TREC_long 
24405 0 AP890307-0181  355 0.04514 TREC_long 
24406 0 AP891004-0247  356 0.04514 TREC_long 
24407 0 AP890505-0065  357 0.04511 TREC_long 
24408 0 AP890311-0077  358 0.04503 TREC_long 
24409 0 AP890426-0073  359 0.04503 TREC_long 
24410 0 AP891009-0045  360 0.04503 TREC_long 
24411 0 AP890623-0099  361 0.04501 TREC_long 
24412 0 AP891007-0027  362 0.04497 TREC_long 
24413 0 AP890412-0107  363 0.04497 TREC_long 
24414 0 AP890509-0179  364 0.04496 TREC_long 
24415 0 AP891214-0220  365 0.04490 TREC_long 
24416 0 AP890902-0038  366 0.04485 TREC_long 
24417 0 AP890405-0123  367 0.04482 TREC_long 
24418 0 AP890804-0095  368 0.04467 TREC_long 
24419 0 AP890216-0058  369 0.04467 TREC_long 
24420 0 AP890610-0113  370 0.04461 TREC_long 
24421 0 AP890613-0106  371 0.04461 TREC_long 
24422 0 AP891002-0140  372 0.04461 TREC_long 
24423 0 AP890524-0109  373 0.04461 TREC_long 
24424 0 AP890628-0257  374 0.04443 TREC_long 
24425 0 AP891118-0052  375 0.04443 TREC_long 
24426 0 AP891101-0172  376 0.04441 TREC_long 
24427 0 AP891010-0271  377 0.04435 TREC_long 
24428 0 AP891122-0075  378 0.04434 TREC_long 
24429 0 AP891109-0131  379 0.04434 TREC_long 
24430 0 AP890412-0134  380 0.04434 TREC_long 
24431 0 AP890817-0220  381 0.04434 TREC_long 
24432 0 AP891204-0157  382 0.04429 TREC_long 
24433 0 AP890119-0124  383 0.04427 TREC_long 
24434 0 AP890601-0074  384 0.04427 TREC_long 
24435 0 AP891122-0054  385 0.04427 TREC_long 
24436 0 AP890720-0176  386 0.04427 TREC_long 
24437 0 AP890504-0019  387 0.04422 TREC_long 
24438 0 AP890310-0283  388 0.04419 TREC_long 
24439 0 AP891007-0112  389 0.04418 TREC_long 
24440 0 AP891001-0080  390 0.04416 TREC_long 
24441 0 AP890609-0227  391 0.04413 TREC_long 
24442 0 AP890203-0010  392 0.04410 TREC_long 
24443 0 AP891103-0075  393 0.04407 TREC_long 
24444 0 AP890709-0039  394 0.04403 TREC_long 
24445 0 AP891025-0074  395 0.04402 TREC_long 
24446 0 AP890102-0103  396 0.04402 TREC_long 
24447 0 AP891102-0235  397 0.04397 TREC_long 
24448 0 AP890731-0250  398 0.04393 TREC_long 
24449 0 AP890731-0251  399 0.04393 TREC_long 
24450 0 AP890410-0138  400 0.04391 TREC_long 
24451 0 AP890301-0047  401 0.04382 TREC_long 
24452 0 AP891005-0101  402 0.04382 TREC_long 
24453 0 AP890201-0192  403 0.04380 TREC_long 
24454 0 AP890811-0206  404 0.04373 TREC_long 
24455 0 AP890829-0046  405 0.04372 TREC_long 
24456 0 AP890124-0295  406 0.04371 TREC_long 
24457 0 AP890204-0157  407 0.04364 TREC_long 
24458 0 AP891122-0134  408 0.04356 TREC_long 
24459 0 AP890825-0259  409 0.04356 TREC_long 
24460 0 AP891005-0267  410 0.04356 TREC_long 
24461 0 AP890203-0141  411 0.04343 TREC_long 
24462 0 AP890618-0013  412 0.04343 TREC_long 
24463 0 AP890112-0041  413 0.04343 TREC_long 
24464 0 AP890328-0087  414 0.04343 TREC_long 
24465 0 AP890625-0043  415 0.04343 TREC_long 
24466 0 AP890707-0106  416 0.04343 TREC_long 
24467 0 AP890512-0123  417 0.04333 TREC_long 
24468 0 AP891016-0240  418 0.04332 TREC_long 
24469 0 AP891030-0103  419 0.04332 TREC_long 
24470 0 AP891207-0085  420 0.04332 TREC_long 
24471 0 AP890210-0140  421 0.04332 TREC_long 
24472 0 AP890722-0076  422 0.04332 TREC_long 
24473 0 AP890127-0095  423 0.04332 TREC_long 
24474 0 AP890131-0020  424 0.04332 TREC_long 
24475 0 AP890117-0097  425 0.04332 TREC_long 
24476 0 AP890917-0014  426 0.04332 TREC_long 
24477 0 AP890919-0265  427 0.04332 TREC_long 
24478 0 AP890718-0261  428 0.04332 TREC_long 
24479 0 AP890608-0114  429 0.04318 TREC_long 
24480 0 AP890218-0078  430 0.04318 TREC_long 
24481 0 AP890505-0172  431 0.04305 TREC_long 
24482 0 AP891017-0103  432 0.04305 TREC_long 
24483 0 AP890926-0008  433 0.04305 TREC_long 
24484 0 AP890926-0085  434 0.04305 TREC_long 
24485 0 AP890928-0117  435 0.04283 TREC_long 
24486 0 AP891110-0013  436 0.04283 TREC_long 
24487 0 AP890728-0065  437 0.04281 TREC_long 
24488 0 AP890517-0187  438 0.04279 TREC_long 
24489 0 AP891117-0146  439 0.04278 TREC_long 
24490 0 AP891011-0029  440 0.04275 TREC_long 
24491 0 AP890809-0195  441 0.04271 TREC_long 
24492 0 AP890522-0046  442 0.04268 TREC_long 
24493 0 AP891102-0077  443 0.04268 TREC_long 
24494 0 AP890802-0117  444 0.04268 TREC_long 
24495 0 AP891218-0254  445 0.04267 TREC_long 
24496 0 AP891107-0096  446 0.04264 TREC_long 
24497 0 AP890328-0215  447 0.04264 TREC_long 
24498 0 AP890703-0014  448 0.04264 TREC_long 
24499 0 AP890823-0061  449 0.04264 TREC_long 
24500 0 AP890105-0080  450 0.04259 TREC_long 
24501 0 AP890622-0199  451 0.04255 TREC_long 
24502 0 AP891014-0141  452 0.04244 TREC_long 
24503 0 AP891214-0036  453 0.04244 TREC_long 
24504 0 AP890109-0229  454 0.04244 TREC_long 
24505 0 AP890511-0095  455 0.04244 TREC_long 
24506 0 AP891208-0145  456 0.04231 TREC_long 
24507 0 AP890407-0182  457 0.04231 TREC_long 
24508 0 AP890208-0201  458 0.04231 TREC_long 
24509 0 AP890706-0240  459 0.04226 TREC_long 
24510 0 AP891108-0222  460 0.04226 TREC_long 
24511 0 AP890125-0173  461 0.04226 TREC_long 
24512 0 AP890727-0194  462 0.04226 TREC_long 
24513 0 AP890811-0119  463 0.04226 TREC_long 
24514 0 AP890302-0072  464 0.04219 TREC_long 
24515 0 AP890710-0147  465 0.04219 TREC_long 
24516 0 AP890509-0083  466 0.04219 TREC_long 
24517 0 AP890303-0095  467 0.04219 TREC_long 
24518 0 AP890516-0073  468 0.04219 TREC_long 
24519 0 AP890813-0089  469 0.04216 TREC_long 
24520 0 AP891108-0137  470 0.04207 TREC_long 
24521 0 AP890527-0075  471 0.04207 TREC_long 
24522 0 AP890710-0242  472 0.04207 TREC_long 
24523 0 AP891007-0101  473 0.04207 TREC_long 
24524 0 AP890819-0088  474 0.04206 TREC_long 
24525 0 AP890708-0111  475 0.04200 TREC_long 
24526 0 AP890718-0068  476 0.04196 TREC_long 
24527 0 AP891031-0055  477 0.04191 TREC_long 
24528 0 AP890323-0057  478 0.04172 TREC_long 
24529 0 AP890502-0170  479 0.04171 TREC_long 
24530 0 AP890216-0293  480 0.04166 TREC_long 
24531 0 AP891026-0261  481 0.04164 TREC_long 
24532 0 AP891012-0019  482 0.04163 TREC_long 
24533 0 AP891120-0068  483 0.04163 TREC_long 
24534 0 AP890721-0022  484 0.04161 TREC_long 
24535 0 AP890311-0004  485 0.04158 TREC_long 
24536 0 AP890811-0089  486 0.04149 TREC_long 
24537 0 AP891027-0048  487 0.04146 TREC_long 
24538 0 AP890608-0155  488 0.04146 TREC_long 
24539 0 AP890704-0082  489 0.04146 TREC_long 
24540 0 AP890215-0036  490 0.04146 TREC_long 
24541 0 AP890406-0247  491 0.04146 TREC_long 
24542 0 AP890419-0090  492 0.04146 TREC_long 
24543 0 AP890809-0135  493 0.04146 TREC_long 
24544 0 AP890424-0273  494 0.04139 TREC_long 
24545 0 AP891102-0043  495 0.04132 TREC_long 
24546 0 AP891123-0004  496 0.04132 TREC_long 
24547 0 AP891126-0057  497 0.04132 TREC_long 
24548 0 AP890509-0021  498 0.04132 TREC_long 
24549 0 AP890512-0098  499 0.04132 TREC_long 
24550 0 AP890713-0247  500 0.04132 TREC_long 
24551 0 AP891030-0166  501 0.04131 TREC_long 
24552 0 AP890401-0018  502 0.04131 TREC_long 
24553 0 AP891118-0164  503 0.04126 TREC_long 
24554 0 AP890628-0229  504 0.04117 TREC_long 
24555 0 AP890606-0119  505 0.04110 TREC_long 
24556 0 AP890818-0218  506 0.04110 TREC_long 
24557 0 AP891012-0164  507 0.04101 TREC_long 
24558 0 AP890123-0201  508 0.04101 TREC_long 
24559 0 AP890327-0108  509 0.04096 TREC_long 
24560 0 AP890427-0190  510 0.04090 TREC_long 
24561 0 AP891214-0052  511 0.04088 TREC_long 
24562 0 AP890822-0149  512 0.04087 TREC_long 
24563 0 AP891211-0253  513 0.04087 TREC_long 
24564 0 AP890414-0026  514 0.04081 TREC_long 
24565 0 AP891110-0093  515 0.04081 TREC_long 
24566 0 AP890127-0008  516 0.04080 TREC_long 
24567 0 AP891012-0302  517 0.04080 TREC_long 
24568 0 AP890208-0292  518 0.04080 TREC_long 
24569 0 AP891012-0221  519 0.04071 TREC_long 
24570 0 AP890311-0031  520 0.04062 TREC_long 
24571 0 AP891101-0158  521 0.04061 TREC_long 
24572 0 AP890324-0221  522 0.04060 TREC_long 
24573 0 AP890215-0265  523 0.04052 TREC_long 
24574 0 AP891101-0096  524 0.04048 TREC_long 
24575 0 AP891105-0014  525 0.04048 TREC_long 
24576 0 AP891127-0162  526 0.04048 TREC_long 
24577 0 AP890323-0107  527 0.04048 TREC_long 
24578 0 AP891208-0178  528 0.04048 TREC_long 
24579 0 AP890620-0169  529 0.04048 TREC_long 
24580 0 AP890622-0113  530 0.04048 TREC_long 
24581 0 AP891220-0066  531 0.04048 TREC_long 
24582 0 AP890405-0063  532 0.04048 TREC_long 
24583 0 AP890114-0031  533 0.04048 TREC_long 
24584 0 AP890226-0014  534 0.04048 TREC_long 
24585 0 AP890505-0200  535 0.04048 TREC_long 
24586 0 AP890513-0148  536 0.04048 TREC_long 
24587 0 AP890510-0268  537 0.04043 TREC_long 
24588 0 AP890311-0105  538 0.04039 TREC_long 
24589 0 AP891213-0158  539 0.04039 TREC_long 
24590 0 AP891222-0246  540 0.04034 TREC_long 
24591 0 AP891012-0017  541 0.04028 TREC_long 
24592 0 AP890311-0074  542 0.04019 TREC_long 
24593 0 AP890609-0079  543 0.04019 TREC_long 
24594 0 AP890724-0062  544 0.04019 TREC_long 
24595 0 AP890724-0140  545 0.04019 TREC_long 
24596 0 AP890205-0051  546 0.04019 TREC_long 
24597 0 AP890920-0181  547 0.04013 TREC_long 
24598 0 AP890531-0164  548 0.04012 TREC_long 
24599 0 AP890911-0275  549 0.04012 TREC_long 
24600 0 AP890405-0035  550 0.04011 TREC_long 
24601 0 AP891005-0240  551 0.04000 TREC_long 
24602 0 AP890708-0051  552 0.03998 TREC_long 
24603 0 AP890414-0030  553 0.03998 TREC_long 
24604 0 AP890307-0226  554 0.03998 TREC_long 
24605 0 AP891112-0068  555 0.03991 TREC_long 
24606 0 AP890719-0105  556 0.03991 TREC_long 
24607 0 AP891106-0079  557 0.03991 TREC_long 
24608 0 AP890111-0173  558 0.03989 TREC_long 
24609 0 AP891102-0065  559 0.03989 TREC_long 
24610 0 AP890601-0025  560 0.03982 TREC_long 
24611 0 AP891020-0297  561 0.03981 TREC_long 
24612 0 AP891101-0269  562 0.03981 TREC_long 
24613 0 AP891222-0294  563 0.03981 TREC_long 
24614 0 AP891220-0154  564 0.03965 TREC_long 
24615 0 AP890808-0024  565 0.03965 TREC_long 
24616 0 AP891101-0131  566 0.03959 TREC_long 
24617 0 AP890317-0092  567 0.03959 TREC_long 
24618 0 AP891129-0055  568 0.03959 TREC_long 
24619 0 AP890910-0088  569 0.03959 TREC_long 
24620 0 AP890428-0082  570 0.03958 TREC_long 
24621 0 AP890511-0076  571 0.03956 TREC_long 
24622 0 AP890619-0177  572 0.03954 TREC_long 
24623 0 AP890325-0077  573 0.03951 TREC_long 
24624 0 AP890131-0266  574 0.03949 TREC_long 
24625 0 AP890420-0283  575 0.03944 TREC_long 
24626 0 AP891117-0272  576 0.03944 TREC_long 
24627 0 AP890717-0076  577 0.03944 TREC_long 
24628 0 AP891017-0275  578 0.03929 TREC_long 
24629 0 AP891023-0001  579 0.03929 TREC_long 
24630 0 AP890325-0030  580 0.03929 TREC_long 
24631 0 AP891228-0063  581 0.03929 TREC_long 
24632 0 AP890127-0284  582 0.03929 TREC_long 
24633 0 AP890109-0112  583 0.03929 TREC_long 
24634 0 AP891107-0125  584 0.03925 TREC_long 
24635 0 AP891107-0315  585 0.03925 TREC_long 
24636 0 AP890303-0053  586 0.03925 TREC_long 
24637 0 AP890918-0073  587 0.03925 TREC_long 
24638 0 AP890407-0039  588 0.03918 TREC_long 
24639 0 AP891010-0131  589 0.03905 TREC_long 
24640 0 AP890706-0015  590 0.03905 TREC_long 
24641 0 AP890117-0233  591 0.03905 TREC_long 
24642 0 AP890819-0027  592 0.03901 TREC_long 
24643 0 AP890124-0129  593 0.03901 TREC_long 
24644 0 AP890308-0136  594 0.03895 TREC_long 
24645 0 AP891104-0097  595 0.03891 TREC_long 
24646 0 AP890928-0028  596 0.03887 TREC_long 
24647 0 AP890519-0261  597 0.03887 TREC_long 
24648 0 AP890630-0177  598 0.03887 TREC_long 
24649 0 AP890420-0134  599 0.03887 TREC_long 
24650 0 AP891207-0038  600 0.03886 TREC_long 
24651 0 AP891213-0106  601 0.03886 TREC_long 
24652 0 AP890304-0097  602 0.03883 TREC_long 
24653 0 AP891009-0139  603 0.03882 TREC_long 
24654 0 AP890520-0101  604 0.03882 TREC_long 
24655 0 AP891011-0068  605 0.03882 TREC_long 
24656 0 AP890523-0040  606 0.03882 TREC_long 
24657 0 AP891021-0160  607 0.03882 TREC_long 
24658 0 AP890602-0240  608 0.03882 TREC_long 
24659 0 AP891107-0095  609 0.03882 TREC_long 
24660 0 AP890120-0097  610 0.03882 TREC_long 
24661 0 AP891122-0103  611 0.03882 TREC_long 
24662 0 AP890407-0024  612 0.03882 TREC_long 
24663 0 AP890304-0062  613 0.03878 TREC_long 
24664 0 AP890105-0164  614 0.03876 TREC_long 
24665 0 AP890514-0071  615 0.03876 TREC_long 
24666 0 AP890405-0293  616 0.03874 TREC_long 
24667 0 AP891206-0088  617 0.03873 TREC_long 
24668 0 AP891207-0133  618 0.03873 TREC_long 
24669 0 AP890328-0135  619 0.03873 TREC_long 
24670 0 AP890726-0143  620 0.03873 TREC_long 
24671 0 AP891020-0100  621 0.03869 TREC_long 
24672 0 AP890929-0254  622 0.03869 TREC_long 
24673 0 AP890518-0289  623 0.03869 TREC_long 
24674 0 AP891030-0157  624 0.03865 TREC_long 
24675 0 AP891031-0044  625 0.03865 TREC_long 
24676 0 AP890907-0147  626 0.03862 TREC_long 
24677 0 AP891113-0184  627 0.03862 TREC_long 
24678 0 AP890714-0245  628 0.03862 TREC_long 
24679 0 AP890428-0165  629 0.03862 TREC_long 
24680 0 AP891109-0088  630 0.03861 TREC_long 
24681 0 AP891212-0264  631 0.03861 TREC_long 
24682 0 AP890902-0160  632 0.03861 TREC_long 
24683 0 AP890307-0155  633 0.03861 TREC_long 
24684 0 AP891021-0103  634 0.03851 TREC_long 
24685 0 AP891116-0004  635 0.03851 TREC_long 
24686 0 AP890620-0067  636 0.03851 TREC_long 
24687 0 AP890212-0086  637 0.03851 TREC_long 
24688 0 AP890406-0172  638 0.03851 TREC_long 
24689 0 AP890217-0061  639 0.03851 TREC_long 
24690 0 AP890811-0170  640 0.03851 TREC_long 
24691 0 AP890828-0078  641 0.03851 TREC_long 
24692 0 AP890908-0019  642 0.03851 TREC_long 
24693 0 AP890910-0011  643 0.03851 TREC_long 
24694 0 AP890203-0107  644 0.03851 TREC_long 
24695 0 AP890520-0049  645 0.03851 TREC_long 
24696 0 AP890203-0097  646 0.03851 TREC_long 
24697 0 AP891016-0105  647 0.03851 TREC_long 
24698 0 AP891116-0255  648 0.03851 TREC_long 
24699 0 AP890106-0107  649 0.03851 TREC_long 
24700 0 AP890619-0057  650 0.03851 TREC_long 
24701 0 AP891227-0028  651 0.03851 TREC_long 
24702 0 AP890703-0140  652 0.03851 TREC_long 
24703 0 AP890114-0021  653 0.03851 TREC_long 
24704 0 AP890811-0219  654 0.03851 TREC_long 
24705 0 AP890828-0170  655 0.03851 TREC_long 
24706 0 AP890201-0256  656 0.03851 TREC_long 
24707 0 AP890719-0004  657 0.03849 TREC_long 
24708 0 AP890314-0075  658 0.03845 TREC_long 
24709 0 AP890207-0068  659 0.03845 TREC_long 
24710 0 AP890612-0170  660 0.03845 TREC_long 
24711 0 AP890616-0049  661 0.03845 TREC_long 
24712 0 AP890922-0276  662 0.03845 TREC_long 
24713 0 AP890226-0059  663 0.03841 TREC_long 
24714 0 AP891006-0080  664 0.03838 TREC_long 
24715 0 AP890407-0172  665 0.03838 TREC_long 
24716 0 AP890103-0248  666 0.03838 TREC_long 
24717 0 AP890224-0279  667 0.03826 TREC_long 
24718 0 AP891214-0216  668 0.03816 TREC_long 
24719 0 AP890721-0252  669 0.03814 TREC_long 
24720 0 AP891004-0164  670 0.03814 TREC_long 
24721 0 AP890821-0189  671 0.03812 TREC_long 
24722 0 AP891021-0052  672 0.03809 TREC_long 
24723 0 AP890906-0191  673 0.03809 TREC_long 
24724 0 AP890301-0127  674 0.03808 TREC_long 
24725 0 AP890831-0179  675 0.03808 TREC_long 
24726 0 AP891116-0090  676 0.03808 TREC_long 
24727 0 AP890526-0223  677 0.03808 TREC_long 
24728 0 AP891118-0046  678 0.03808 TREC_long 
24729 0 AP891216-0015  679 0.03808 TREC_long 
24730 0 AP890705-0073  680 0.03808 TREC_long 
24731 0 AP890711-0102  681 0.03808 TREC_long 
24732 0 AP890216-0261  682 0.03808 TREC_long 
24733 0 AP890216-0263  683 0.03808 TREC_long 
24734 0 AP890227-0321  684 0.03808 TREC_long 
24735 0 AP890905-0129  685 0.03808 TREC_long 
24736 0 AP890310-0342  686 0.03808 TREC_long 
24737 0 AP890615-0262  687 0.03808 TREC_long 
24738 0 AP890718-0166  688 0.03808 TREC_long 
24739 0 AP890804-0059  689 0.03808 TREC_long 
24740 0 AP890128-0057  690 0.03807 TREC_long 
24741 0 AP890530-0284  691 0.03803 TREC_long 
24742 0 AP891212-0169  692 0.03798 TREC_long 
24743 0 AP891204-0035  693 0.03794 TREC_long 
24744 0 AP890527-0110  694 0.03793 TREC_long 
24745 0 AP891028-0128  695 0.03793 TREC_long 
24746 0 AP890208-0235  696 0.03793 TREC_long 
24747 0 AP890213-0081  697 0.03793 TREC_long 
24748 0 AP890714-0218  698 0.03793 TREC_long 
24749 0 AP891221-0139  699 0.03791 TREC_long 
24750 0 AP890719-0237  700 0.03791 TREC_long 
24751 0 AP891101-0079  701 0.03791 TREC_long 
24752 0 AP890629-0182  702 0.03791 TREC_long 
24753 0 AP890123-0318  703 0.03791 TREC_long 
24754 0 AP890215-0003  704 0.03791 TREC_long 
24755 0 AP890429-0034  705 0.03791 TREC_long 
24756 0 AP890902-0020  706 0.03791 TREC_long 
24757 0 AP890910-0034  707 0.03786 TREC_long 
24758 0 AP890205-0044  708 0.03781 TREC_long 
24759 0 AP891102-0168  709 0.03781 TREC_long 
24760 0 AP890804-0024  710 0.03781 TREC_long 
24761 0 AP890419-0027  711 0.03777 TREC_long 
24762 0 AP891025-0227  712 0.03775 TREC_long 
24763 0 AP890823-0254  713 0.03768 TREC_long 
24764 0 AP890109-0190  714 0.03750 TREC_long 
24765 0 AP890615-0217  715 0.03750 TREC_long 
24766 0 AP890619-0249  716 0.03750 TREC_long 
24767 0 AP890522-0008  717 0.03742 TREC_long 
24768 0 AP890224-0015  718 0.03742 TREC_long 
24769 0 AP890829-0029  719 0.03734 TREC_long 
24770 0 AP890506-0055  720 0.03734 TREC_long 
24771 0 AP890824-0196  721 0.03730 TREC_long 
24772 0 AP890616-0018  722 0.03729 TREC_long 
24773 0 AP890423-0044  723 0.03726 TREC_long 
24774 0 AP891130-0124  724 0.03722 TREC_long 
24775 0 AP890505-0260  725 0.03718 TREC_long 
24776 0 AP891121-0151  726 0.03717 TREC_long 
24777 0 AP890726-0134  727 0.03717 TREC_long 
24778 0 AP890816-0076  728 0.03714 TREC_long 
24779 0 AP890607-0063  729 0.03714 TREC_long 
24780 0 AP890812-0055  730 0.03714 TREC_long 
24781 0 AP890823-0083  731 0.03714 TREC_long 
24782 0 AP890528-0062  732 0.03713 TREC_long 
24783 0 AP890113-0061  733 0.03710 TREC_long 
24784 0 AP891013-0182  734 0.03709 TREC_long 
24785 0 AP891019-0046  735 0.03709 TREC_long 
24786 0 AP891019-0100  736 0.03709 TREC_long 
24787 0 AP891024-0245  737 0.03709 TREC_long 
24788 0 AP891025-0130  738 0.03709 TREC_long 
24789 0 AP891114-0223  739 0.03709 TREC_long 
24790 0 AP891116-0009  740 0.03709 TREC_long 
24791 0 AP891121-0007  741 0.03709 TREC_long 
24792 0 AP890124-0083  742 0.03709 TREC_long 
24793 0 AP890814-0004  743 0.03709 TREC_long 
24794 0 AP890824-0086  744 0.03709 TREC_long 
24795 0 AP890827-0016  745 0.03709 TREC_long 
24796 0 AP890503-0106  746 0.03709 TREC_long 
24797 0 AP890201-0102  747 0.03709 TREC_long 
24798 0 AP890930-0083  748 0.03709 TREC_long 
24799 0 AP891005-0078  749 0.03709 TREC_long 
24800 0 AP890330-0140  750 0.03704 TREC_long 
24801 0 AP890426-0286  751 0.03704 TREC_long 
24802 0 AP891010-0112  752 0.03699 TREC_long 
24803 0 AP890927-0024  753 0.03699 TREC_long 
24804 0 AP890610-0023  754 0.03694 TREC_long 
24805 0 AP890809-0027  755 0.03694 TREC_long 
24806 0 AP890906-0216  756 0.03694 TREC_long 
24807 0 AP891114-0019  757 0.03694 TREC_long 
24808 0 AP890214-0251  758 0.03694 TREC_long 
24809 0 AP890906-0097  759 0.03694 TREC_long 
24810 0 AP890516-0066  760 0.03694 TREC_long 
24811 0 AP891004-0087  761 0.03694 TREC_long 
24812 0 AP890221-0082  762 0.03690 TREC_long 
24813 0 AP890315-0130  763 0.03687 TREC_long 
24814 0 AP890319-0006  764 0.03685 TREC_long 
24815 0 AP890909-0036  765 0.03685 TREC_long 
24816 0 AP890308-0232  766 0.03682 TREC_long 
24817 0 AP890329-0136  767 0.03672 TREC_long 
24818 0 AP890330-0147  768 0.03671 TREC_long 
24819 0 AP890929-0177  769 0.03666 TREC_long 
24820 0 AP890417-0186  770 0.03661 TREC_long 
24821 0 AP890519-0184  771 0.03657 TREC_long 
24822 0 AP891106-0230  772 0.03657 TREC_long 
24823 0 AP891114-0236  773 0.03657 TREC_long 
24824 0 AP890909-0042  774 0.03657 TREC_long 
24825 0 AP891010-0176  775 0.03657 TREC_long 
24826 0 AP891011-0286  776 0.03657 TREC_long 
24827 0 AP890204-0026  777 0.03657 TREC_long 
24828 0 AP890207-0269  778 0.03657 TREC_long 
24829 0 AP891123-0162  779 0.03657 TREC_long 
24830 0 AP890626-0004  780 0.03657 TREC_long 
24831 0 AP890216-0046  781 0.03657 TREC_long 
24832 0 AP890720-0156  782 0.03657 TREC_long 
24833 0 AP890519-0103  783 0.03657 TREC_long 
24834 0 AP891019-0226  784 0.03655 TREC_long 
24835 0 AP891022-0025  785 0.03655 TREC_long 
24836 0 AP890608-0013  786 0.03655 TREC_long 
24837 0 AP890623-0133  787 0.03655 TREC_long 
24838 0 AP890125-0181  788 0.03655 TREC_long 
24839 0 AP890802-0202  789 0.03655 TREC_long 
24840 0 AP890127-0130  790 0.03655 TREC_long 
24841 0 AP890811-0233  791 0.03655 TREC_long 
24842 0 AP890907-0293  792 0.03655 TREC_long 
24843 0 AP890201-0263  793 0.03655 TREC_long 
24844 0 AP890517-0265  794 0.03655 TREC_long 
24845 0 AP890809-0143  795 0.03654 TREC_long 
24846 0 AP890712-0093  796 0.03652 TREC_long 
24847 0 AP890809-0063  797 0.03650 TREC_long 
24848 0 AP890513-0118  798 0.03642 TREC_long 
24849 0 AP890906-0010  799 0.03637 TREC_long 
24850 0 AP890731-0244  800 0.03635 TREC_long 
24851 0 AP890204-0170  801 0.03631 TREC_long 
24852 0 AP890430-0079  802 0.03631 TREC_long 
24853 0 AP891017-0253  803 0.03619 TREC_long 
24854 0 AP890210-0273  804 0.03619 TREC_long 
24855 0 AP890208-0126  805 0.03617 TREC_long 
24856 0 AP890918-0135  806 0.03617 TREC_long 
24857 0 AP890328-0126  807 0.03616 TREC_long 
24858 0 AP890517-0220  808 0.03616 TREC_long 
24859 0 AP890727-0044  809 0.03613 TREC_long 
24860 0 AP890110-0195  810 0.03613 TREC_long 
24861 0 AP890611-0056  811 0.03607 TREC_long 
24862 0 AP890330-0058  812 0.03607 TREC_long 
24863 0 AP890811-0053  813 0.03607 TREC_long 
24864 0 AP891229-0001  814 0.03601 TREC_long 
24865 0 AP890822-0027  815 0.03601 TREC_long 
24866 0 AP890623-0270  816 0.03598 TREC_long 
24867 0 AP890109-0028  817 0.03598 TREC_long 
24868 0 AP890313-0204  818 0.03598 TREC_long 
24869 0 AP891023-0146  819 0.03598 TREC_long 
24870 0 AP891106-0249  820 0.03598 TREC_long 
24871 0 AP891110-0251  821 0.03598 TREC_long 
24872 0 AP890614-0237  822 0.03598 TREC_long 
24873 0 AP890619-0104  823 0.03598 TREC_long 
24874 0 AP890217-0009  824 0.03598 TREC_long 
24875 0 AP890717-0042  825 0.03598 TREC_long 
24876 0 AP890814-0068  826 0.03598 TREC_long 
24877 0 AP890908-0093  827 0.03598 TREC_long 
24878 0 AP890922-0114  828 0.03598 TREC_long 
24879 0 AP891003-0253  829 0.03598 TREC_long 
24880 0 AP891005-0143  830 0.03598 TREC_long 
24881 0 AP891008-0014  831 0.03598 TREC_long 
24882 0 AP891011-0206  832 0.03597 TREC_long 
24883 0 AP890616-0230  833 0.03596 TREC_long 
24884 0 AP890606-0108  834 0.03591 TREC_long 
24885 0 AP890525-0119  835 0.03591 TREC_long 
24886 0 AP890407-0175  836 0.03591 TREC_long 
24887 0 AP890724-0145  837 0.03591 TREC_long 
24888 0 AP890414-0104  838 0.03591 TREC_long 
24889 0 AP890308-0193  839 0.03591 TREC_long 
24890 0 AP890517-0092  840 0.03591 TREC_long 
24891 0 AP890529-0107  841 0.03584 TREC_long 
24892 0 AP890601-0009  842 0.03584 TREC_long 
24893 0 AP891122-0101  843 0.03584 TREC_long 
