51 0 AP890518-0275    1 29.14379 LMwJMS_long 
82 0 AP890320-0240  975 7.36148 LMwJMS_long 
82 0 AP891009-0029  976 7.35903 LMwJMS_long 
82 0 AP890119-0045  977 7.35725 LMwJMS_long 
82 0 AP890308-0046  978 7.35725 LMwJMS_long 
82 0 AP890512-0201  979 7.35725 LMwJMS_long 
82 0 AP890330-0102  980 7.35406 LMwJMS_long 
82 0 AP890206-0267  981 7.35074 LMwJMS_long 
82 0 AP890315-0314  982 7.34635 LMwJMS_long 
82 0 AP891012-0036  983 7.34635 LMwJMS_long 
82 0 AP890527-0137  984 7.33741 LMwJMS_long 
82 0 AP890306-0223  985 7.33269 LMwJMS_long 
82 0 AP890606-0113  986 7.32982 LMwJMS_long 
82 0 AP890809-0246  987 7.32699 LMwJMS_long 
82 0 AP890820-0006  988 7.32670 LMwJMS_long 
82 0 AP890315-0105  989 7.31516 LMwJMS_long 
82 0 AP890314-0216  990 7.31369 LMwJMS_long 
82 0 AP890221-0052  991 7.30825 LMwJMS_long 
82 0 AP890531-0282  992 7.30825 LMwJMS_long 
82 0 AP891220-0030  993 7.30825 LMwJMS_long 
82 0 AP890115-0054  994 7.30731 LMwJMS_long 
82 0 AP890203-0067  995 7.30731 LMwJMS_long 
82 0 AP890916-0014  996 7.30731 LMwJMS_long 
82 0 AP890713-0046  997 7.30594 LMwJMS_long 
82 0 AP891010-0012  998 7.30485 LMwJMS_long 
82 0 AP890424-0209  999 7.29499 LMwJMS_long 
82 0 AP890524-0152 1000 7.29499 LMwJMS_long 
83 0 AP890228-0065    1 17.18447 LMwJMS_long 
83 0 AP891019-0182    2 15.52317 LMwJMS_long 
83 0 AP890824-0149    3 13.34946 LMwJMS_long 
83 0 AP890916-0066    4 12.83566 LMwJMS_long 
83 0 AP890512-0045    5 12.83028 LMwJMS_long 
83 0 AP890918-0100    6 12.79138 LMwJMS_long 
83 0 AP890715-0047    7 12.78559 LMwJMS_long 
83 0 AP890802-0274    8 12.44134 LMwJMS_long 
83 0 AP890823-0134    9 12.39784 LMwJMS_long 
83 0 AP890413-0099   10 12.29920 LMwJMS_long 
83 0 AP890829-0240   11 12.24907 LMwJMS_long 
83 0 AP890412-0217   12 12.01988 LMwJMS_long 
83 0 AP890127-0031   13 11.87075 LMwJMS_long 
83 0 AP890923-0100   14 11.52361 LMwJMS_long 
83 0 AP891118-0075   15 11.46789 LMwJMS_long 
83 0 AP891120-0130   16 11.44376 LMwJMS_long 
83 0 AP890825-0022   17 11.38863 LMwJMS_long 
83 0 AP890530-0097   18 11.33328 LMwJMS_long 
83 0 AP890418-0094   19 11.33166 LMwJMS_long 
83 0 AP891010-0200   20 11.32684 LMwJMS_long 
83 0 AP891005-0154   21 11.31577 LMwJMS_long 
83 0 AP891002-0191   22 11.29145 LMwJMS_long 
83 0 AP891118-0170   23 11.22996 LMwJMS_long 
83 0 AP890203-0116   24 11.15995 LMwJMS_long 
83 0 AP890716-0010   25 11.09451 LMwJMS_long 
83 0 AP890131-0116   26 11.08730 LMwJMS_long 
83 0 AP890808-0120   27 11.06628 LMwJMS_long 
83 0 AP890309-0046   28 11.00868 LMwJMS_long 
83 0 AP890620-0133   29 10.85768 LMwJMS_long 
83 0 AP890922-0028   30 10.82209 LMwJMS_long 
83 0 AP890325-0061   31 10.79935 LMwJMS_long 
83 0 AP890725-0142   32 10.79427 LMwJMS_long 
83 0 AP891219-0248   33 10.79187 LMwJMS_long 
83 0 AP890114-0053   34 10.77185 LMwJMS_long 
83 0 AP890801-0112   35 10.74871 LMwJMS_long 
83 0 AP890411-0074   36 10.74018 LMwJMS_long 
83 0 AP890323-0185   37 10.73001 LMwJMS_long 
83 0 AP890410-0198   38 10.72094 LMwJMS_long 
83 0 AP890924-0054   39 10.71527 LMwJMS_long 
83 0 AP890126-0108   40 10.69609 LMwJMS_long 
83 0 AP890201-0131   41 10.64816 LMwJMS_long 
83 0 AP891030-0074   42 10.61315 LMwJMS_long 
83 0 AP890926-0185   43 10.59840 LMwJMS_long 
83 0 AP891107-0219   44 10.42559 LMwJMS_long 
83 0 AP890829-0168   45 10.41036 LMwJMS_long 
83 0 AP890428-0150   46 10.27618 LMwJMS_long 
83 0 AP890403-0066   47 10.25981 LMwJMS_long 
83 0 AP890929-0033   48 10.25133 LMwJMS_long 
83 0 AP890809-0259   49 10.23379 LMwJMS_long 
83 0 AP890831-0150   50 10.22713 LMwJMS_long 
83 0 AP890619-0128   51 10.21503 LMwJMS_long 
83 0 AP891105-0072   52 10.19291 LMwJMS_long 
83 0 AP890508-0150   53 10.16400 LMwJMS_long 
83 0 AP891227-0129   54 10.15819 LMwJMS_long 
83 0 AP890309-0134   55 10.13500 LMwJMS_long 
83 0 AP890522-0097   56 10.12836 LMwJMS_long 
83 0 AP890727-0063   57 10.09815 LMwJMS_long 
83 0 AP890921-0048   58 10.08043 LMwJMS_long 
83 0 AP890511-0022   59 10.07843 LMwJMS_long 
83 0 AP891204-0074   60 10.06416 LMwJMS_long 
83 0 AP890424-0190   61 10.03773 LMwJMS_long 
83 0 AP891210-0073   62 10.01421 LMwJMS_long 
83 0 AP890504-0088   63 9.96691 LMwJMS_long 
83 0 AP890811-0202   64 9.94380 LMwJMS_long 
83 0 AP891004-0201   65 9.91540 LMwJMS_long 
83 0 AP891007-0068   66 9.91538 LMwJMS_long 
83 0 AP890314-0167   67 9.91371 LMwJMS_long 
83 0 AP890315-0268   68 9.89803 LMwJMS_long 
83 0 AP890217-0017   69 9.88413 LMwJMS_long 
83 0 AP890329-0026   70 9.87882 LMwJMS_long 
83 0 AP890502-0083   71 9.84298 LMwJMS_long 
83 0 AP890608-0140   72 9.83850 LMwJMS_long 
83 0 AP890514-0039   73 9.82658 LMwJMS_long 
83 0 AP891021-0091   74 9.81829 LMwJMS_long 
83 0 AP890127-0033   75 9.79272 LMwJMS_long 
83 0 AP890622-0033   76 9.77475 LMwJMS_long 
83 0 AP890316-0214   77 9.76249 LMwJMS_long 
83 0 AP890504-0186   78 9.71989 LMwJMS_long 
83 0 AP891121-0226   79 9.71941 LMwJMS_long 
83 0 AP890316-0005   80 9.66318 LMwJMS_long 
83 0 AP890313-0150   81 9.63707 LMwJMS_long 
83 0 AP890406-0143   82 9.61338 LMwJMS_long 
83 0 AP891101-0274   83 9.60092 LMwJMS_long 
83 0 AP890423-0057   84 9.56617 LMwJMS_long 
83 0 AP891026-0074   85 9.56601 LMwJMS_long 
83 0 AP890407-0110   86 9.54801 LMwJMS_long 
83 0 AP891002-0173   87 9.54301 LMwJMS_long 
83 0 AP891102-0145   88 9.53808 LMwJMS_long 
83 0 AP890923-0130   89 9.53212 LMwJMS_long 
83 0 AP890704-0088   90 9.53201 LMwJMS_long 
83 0 AP890920-0265   91 9.49260 LMwJMS_long 
83 0 AP890921-0236   92 9.49260 LMwJMS_long 
83 0 AP891005-0020   93 9.48589 LMwJMS_long 
83 0 AP890427-0118   94 9.47510 LMwJMS_long 
83 0 AP890301-0242   95 9.46329 LMwJMS_long 
83 0 AP890413-0104   96 9.44623 LMwJMS_long 
83 0 AP890626-0044   97 9.42779 LMwJMS_long 
83 0 AP890114-0046   98 9.42604 LMwJMS_long 
83 0 AP890114-0047   99 9.42604 LMwJMS_long 
83 0 AP890325-0010  100 9.41447 LMwJMS_long 
83 0 AP890513-0112  101 9.41447 LMwJMS_long 
83 0 AP890725-0171  102 9.39726 LMwJMS_long 
83 0 AP890212-0094  103 9.38067 LMwJMS_long 
83 0 AP891220-0127  104 9.36287 LMwJMS_long 
83 0 AP890725-0241  105 9.36000 LMwJMS_long 
83 0 AP890215-0014  106 9.34055 LMwJMS_long 
83 0 AP890623-0091  107 9.33855 LMwJMS_long 
83 0 AP890623-0193  108 9.33855 LMwJMS_long 
83 0 AP890502-0159  109 9.33455 LMwJMS_long 
83 0 AP890906-0063  110 9.30791 LMwJMS_long 
83 0 AP890404-0213  111 9.30123 LMwJMS_long 
83 0 AP890306-0090  112 9.29755 LMwJMS_long 
83 0 AP891025-0148  113 9.29663 LMwJMS_long 
83 0 AP890817-0156  114 9.28520 LMwJMS_long 
83 0 AP890807-0177  115 9.28497 LMwJMS_long 
83 0 AP890410-0228  116 9.27837 LMwJMS_long 
83 0 AP890309-0061  117 9.25888 LMwJMS_long 
83 0 AP890308-0175  118 9.25412 LMwJMS_long 
83 0 AP890203-0167  119 9.25115 LMwJMS_long 
83 0 AP890829-0104  120 9.23063 LMwJMS_long 
83 0 AP890328-0126  121 9.23062 LMwJMS_long 
83 0 AP890704-0074  122 9.20773 LMwJMS_long 
83 0 AP891217-0056  123 9.20773 LMwJMS_long 
83 0 AP891129-0170  124 9.20529 LMwJMS_long 
83 0 AP890318-0030  125 9.20519 LMwJMS_long 
83 0 AP891116-0078  126 9.19928 LMwJMS_long 
83 0 AP890925-0294  127 9.19218 LMwJMS_long 
83 0 AP891107-0142  128 9.19200 LMwJMS_long 
83 0 AP891206-0013  129 9.18569 LMwJMS_long 
83 0 AP890420-0110  130 9.18156 LMwJMS_long 
83 0 AP890120-0029  131 9.16942 LMwJMS_long 
83 0 AP890119-0080  132 9.16927 LMwJMS_long 
83 0 AP890722-0071  133 9.16819 LMwJMS_long 
83 0 AP891020-0021  134 9.15946 LMwJMS_long 
83 0 AP890202-0049  135 9.15590 LMwJMS_long 
83 0 AP890512-0019  136 9.14829 LMwJMS_long 
83 0 AP890127-0203  137 9.14036 LMwJMS_long 
83 0 AP890712-0120  138 9.13970 LMwJMS_long 
83 0 AP891014-0041  139 9.12176 LMwJMS_long 
83 0 AP891004-0158  140 9.12140 LMwJMS_long 
83 0 AP891202-0071  141 9.11284 LMwJMS_long 
83 0 AP891027-0016  142 9.10699 LMwJMS_long 
83 0 AP890512-0205  143 9.08921 LMwJMS_long 
83 0 AP890915-0146  144 9.08921 LMwJMS_long 
83 0 AP891206-0195  145 9.08787 LMwJMS_long 
83 0 AP890703-0214  146 9.08585 LMwJMS_long 
83 0 AP890427-0168  147 9.08423 LMwJMS_long 
83 0 AP890923-0071  148 9.08081 LMwJMS_long 
83 0 AP890217-0086  149 9.07020 LMwJMS_long 
83 0 AP890923-0026  150 9.06871 LMwJMS_long 
83 0 AP890310-0022  151 9.06488 LMwJMS_long 
83 0 AP890322-0188  152 9.06465 LMwJMS_long 
83 0 AP890411-0045  153 9.04758 LMwJMS_long 
83 0 AP890618-0020  154 9.04447 LMwJMS_long 
83 0 AP890901-0142  155 9.04261 LMwJMS_long 
83 0 AP890511-0158  156 9.03892 LMwJMS_long 
83 0 AP890123-0285  157 9.02803 LMwJMS_long 
83 0 AP890530-0189  158 9.02520 LMwJMS_long 
83 0 AP890929-0212  159 9.01253 LMwJMS_long 
83 0 AP890710-0179  160 9.00832 LMwJMS_long 
83 0 AP890322-0278  161 8.98262 LMwJMS_long 
83 0 AP890602-0244  162 8.98246 LMwJMS_long 
83 0 AP891002-0179  163 8.98245 LMwJMS_long 
83 0 AP890630-0169  164 8.96251 LMwJMS_long 
83 0 AP890228-0150  165 8.95703 LMwJMS_long 
83 0 AP890127-0029  166 8.93970 LMwJMS_long 
83 0 AP890421-0117  167 8.93663 LMwJMS_long 
83 0 AP890410-0058  168 8.92707 LMwJMS_long 
83 0 AP891202-0053  169 8.91920 LMwJMS_long 
83 0 AP891216-0062  170 8.90737 LMwJMS_long 
83 0 AP891011-0004  171 8.90435 LMwJMS_long 
83 0 AP891024-0236  172 8.90254 LMwJMS_long 
83 0 AP890626-0179  173 8.89945 LMwJMS_long 
83 0 AP891122-0144  174 8.89639 LMwJMS_long 
83 0 AP890820-0029  175 8.89600 LMwJMS_long 
83 0 AP890306-0254  176 8.88600 LMwJMS_long 
83 0 AP890918-0117  177 8.86392 LMwJMS_long 
83 0 AP890411-0154  178 8.85097 LMwJMS_long 
83 0 AP891127-0154  179 8.83381 LMwJMS_long 
83 0 AP891217-0040  180 8.83140 LMwJMS_long 
83 0 AP890427-0031  181 8.82899 LMwJMS_long 
83 0 AP891220-0208  182 8.82735 LMwJMS_long 
83 0 AP890216-0170  183 8.81445 LMwJMS_long 
83 0 AP890326-0054  184 8.80392 LMwJMS_long 
83 0 AP890713-0257  185 8.78801 LMwJMS_long 
83 0 AP891009-0112  186 8.78137 LMwJMS_long 
83 0 AP890320-0165  187 8.77660 LMwJMS_long 
83 0 AP890606-0152  188 8.77130 LMwJMS_long 
83 0 AP890403-0083  189 8.76789 LMwJMS_long 
83 0 AP890309-0173  190 8.75602 LMwJMS_long 
83 0 AP891128-0134  191 8.73153 LMwJMS_long 
83 0 AP890615-0011  192 8.72039 LMwJMS_long 
83 0 AP890922-0109  193 8.72039 LMwJMS_long 
83 0 AP890927-0035  194 8.71866 LMwJMS_long 
83 0 AP890301-0272  195 8.69953 LMwJMS_long 
83 0 AP890323-0184  196 8.68151 LMwJMS_long 
83 0 AP891222-0237  197 8.67400 LMwJMS_long 
83 0 AP890914-0026  198 8.66139 LMwJMS_long 
83 0 AP890405-0110  199 8.66050 LMwJMS_long 
83 0 AP891019-0038  200 8.62926 LMwJMS_long 
83 0 AP890418-0142  201 8.61071 LMwJMS_long 
83 0 AP890813-0015  202 8.59816 LMwJMS_long 
83 0 AP890317-0015  203 8.58375 LMwJMS_long 
83 0 AP890127-0054  204 8.57774 LMwJMS_long 
83 0 AP890407-0241  205 8.55319 LMwJMS_long 
83 0 AP890412-0008  206 8.55319 LMwJMS_long 
83 0 AP890811-0135  207 8.55313 LMwJMS_long 
83 0 AP890503-0131  208 8.54295 LMwJMS_long 
83 0 AP891010-0010  209 8.53139 LMwJMS_long 
83 0 AP890716-0030  210 8.52851 LMwJMS_long 
83 0 AP890815-0253  211 8.52851 LMwJMS_long 
83 0 AP890804-0057  212 8.52433 LMwJMS_long 
83 0 AP891221-0012  213 8.52080 LMwJMS_long 
83 0 AP890123-0141  214 8.52060 LMwJMS_long 
83 0 AP891104-0016  215 8.51842 LMwJMS_long 
83 0 AP890504-0205  216 8.51576 LMwJMS_long 
83 0 AP890929-0169  217 8.50868 LMwJMS_long 
83 0 AP891102-0094  218 8.50868 LMwJMS_long 
83 0 AP891117-0156  219 8.50673 LMwJMS_long 
83 0 AP890420-0166  220 8.48631 LMwJMS_long 
83 0 AP890621-0133  221 8.46672 LMwJMS_long 
83 0 AP891101-0202  222 8.45884 LMwJMS_long 
83 0 AP890106-0078  223 8.45580 LMwJMS_long 
83 0 AP890915-0232  224 8.44555 LMwJMS_long 
83 0 AP890728-0117  225 8.44426 LMwJMS_long 
83 0 AP890803-0104  226 8.43410 LMwJMS_long 
83 0 AP890220-0092  227 8.43009 LMwJMS_long 
83 0 AP890511-0249  228 8.42789 LMwJMS_long 
83 0 AP890820-0027  229 8.42212 LMwJMS_long 
83 0 AP891026-0069  230 8.42080 LMwJMS_long 
83 0 AP891030-0024  231 8.42034 LMwJMS_long 
83 0 AP890526-0070  232 8.40771 LMwJMS_long 
83 0 AP891109-0136  233 8.40168 LMwJMS_long 
83 0 AP890515-0052  234 8.40060 LMwJMS_long 
83 0 AP890418-0193  235 8.40023 LMwJMS_long 
83 0 AP890316-0257  236 8.39831 LMwJMS_long 
83 0 AP890705-0140  237 8.39194 LMwJMS_long 
83 0 AP891004-0147  238 8.39185 LMwJMS_long 
83 0 AP890103-0109  239 8.38973 LMwJMS_long 
83 0 AP890429-0124  240 8.38859 LMwJMS_long 
83 0 AP890619-0088  241 8.38271 LMwJMS_long 
83 0 AP890127-0181  242 8.38194 LMwJMS_long 
83 0 AP890719-0169  243 8.37751 LMwJMS_long 
83 0 AP891207-0211  244 8.37174 LMwJMS_long 
83 0 AP890427-0026  245 8.36699 LMwJMS_long 
83 0 AP890810-0033  246 8.36627 LMwJMS_long 
83 0 AP891124-0098  247 8.36547 LMwJMS_long 
83 0 AP890803-0066  248 8.35954 LMwJMS_long 
83 0 AP891026-0133  249 8.35846 LMwJMS_long 
83 0 AP890717-0141  250 8.35364 LMwJMS_long 
83 0 AP890629-0046  251 8.35342 LMwJMS_long 
83 0 AP890209-0266  252 8.33565 LMwJMS_long 
83 0 AP890509-0116  253 8.29957 LMwJMS_long 
83 0 AP891023-0021  254 8.29512 LMwJMS_long 
83 0 AP891209-0042  255 8.28563 LMwJMS_long 
83 0 AP890309-0291  256 8.28436 LMwJMS_long 
83 0 AP890904-0090  257 8.27374 LMwJMS_long 
83 0 AP890918-0020  258 8.27243 LMwJMS_long 
83 0 AP891213-0167  259 8.26943 LMwJMS_long 
83 0 AP890220-0103  260 8.25010 LMwJMS_long 
83 0 AP891027-0163  261 8.24316 LMwJMS_long 
83 0 AP890822-0123  262 8.24112 LMwJMS_long 
83 0 AP890728-0182  263 8.23917 LMwJMS_long 
83 0 AP890416-0061  264 8.23734 LMwJMS_long 
83 0 AP890120-0169  265 8.22818 LMwJMS_long 
83 0 AP890921-0032  266 8.22171 LMwJMS_long 
83 0 AP890711-0198  267 8.22022 LMwJMS_long 
83 0 AP890502-0257  268 8.21623 LMwJMS_long 
83 0 AP890515-0279  269 8.21526 LMwJMS_long 
83 0 AP890407-0182  270 8.21520 LMwJMS_long 
83 0 AP890102-0087  271 8.21362 LMwJMS_long 
83 0 AP890930-0084  272 8.20404 LMwJMS_long 
83 0 AP890121-0146  273 8.19522 LMwJMS_long 
83 0 AP890926-0146  274 8.19285 LMwJMS_long 
83 0 AP890812-0015  275 8.19124 LMwJMS_long 
83 0 AP890130-0158  276 8.18873 LMwJMS_long 
83 0 AP890123-0201  277 8.18505 LMwJMS_long 
83 0 AP890524-0135  278 8.17925 LMwJMS_long 
83 0 AP891114-0144  279 8.17427 LMwJMS_long 
83 0 AP890309-0201  280 8.16605 LMwJMS_long 
83 0 AP890208-0106  281 8.16523 LMwJMS_long 
83 0 AP890510-0080  282 8.14791 LMwJMS_long 
83 0 AP891117-0016  283 8.14573 LMwJMS_long 
83 0 AP891115-0151  284 8.14322 LMwJMS_long 
83 0 AP890109-0204  285 8.14271 LMwJMS_long 
83 0 AP890724-0208  286 8.13877 LMwJMS_long 
83 0 AP890815-0157  287 8.13877 LMwJMS_long 
83 0 AP890404-0173  288 8.13466 LMwJMS_long 
83 0 AP890322-0206  289 8.13326 LMwJMS_long 
83 0 AP890410-0112  290 8.13136 LMwJMS_long 
83 0 AP890614-0078  291 8.11295 LMwJMS_long 
83 0 AP891107-0266  292 8.10538 LMwJMS_long 
83 0 AP890109-0181  293 8.10486 LMwJMS_long 
83 0 AP890108-0026  294 8.09399 LMwJMS_long 
83 0 AP890115-0002  295 8.08815 LMwJMS_long 
83 0 AP890727-0246  296 8.08168 LMwJMS_long 
83 0 AP890216-0178  297 8.07657 LMwJMS_long 
83 0 AP890311-0105  298 8.07474 LMwJMS_long 
83 0 AP890921-0285  299 8.06091 LMwJMS_long 
83 0 AP890525-0161  300 8.04829 LMwJMS_long 
83 0 AP890709-0052  301 8.04462 LMwJMS_long 
83 0 AP891018-0211  302 8.04423 LMwJMS_long 
83 0 AP890126-0249  303 8.04301 LMwJMS_long 
83 0 AP890513-0066  304 8.03719 LMwJMS_long 
83 0 AP890724-0005  305 8.03168 LMwJMS_long 
83 0 AP891116-0221  306 8.01755 LMwJMS_long 
83 0 AP890527-0085  307 8.01682 LMwJMS_long 
83 0 AP890220-0152  308 8.01223 LMwJMS_long 
83 0 AP890318-0089  309 8.01161 LMwJMS_long 
83 0 AP890320-0025  310 8.01161 LMwJMS_long 
83 0 AP890802-0034  311 8.01031 LMwJMS_long 
83 0 AP890827-0022  312 7.99352 LMwJMS_long 
83 0 AP890907-0191  313 7.99043 LMwJMS_long 
83 0 AP891022-0006  314 7.99043 LMwJMS_long 
83 0 AP890727-0082  315 7.97305 LMwJMS_long 
83 0 AP890817-0121  316 7.96638 LMwJMS_long 
83 0 AP890526-0012  317 7.95929 LMwJMS_long 
83 0 AP890209-0021  318 7.95861 LMwJMS_long 
83 0 AP890915-0134  319 7.95691 LMwJMS_long 
83 0 AP890608-0028  320 7.95040 LMwJMS_long 
83 0 AP890930-0101  321 7.93601 LMwJMS_long 
83 0 AP890621-0282  322 7.93411 LMwJMS_long 
83 0 AP890818-0007  323 7.93411 LMwJMS_long 
83 0 AP891113-0166  324 7.92161 LMwJMS_long 
83 0 AP890308-0196  325 7.92156 LMwJMS_long 
83 0 AP890918-0049  326 7.91797 LMwJMS_long 
83 0 AP890212-0085  327 7.90963 LMwJMS_long 
83 0 AP890627-0094  328 7.90368 LMwJMS_long 
83 0 AP890119-0248  329 7.89669 LMwJMS_long 
83 0 AP890802-0025  330 7.88958 LMwJMS_long 
83 0 AP891107-0217  331 7.88823 LMwJMS_long 
83 0 AP890927-0039  332 7.88791 LMwJMS_long 
83 0 AP890827-0010  333 7.88326 LMwJMS_long 
83 0 AP890908-0074  334 7.88039 LMwJMS_long 
83 0 AP890722-0005  335 7.87819 LMwJMS_long 
83 0 AP890405-0107  336 7.87268 LMwJMS_long 
83 0 AP890712-0186  337 7.85814 LMwJMS_long 
83 0 AP890206-0153  338 7.85420 LMwJMS_long 
83 0 AP891218-0140  339 7.85323 LMwJMS_long 
83 0 AP890621-0231  340 7.85267 LMwJMS_long 
83 0 AP890630-0093  341 7.84701 LMwJMS_long 
83 0 AP890530-0196  342 7.83111 LMwJMS_long 
83 0 AP890412-0182  343 7.82743 LMwJMS_long 
83 0 AP890703-0148  344 7.82426 LMwJMS_long 
83 0 AP890906-0030  345 7.82255 LMwJMS_long 
83 0 AP890220-0063  346 7.82229 LMwJMS_long 
83 0 AP890407-0048  347 7.82229 LMwJMS_long 
83 0 AP890528-0051  348 7.82029 LMwJMS_long 
83 0 AP890726-0135  349 7.81745 LMwJMS_long 
83 0 AP890727-0187  350 7.81077 LMwJMS_long 
83 0 AP890816-0013  351 7.81047 LMwJMS_long 
83 0 AP890505-0076  352 7.81044 LMwJMS_long 
83 0 AP890511-0194  353 7.80972 LMwJMS_long 
83 0 AP891005-0185  354 7.80847 LMwJMS_long 
83 0 AP890626-0286  355 7.80621 LMwJMS_long 
83 0 AP890508-0140  356 7.80130 LMwJMS_long 
83 0 AP890608-0245  357 7.79786 LMwJMS_long 
83 0 AP890611-0056  358 7.79728 LMwJMS_long 
83 0 AP890222-0169  359 7.79405 LMwJMS_long 
83 0 AP891016-0156  360 7.79405 LMwJMS_long 
83 0 AP891215-0163  361 7.79205 LMwJMS_long 
83 0 AP890822-0022  362 7.79159 LMwJMS_long 
83 0 AP891014-0064  363 7.78995 LMwJMS_long 
83 0 AP890515-0172  364 7.78557 LMwJMS_long 
83 0 AP891222-0078  365 7.78241 LMwJMS_long 
83 0 AP890629-0169  366 7.77769 LMwJMS_long 
83 0 AP891211-0311  367 7.77340 LMwJMS_long 
83 0 AP890508-0102  368 7.77232 LMwJMS_long 
83 0 AP890406-0183  369 7.77018 LMwJMS_long 
83 0 AP890809-0024  370 7.76007 LMwJMS_long 
83 0 AP891024-0191  371 7.74909 LMwJMS_long 
83 0 AP890722-0016  372 7.74772 LMwJMS_long 
83 0 AP891019-0170  373 7.74570 LMwJMS_long 
83 0 AP890405-0148  374 7.73836 LMwJMS_long 
83 0 AP890614-0030  375 7.73383 LMwJMS_long 
83 0 AP890725-0124  376 7.72419 LMwJMS_long 
83 0 AP890208-0284  377 7.72351 LMwJMS_long 
83 0 AP890519-0172  378 7.72272 LMwJMS_long 
83 0 AP891212-0202  379 7.71538 LMwJMS_long 
83 0 AP890823-0184  380 7.71425 LMwJMS_long 
83 0 AP891226-0203  381 7.71425 LMwJMS_long 
83 0 AP890525-0024  382 7.71344 LMwJMS_long 
83 0 AP890115-0011  383 7.71249 LMwJMS_long 
83 0 AP891101-0239  384 7.71063 LMwJMS_long 
83 0 AP890508-0135  385 7.70993 LMwJMS_long 
83 0 AP891118-0132  386 7.70281 LMwJMS_long 
83 0 AP891209-0082  387 7.68541 LMwJMS_long 
83 0 AP890622-0323  388 7.68417 LMwJMS_long 
83 0 AP890927-0089  389 7.68092 LMwJMS_long 
83 0 AP890302-0189  390 7.67931 LMwJMS_long 
83 0 AP890603-0008  391 7.67747 LMwJMS_long 
83 0 AP890504-0182  392 7.66712 LMwJMS_long 
83 0 AP890513-0017  393 7.66712 LMwJMS_long 
83 0 AP890625-0062  394 7.66712 LMwJMS_long 
83 0 AP890913-0180  395 7.66712 LMwJMS_long 
83 0 AP891210-0060  396 7.66147 LMwJMS_long 
83 0 AP890727-0154  397 7.65995 LMwJMS_long 
83 0 AP890120-0275  398 7.65832 LMwJMS_long 
83 0 AP891124-0192  399 7.62995 LMwJMS_long 
83 0 AP891012-0133  400 7.62907 LMwJMS_long 
83 0 AP890725-0028  401 7.62557 LMwJMS_long 
83 0 AP891009-0024  402 7.62320 LMwJMS_long 
83 0 AP890808-0124  403 7.61598 LMwJMS_long 
83 0 AP891012-0124  404 7.61509 LMwJMS_long 
83 0 AP890311-0019  405 7.60109 LMwJMS_long 
83 0 AP891017-0192  406 7.59968 LMwJMS_long 
83 0 AP891018-0078  407 7.59968 LMwJMS_long 
83 0 AP891122-0176  408 7.59663 LMwJMS_long 
83 0 AP890227-0079  409 7.59460 LMwJMS_long 
83 0 AP890811-0206  410 7.58175 LMwJMS_long 
83 0 AP890406-0101  411 7.58173 LMwJMS_long 
83 0 AP891027-0088  412 7.57857 LMwJMS_long 
83 0 AP890809-0019  413 7.57845 LMwJMS_long 
83 0 AP890527-0062  414 7.57792 LMwJMS_long 
83 0 AP890829-0167  415 7.57640 LMwJMS_long 
83 0 AP890525-0071  416 7.57565 LMwJMS_long 
83 0 AP890722-0001  417 7.57485 LMwJMS_long 
83 0 AP890502-0176  418 7.57105 LMwJMS_long 
83 0 AP890113-0254  419 7.57040 LMwJMS_long 
83 0 AP890727-0067  420 7.57040 LMwJMS_long 
83 0 AP891110-0184  421 7.56315 LMwJMS_long 
83 0 AP891003-0190  422 7.55677 LMwJMS_long 
83 0 AP890715-0074  423 7.53429 LMwJMS_long 
83 0 AP890307-0123  424 7.53412 LMwJMS_long 
83 0 AP891218-0060  425 7.53401 LMwJMS_long 
83 0 AP890718-0204  426 7.52784 LMwJMS_long 
83 0 AP890328-0103  427 7.52710 LMwJMS_long 
83 0 AP890603-0014  428 7.52065 LMwJMS_long 
83 0 AP891127-0061  429 7.51968 LMwJMS_long 
83 0 AP890510-0169  430 7.51510 LMwJMS_long 
83 0 AP890131-0275  431 7.51271 LMwJMS_long 
83 0 AP890210-0065  432 7.50945 LMwJMS_long 
83 0 AP891030-0175  433 7.50760 LMwJMS_long 
83 0 AP890510-0089  434 7.50583 LMwJMS_long 
83 0 AP891016-0056  435 7.50356 LMwJMS_long 
83 0 AP890311-0118  436 7.50335 LMwJMS_long 
83 0 AP891006-0017  437 7.49999 LMwJMS_long 
83 0 AP890925-0026  438 7.49990 LMwJMS_long 
83 0 AP890424-0053  439 7.49776 LMwJMS_long 
83 0 AP890720-0021  440 7.49634 LMwJMS_long 
83 0 AP890413-0182  441 7.49458 LMwJMS_long 
83 0 AP890307-0241  442 7.49092 LMwJMS_long 
83 0 AP890607-0146  443 7.47529 LMwJMS_long 
83 0 AP890120-0292  444 7.46874 LMwJMS_long 
83 0 AP890213-0144  445 7.46788 LMwJMS_long 
83 0 AP890323-0033  446 7.46694 LMwJMS_long 
83 0 AP890918-0027  447 7.46011 LMwJMS_long 
83 0 AP890430-0027  448 7.45924 LMwJMS_long 
83 0 AP890506-0088  449 7.45924 LMwJMS_long 
83 0 AP890315-0309  450 7.45752 LMwJMS_long 
83 0 AP891215-0078  451 7.45680 LMwJMS_long 
83 0 AP890210-0130  452 7.45502 LMwJMS_long 
83 0 AP890831-0148  453 7.45415 LMwJMS_long 
83 0 AP890426-0208  454 7.45302 LMwJMS_long 
83 0 AP891219-0078  455 7.43743 LMwJMS_long 
