51 0 AP890908-0222    1 0.95151 VSM_short 
76 0 AP890901-0041   94 0.16589 VSM_short 
76 0 AP891014-0113   95 0.16540 VSM_short 
76 0 AP890405-0001   96 0.16442 VSM_short 
76 0 AP890708-0034   97 0.16442 VSM_short 
76 0 AP890301-0121   98 0.16431 VSM_short 
76 0 AP890404-0098   99 0.16431 VSM_short 
76 0 AP890501-0066  100 0.16431 VSM_short 
76 0 AP890624-0110  101 0.16431 VSM_short 
76 0 AP891103-0218  102 0.16431 VSM_short 
76 0 AP890705-0130  103 0.16421 VSM_short 
76 0 AP890127-0204  104 0.16388 VSM_short 
76 0 AP890115-0009  105 0.16188 VSM_short 
76 0 AP890121-0026  106 0.16188 VSM_short 
76 0 AP890112-0149  107 0.16148 VSM_short 
76 0 AP891116-0259  108 0.16002 VSM_short 
76 0 AP890320-0254  109 0.15972 VSM_short 
76 0 AP890327-0026  110 0.15972 VSM_short 
76 0 AP890613-0072  111 0.15972 VSM_short 
76 0 AP890713-0227  112 0.15972 VSM_short 
76 0 AP891011-0175  113 0.15972 VSM_short 
76 0 AP890120-0101  114 0.15938 VSM_short 
76 0 AP891018-0039  115 0.15920 VSM_short 
76 0 AP890923-0045  116 0.15917 VSM_short 
76 0 AP890502-0303  117 0.15786 VSM_short 
76 0 AP891027-0299  118 0.15608 VSM_short 
76 0 AP890816-0079  119 0.15452 VSM_short 
76 0 AP890109-0201  120 0.15449 VSM_short 
76 0 AP890124-0084  121 0.15449 VSM_short 
76 0 AP890830-0127  122 0.15449 VSM_short 
76 0 AP890913-0111  123 0.15356 VSM_short 
76 0 AP891103-0003  124 0.15349 VSM_short 
76 0 AP890522-0248  125 0.15342 VSM_short 
76 0 AP891101-0281  126 0.15208 VSM_short 
76 0 AP891121-0074  127 0.15202 VSM_short 
76 0 AP890313-0194  128 0.15032 VSM_short 
76 0 AP890109-0221  129 0.14945 VSM_short 
76 0 AP890508-0100  130 0.14921 VSM_short 
76 0 AP890104-0091  131 0.14876 VSM_short 
76 0 AP890316-0190  132 0.14876 VSM_short 
76 0 AP891103-0074  133 0.14876 VSM_short 
76 0 AP891002-0310  134 0.14789 VSM_short 
76 0 AP891104-0087  135 0.14789 VSM_short 
76 0 AP891123-0030  136 0.14736 VSM_short 
76 0 AP890920-0101  137 0.14709 VSM_short 
76 0 AP891113-0008  138 0.14616 VSM_short 
76 0 AP890511-0190  139 0.14613 VSM_short 
76 0 AP890719-0225  140 0.14588 VSM_short 
76 0 AP891016-0176  141 0.14477 VSM_short 
76 0 AP891121-0130  142 0.14428 VSM_short 
76 0 AP890105-0105  143 0.14221 VSM_short 
76 0 AP891105-0047  144 0.14221 VSM_short 
76 0 AP890411-0038  145 0.14094 VSM_short 
76 0 AP890427-0019  146 0.14094 VSM_short 
76 0 AP890727-0255  147 0.14075 VSM_short 
76 0 AP890915-0156  148 0.14075 VSM_short 
76 0 AP891211-0096  149 0.14075 VSM_short 
76 0 AP891215-0051  150 0.14075 VSM_short 
76 0 AP890228-0052  151 0.14039 VSM_short 
76 0 AP890503-0067  152 0.14039 VSM_short 
76 0 AP891219-0055  153 0.14039 VSM_short 
76 0 AP890718-0145  154 0.13927 VSM_short 
76 0 AP890417-0144  155 0.13913 VSM_short 
76 0 AP890911-0147  156 0.13913 VSM_short 
76 0 AP890707-0108  157 0.13902 VSM_short 
76 0 AP891020-0131  158 0.13858 VSM_short 
76 0 AP890121-0151  159 0.13841 VSM_short 
76 0 AP890131-0026  160 0.13841 VSM_short 
76 0 AP890430-0035  161 0.13841 VSM_short 
76 0 AP890522-0185  162 0.13841 VSM_short 
76 0 AP890628-0084  163 0.13788 VSM_short 
76 0 AP891029-0034  164 0.13788 VSM_short 
76 0 AP890203-0037  165 0.13716 VSM_short 
76 0 AP890804-0064  166 0.13697 VSM_short 
76 0 AP891115-0215  167 0.13655 VSM_short 
76 0 AP891120-0164  168 0.13655 VSM_short 
76 0 AP891122-0086  169 0.13655 VSM_short 
76 0 AP890420-0050  170 0.13649 VSM_short 
76 0 AP890608-0237  171 0.13649 VSM_short 
76 0 AP890612-0095  172 0.13649 VSM_short 
76 0 AP891002-0098  173 0.13649 VSM_short 
76 0 AP890811-0081  174 0.13623 VSM_short 
76 0 AP890104-0029  175 0.13623 VSM_short 
76 0 AP890214-0014  176 0.13623 VSM_short 
76 0 AP890118-0275  177 0.13518 VSM_short 
76 0 AP890406-0256  178 0.13518 VSM_short 
76 0 AP890430-0022  179 0.13518 VSM_short 
76 0 AP890722-0115  180 0.13518 VSM_short 
76 0 AP890420-0104  181 0.13517 VSM_short 
76 0 AP890221-0252  182 0.13490 VSM_short 
76 0 AP890522-0014  183 0.13490 VSM_short 
76 0 AP891106-0211  184 0.13490 VSM_short 
76 0 AP890421-0110  185 0.13462 VSM_short 
76 0 AP890724-0080  186 0.13443 VSM_short 
76 0 AP890314-0185  187 0.13417 VSM_short 
76 0 AP890805-0138  188 0.13408 VSM_short 
76 0 AP890320-0076  189 0.13351 VSM_short 
76 0 AP890623-0003  190 0.13351 VSM_short 
76 0 AP891109-0191  191 0.13304 VSM_short 
76 0 AP890830-0156  192 0.13267 VSM_short 
76 0 AP890524-0062  193 0.13244 VSM_short 
76 0 AP890906-0189  194 0.13213 VSM_short 
76 0 AP890227-0325  195 0.13202 VSM_short 
76 0 AP890105-0066  196 0.13145 VSM_short 
76 0 AP890201-0269  197 0.13145 VSM_short 
76 0 AP890301-0297  198 0.13145 VSM_short 
76 0 AP890328-0074  199 0.13145 VSM_short 
76 0 AP890411-0173  200 0.13145 VSM_short 
76 0 AP890623-0093  201 0.13145 VSM_short 
76 0 AP890628-0019  202 0.13145 VSM_short 
76 0 AP890721-0265  203 0.13145 VSM_short 
76 0 AP891004-0164  204 0.13145 VSM_short 
76 0 AP891004-0259  205 0.13145 VSM_short 
76 0 AP891020-0014  206 0.13145 VSM_short 
76 0 AP891103-0220  207 0.13145 VSM_short 
76 0 AP891117-0119  208 0.13145 VSM_short 
76 0 AP890703-0029  209 0.13076 VSM_short 
76 0 AP891114-0161  210 0.13076 VSM_short 
76 0 AP890222-0043  211 0.13018 VSM_short 
76 0 AP891212-0081  212 0.12932 VSM_short 
76 0 AP890918-0180  213 0.12916 VSM_short 
76 0 AP890724-0127  214 0.12874 VSM_short 
76 0 AP890104-0076  215 0.12787 VSM_short 
76 0 AP890707-0125  216 0.12778 VSM_short 
76 0 AP891107-0098  217 0.12778 VSM_short 
76 0 AP890616-0098  218 0.12751 VSM_short 
76 0 AP890822-0172  219 0.12751 VSM_short 
76 0 AP890828-0257  220 0.12751 VSM_short 
76 0 AP890913-0232  221 0.12751 VSM_short 
76 0 AP891116-0148  222 0.12751 VSM_short 
76 0 AP891215-0281  223 0.12751 VSM_short 
76 0 AP890121-0143  224 0.12750 VSM_short 
76 0 AP890623-0191  225 0.12750 VSM_short 
76 0 AP890719-0120  226 0.12750 VSM_short 
76 0 AP890922-0038  227 0.12750 VSM_short 
76 0 AP890924-0081  228 0.12750 VSM_short 
76 0 AP890125-0077  229 0.12673 VSM_short 
76 0 AP890307-0187  230 0.12673 VSM_short 
76 0 AP890907-0012  231 0.12644 VSM_short 
76 0 AP890110-0203  232 0.12487 VSM_short 
76 0 AP890119-0133  233 0.12487 VSM_short 
76 0 AP890127-0016  234 0.12487 VSM_short 
76 0 AP890208-0067  235 0.12487 VSM_short 
76 0 AP890221-0186  236 0.12487 VSM_short 
76 0 AP890227-0209  237 0.12487 VSM_short 
76 0 AP890302-0205  238 0.12487 VSM_short 
76 0 AP890314-0155  239 0.12487 VSM_short 
76 0 AP890320-0072  240 0.12487 VSM_short 
76 0 AP890418-0283  241 0.12487 VSM_short 
76 0 AP890502-0143  242 0.12487 VSM_short 
76 0 AP890510-0160  243 0.12487 VSM_short 
76 0 AP890622-0006  244 0.12487 VSM_short 
76 0 AP890721-0048  245 0.12487 VSM_short 
76 0 AP890724-0038  246 0.12487 VSM_short 
76 0 AP890817-0080  247 0.12487 VSM_short 
76 0 AP891118-0062  248 0.12487 VSM_short 
76 0 AP890417-0066  249 0.12316 VSM_short 
76 0 AP890621-0126  250 0.12316 VSM_short 
76 0 AP890131-0200  251 0.12316 VSM_short 
76 0 AP890221-0037  252 0.12316 VSM_short 
76 0 AP890518-0156  253 0.12316 VSM_short 
76 0 AP890422-0117  254 0.12274 VSM_short 
76 0 AP890508-0150  255 0.12274 VSM_short 
76 0 AP890906-0306  256 0.12274 VSM_short 
76 0 AP890911-0045  257 0.12274 VSM_short 
76 0 AP890927-0263  258 0.12274 VSM_short 
76 0 AP891002-0176  259 0.12274 VSM_short 
76 0 AP891011-0024  260 0.12274 VSM_short 
76 0 AP890628-0186  261 0.12252 VSM_short 
76 0 AP890708-0131  262 0.12252 VSM_short 
76 0 AP890717-0157  263 0.12252 VSM_short 
76 0 AP891101-0261  264 0.12252 VSM_short 
76 0 AP890617-0024  265 0.12198 VSM_short 
76 0 AP890111-0048  266 0.12174 VSM_short 
76 0 AP890211-0031  267 0.12174 VSM_short 
76 0 AP890404-0116  268 0.12174 VSM_short 
76 0 AP890923-0001  269 0.12174 VSM_short 
76 0 AP890327-0035  270 0.12129 VSM_short 
76 0 AP890810-0129  271 0.12129 VSM_short 
76 0 AP890711-0167  272 0.12095 VSM_short 
76 0 AP890403-0019  273 0.11943 VSM_short 
76 0 AP890504-0057  274 0.11943 VSM_short 
76 0 AP890703-0192  275 0.11943 VSM_short 
76 0 AP890727-0268  276 0.11943 VSM_short 
76 0 AP890809-0180  277 0.11943 VSM_short 
76 0 AP890901-0143  278 0.11943 VSM_short 
76 0 AP890927-0079  279 0.11943 VSM_short 
76 0 AP891016-0166  280 0.11943 VSM_short 
76 0 AP891114-0038  281 0.11943 VSM_short 
76 0 AP891107-0185  282 0.11917 VSM_short 
76 0 AP890219-0104  283 0.11851 VSM_short 
76 0 AP890221-0090  284 0.11851 VSM_short 
76 0 AP890316-0091  285 0.11851 VSM_short 
76 0 AP890411-0052  286 0.11851 VSM_short 
76 0 AP890428-0001  287 0.11851 VSM_short 
76 0 AP890516-0015  288 0.11851 VSM_short 
76 0 AP890820-0024  289 0.11851 VSM_short 
76 0 AP890821-0100  290 0.11851 VSM_short 
76 0 AP890831-0115  291 0.11851 VSM_short 
76 0 AP890915-0107  292 0.11851 VSM_short 
76 0 AP891105-0018  293 0.11851 VSM_short 
76 0 AP891127-0034  294 0.11839 VSM_short 
76 0 AP890125-0323  295 0.11798 VSM_short 
76 0 AP890324-0178  296 0.11758 VSM_short 
76 0 AP891123-0040  297 0.11747 VSM_short 
76 0 AP890120-0091  298 0.11745 VSM_short 
76 0 AP890120-0099  299 0.11745 VSM_short 
76 0 AP890302-0113  300 0.11745 VSM_short 
76 0 AP891115-0263  301 0.11745 VSM_short 
76 0 AP890302-0100  302 0.11732 VSM_short 
76 0 AP890804-0020  303 0.11732 VSM_short 
76 0 AP891211-0210  304 0.11732 VSM_short 
76 0 AP890726-0163  305 0.11618 VSM_short 
76 0 AP890727-0044  306 0.11618 VSM_short 
76 0 AP890429-0123  307 0.11612 VSM_short 
76 0 AP890111-0105  308 0.11587 VSM_short 
76 0 AP890430-0065  309 0.11587 VSM_short 
76 0 AP890520-0088  310 0.11587 VSM_short 
76 0 AP890607-0012  311 0.11587 VSM_short 
76 0 AP890616-0083  312 0.11587 VSM_short 
76 0 AP890818-0141  313 0.11587 VSM_short 
76 0 AP891202-0032  314 0.11587 VSM_short 
76 0 AP890828-0143  315 0.11560 VSM_short 
76 0 AP890713-0136  316 0.11543 VSM_short 
76 0 AP890330-0010  317 0.11534 VSM_short 
76 0 AP890503-0311  318 0.11534 VSM_short 
76 0 AP890522-0267  319 0.11534 VSM_short 
76 0 AP890713-0302  320 0.11534 VSM_short 
76 0 AP890719-0224  321 0.11534 VSM_short 
76 0 AP890926-0020  322 0.11534 VSM_short 
76 0 AP891012-0171  323 0.11534 VSM_short 
76 0 AP891218-0192  324 0.11534 VSM_short 
76 0 AP890103-0120  325 0.11501 VSM_short 
76 0 AP890207-0069  326 0.11501 VSM_short 
76 0 AP890210-0182  327 0.11501 VSM_short 
76 0 AP890227-0005  328 0.11501 VSM_short 
76 0 AP890301-0316  329 0.11501 VSM_short 
76 0 AP890302-0018  330 0.11501 VSM_short 
76 0 AP890317-0228  331 0.11501 VSM_short 
76 0 AP890328-0112  332 0.11501 VSM_short 
76 0 AP890329-0042  333 0.11501 VSM_short 
76 0 AP890714-0192  334 0.11501 VSM_short 
76 0 AP890809-0159  335 0.11501 VSM_short 
76 0 AP890817-0135  336 0.11501 VSM_short 
76 0 AP890822-0108  337 0.11501 VSM_short 
76 0 AP890914-0113  338 0.11501 VSM_short 
76 0 AP891011-0208  339 0.11501 VSM_short 
76 0 AP891030-0065  340 0.11501 VSM_short 
76 0 AP891107-0215  341 0.11501 VSM_short 
76 0 AP890416-0015  342 0.11444 VSM_short 
76 0 AP890428-0050  343 0.11430 VSM_short 
76 0 AP890517-0258  344 0.11430 VSM_short 
76 0 AP890714-0014  345 0.11430 VSM_short 
76 0 AP890720-0060  346 0.11430 VSM_short 
76 0 AP890911-0039  347 0.11430 VSM_short 
76 0 AP891018-0219  348 0.11430 VSM_short 
76 0 AP890214-0041  349 0.11352 VSM_short 
76 0 AP890921-0221  350 0.11352 VSM_short 
76 0 AP890202-0276  351 0.11352 VSM_short 
76 0 AP890206-0274  352 0.11334 VSM_short 
76 0 AP891007-0040  353 0.11325 VSM_short 
76 0 AP890420-0217  354 0.11315 VSM_short 
76 0 AP891122-0274  355 0.11315 VSM_short 
76 0 AP890911-0190  356 0.11289 VSM_short 
76 0 AP890128-0151  357 0.11162 VSM_short 
76 0 AP890106-0193  358 0.11156 VSM_short 
76 0 AP890307-0169  359 0.11156 VSM_short 
76 0 AP890320-0080  360 0.11156 VSM_short 
76 0 AP890619-0207  361 0.11156 VSM_short 
76 0 AP890619-0208  362 0.11156 VSM_short 
76 0 AP890623-0121  363 0.11156 VSM_short 
76 0 AP891019-0117  364 0.11156 VSM_short 
76 0 AP891110-0147  365 0.11156 VSM_short 
76 0 AP891127-0204  366 0.11156 VSM_short 
76 0 AP890626-0044  367 0.11107 VSM_short 
76 0 AP890202-0038  368 0.11092 VSM_short 
76 0 AP890718-0168  369 0.11092 VSM_short 
76 0 AP890718-0278  370 0.11092 VSM_short 
76 0 AP890116-0064  371 0.11069 VSM_short 
76 0 AP890124-0176  372 0.11069 VSM_short 
76 0 AP890408-0089  373 0.11069 VSM_short 
76 0 AP890503-0286  374 0.11069 VSM_short 
76 0 AP890619-0087  375 0.11069 VSM_short 
76 0 AP890418-0224  376 0.11037 VSM_short 
76 0 AP890802-0088  377 0.11037 VSM_short 
76 0 AP890305-0032  378 0.11030 VSM_short 
76 0 AP890126-0064  379 0.11007 VSM_short 
76 0 AP890320-0179  380 0.10964 VSM_short 
76 0 AP890130-0088  381 0.10926 VSM_short 
76 0 AP890130-0134  382 0.10926 VSM_short 
76 0 AP890201-0165  383 0.10926 VSM_short 
76 0 AP890221-0299  384 0.10926 VSM_short 
76 0 AP890223-0310  385 0.10926 VSM_short 
76 0 AP890317-0240  386 0.10926 VSM_short 
76 0 AP890320-0070  387 0.10926 VSM_short 
76 0 AP890322-0249  388 0.10926 VSM_short 
76 0 AP890328-0059  389 0.10926 VSM_short 
76 0 AP890522-0265  390 0.10926 VSM_short 
76 0 AP890606-0173  391 0.10926 VSM_short 
76 0 AP890612-0072  392 0.10926 VSM_short 
76 0 AP890623-0104  393 0.10926 VSM_short 
76 0 AP890630-0115  394 0.10926 VSM_short 
76 0 AP890705-0057  395 0.10926 VSM_short 
76 0 AP890803-0022  396 0.10926 VSM_short 
76 0 AP890831-0136  397 0.10926 VSM_short 
76 0 AP890901-0247  398 0.10926 VSM_short 
76 0 AP890908-0147  399 0.10926 VSM_short 
76 0 AP890912-0144  400 0.10926 VSM_short 
76 0 AP890912-0239  401 0.10926 VSM_short 
76 0 AP890914-0093  402 0.10926 VSM_short 
76 0 AP891006-0245  403 0.10926 VSM_short 
76 0 AP891018-0043  404 0.10926 VSM_short 
76 0 AP891111-0148  405 0.10926 VSM_short 
76 0 AP891112-0065  406 0.10926 VSM_short 
76 0 AP891113-0018  407 0.10926 VSM_short 
76 0 AP891129-0034  408 0.10926 VSM_short 
76 0 AP891201-0043  409 0.10926 VSM_short 
76 0 AP891212-0159  410 0.10926 VSM_short 
76 0 AP891213-0172  411 0.10926 VSM_short 
76 0 AP890207-0127  412 0.10899 VSM_short 
76 0 AP891005-0290  413 0.10899 VSM_short 
76 0 AP890718-0151  414 0.10859 VSM_short 
76 0 AP890804-0089  415 0.10859 VSM_short 
76 0 AP891005-0008  416 0.10837 VSM_short 
76 0 AP891116-0181  417 0.10837 VSM_short 
76 0 AP891211-0179  418 0.10837 VSM_short 
76 0 AP890830-0063  419 0.10837 VSM_short 
76 0 AP891129-0193  420 0.10837 VSM_short 
76 0 AP890131-0236  421 0.10792 VSM_short 
76 0 AP891007-0068  422 0.10782 VSM_short 
76 0 AP891121-0037  423 0.10780 VSM_short 
76 0 AP890315-0250  424 0.10764 VSM_short 
76 0 AP890425-0175  425 0.10754 VSM_short 
76 0 AP890805-0002  426 0.10754 VSM_short 
76 0 AP890922-0178  427 0.10754 VSM_short 
76 0 AP890113-0274  428 0.10740 VSM_short 
76 0 AP890131-0300  429 0.10740 VSM_short 
76 0 AP890329-0110  430 0.10740 VSM_short 
76 0 AP890419-0040  431 0.10740 VSM_short 
76 0 AP890619-0115  432 0.10740 VSM_short 
76 0 AP890817-0059  433 0.10740 VSM_short 
76 0 AP890916-0104  434 0.10740 VSM_short 
76 0 AP891121-0253  435 0.10686 VSM_short 
76 0 AP890322-0290  436 0.10678 VSM_short 
76 0 AP891020-0296  437 0.10678 VSM_short 
76 0 AP890215-0196  438 0.10644 VSM_short 
76 0 AP890327-0052  439 0.10644 VSM_short 
76 0 AP890407-0275  440 0.10644 VSM_short 
76 0 AP890509-0032  441 0.10644 VSM_short 
76 0 AP890721-0161  442 0.10644 VSM_short 
76 0 AP890723-0027  443 0.10644 VSM_short 
76 0 AP890806-0059  444 0.10644 VSM_short 
76 0 AP891002-0210  445 0.10644 VSM_short 
76 0 AP890421-0093  446 0.10626 VSM_short 
76 0 AP891119-0016  447 0.10583 VSM_short 
76 0 AP890106-0013  448 0.10556 VSM_short 
76 0 AP890314-0183  449 0.10556 VSM_short 
76 0 AP890324-0153  450 0.10556 VSM_short 
76 0 AP891011-0199  451 0.10556 VSM_short 
76 0 AP891212-0008  452 0.10556 VSM_short 
76 0 AP890109-0015  453 0.10435 VSM_short 
76 0 AP890130-0189  454 0.10435 VSM_short 
76 0 AP890307-0031  455 0.10435 VSM_short 
76 0 AP890807-0127  456 0.10310 VSM_short 
76 0 AP891021-0088  457 0.10310 VSM_short 
76 0 AP890120-0135  458 0.10307 VSM_short 
76 0 AP890127-0186  459 0.10307 VSM_short 
76 0 AP890214-0216  460 0.10307 VSM_short 
76 0 AP890228-0201  461 0.10307 VSM_short 
76 0 AP891103-0171  462 0.10307 VSM_short 
76 0 AP891108-0236  463 0.10307 VSM_short 
76 0 AP891204-0065  464 0.10307 VSM_short 
76 0 AP890222-0233  465 0.10288 VSM_short 
76 0 AP890623-0188  466 0.10288 VSM_short 
76 0 AP890829-0028  467 0.10268 VSM_short 
76 0 AP890120-0108  468 0.10253 VSM_short 
76 0 AP890420-0128  469 0.10237 VSM_short 
76 0 AP890523-0102  470 0.10237 VSM_short 
76 0 AP890616-0090  471 0.10237 VSM_short 
76 0 AP890703-0185  472 0.10237 VSM_short 
76 0 AP890710-0179  473 0.10237 VSM_short 
76 0 AP890716-0074  474 0.10237 VSM_short 
76 0 AP890720-0051  475 0.10237 VSM_short 
76 0 AP890727-0159  476 0.10237 VSM_short 
76 0 AP890913-0028  477 0.10237 VSM_short 
76 0 AP890918-0002  478 0.10237 VSM_short 
76 0 AP890919-0022  479 0.10237 VSM_short 
76 0 AP891005-0171  480 0.10237 VSM_short 
76 0 AP891005-0198  481 0.10237 VSM_short 
76 0 AP891017-0130  482 0.10237 VSM_short 
76 0 AP891213-0053  483 0.10237 VSM_short 
76 0 AP891226-0017  484 0.10237 VSM_short 
76 0 AP890126-0050  485 0.10139 VSM_short 
76 0 AP890220-0033  486 0.10139 VSM_short 
76 0 AP890411-0025  487 0.10139 VSM_short 
76 0 AP890421-0082  488 0.10139 VSM_short 
76 0 AP890501-0158  489 0.10139 VSM_short 
76 0 AP890506-0087  490 0.10139 VSM_short 
76 0 AP890512-0219  491 0.10139 VSM_short 
76 0 AP890527-0011  492 0.10139 VSM_short 
76 0 AP890607-0118  493 0.10139 VSM_short 
76 0 AP890801-0026  494 0.10139 VSM_short 
76 0 AP890803-0095  495 0.10139 VSM_short 
76 0 AP890824-0169  496 0.10139 VSM_short 
76 0 AP890825-0102  497 0.10139 VSM_short 
76 0 AP890913-0306  498 0.10139 VSM_short 
76 0 AP891030-0086  499 0.10139 VSM_short 
76 0 AP891215-0163  500 0.10139 VSM_short 
76 0 AP890105-0081  501 0.10104 VSM_short 
76 0 AP890105-0118  502 0.10104 VSM_short 
76 0 AP891018-0128  503 0.10104 VSM_short 
76 0 AP890221-0009  504 0.10077 VSM_short 
76 0 AP890425-0035  505 0.10077 VSM_short 
76 0 AP890227-0026  506 0.10056 VSM_short 
76 0 AP890805-0112  507 0.10056 VSM_short 
76 0 AP890927-0014  508 0.10056 VSM_short 
76 0 AP890116-0097  509 0.10013 VSM_short 
76 0 AP890406-0040  510 0.10013 VSM_short 
76 0 AP890926-0112  511 0.10013 VSM_short 
76 0 AP891204-0209  512 0.10013 VSM_short 
76 0 AP890423-0026  513 0.10011 VSM_short 
76 0 AP891221-0012  514 0.09954 VSM_short 
76 0 AP891214-0093  515 0.09948 VSM_short 
76 0 AP891221-0175  516 0.09870 VSM_short 
76 0 AP890609-0084  517 0.09866 VSM_short 
76 0 AP890105-0115  518 0.09858 VSM_short 
76 0 AP890201-0029  519 0.09858 VSM_short 
76 0 AP890202-0029  520 0.09858 VSM_short 
76 0 AP890208-0031  521 0.09858 VSM_short 
76 0 AP890211-0103  522 0.09858 VSM_short 
76 0 AP890227-0073  523 0.09858 VSM_short 
76 0 AP890404-0183  524 0.09858 VSM_short 
76 0 AP890405-0249  525 0.09858 VSM_short 
76 0 AP890627-0076  526 0.09858 VSM_short 
76 0 AP890709-0017  527 0.09858 VSM_short 
76 0 AP890719-0301  528 0.09858 VSM_short 
76 0 AP890811-0016  529 0.09858 VSM_short 
76 0 AP890819-0149  530 0.09858 VSM_short 
76 0 AP890905-0082  531 0.09858 VSM_short 
76 0 AP890905-0084  532 0.09858 VSM_short 
76 0 AP891004-0200  533 0.09858 VSM_short 
76 0 AP891009-0014  534 0.09858 VSM_short 
76 0 AP891020-0030  535 0.09858 VSM_short 
76 0 AP891026-0136  536 0.09858 VSM_short 
76 0 AP891122-0051  537 0.09858 VSM_short 
76 0 AP890103-0162  538 0.09802 VSM_short 
76 0 AP890203-0090  539 0.09802 VSM_short 
76 0 AP890222-0101  540 0.09802 VSM_short 
76 0 AP890224-0008  541 0.09802 VSM_short 
76 0 AP890725-0083  542 0.09802 VSM_short 
76 0 AP890915-0233  543 0.09802 VSM_short 
76 0 AP891010-0134  544 0.09802 VSM_short 
76 0 AP891013-0018  545 0.09802 VSM_short 
76 0 AP891111-0142  546 0.09802 VSM_short 
76 0 AP891225-0100  547 0.09802 VSM_short 
76 0 AP891006-0173  548 0.09789 VSM_short 
76 0 AP890411-0073  549 0.09767 VSM_short 
76 0 AP890627-0154  550 0.09767 VSM_short 
76 0 AP890814-0102  551 0.09767 VSM_short 
76 0 AP890117-0185  552 0.09719 VSM_short 
76 0 AP890626-0179  553 0.09719 VSM_short 
76 0 AP891130-0003  554 0.09719 VSM_short 
76 0 AP890606-0017  555 0.09699 VSM_short 
76 0 AP891212-0200  556 0.09699 VSM_short 
76 0 AP890213-0171  557 0.09685 VSM_short 
76 0 AP890406-0147  558 0.09685 VSM_short 
76 0 AP890720-0090  559 0.09685 VSM_short 
76 0 AP891127-0206  560 0.09685 VSM_short 
76 0 AP891219-0132  561 0.09685 VSM_short 
76 0 AP890719-0160  562 0.09667 VSM_short 
76 0 AP890201-0114  563 0.09655 VSM_short 
76 0 AP890222-0022  564 0.09655 VSM_short 
76 0 AP890608-0063  565 0.09655 VSM_short 
76 0 AP890714-0180  566 0.09655 VSM_short 
76 0 AP890809-0028  567 0.09655 VSM_short 
76 0 AP890809-0133  568 0.09655 VSM_short 
76 0 AP891013-0015  569 0.09655 VSM_short 
76 0 AP891215-0191  570 0.09655 VSM_short 
76 0 AP890129-0079  571 0.09633 VSM_short 
76 0 AP890605-0074  572 0.09633 VSM_short 
76 0 AP890808-0021  573 0.09633 VSM_short 
76 0 AP890517-0107  574 0.09619 VSM_short 
76 0 AP890914-0201  575 0.09619 VSM_short 
76 0 AP890330-0150  576 0.09617 VSM_short 
76 0 AP890829-0105  577 0.09583 VSM_short 
76 0 AP890107-0030  578 0.09563 VSM_short 
76 0 AP890110-0105  579 0.09563 VSM_short 
76 0 AP890120-0068  580 0.09563 VSM_short 
76 0 AP890120-0152  581 0.09563 VSM_short 
76 0 AP890208-0207  582 0.09563 VSM_short 
76 0 AP890219-0025  583 0.09563 VSM_short 
76 0 AP890221-0094  584 0.09563 VSM_short 
76 0 AP890222-0133  585 0.09563 VSM_short 
76 0 AP890224-0025  586 0.09563 VSM_short 
76 0 AP890404-0065  587 0.09563 VSM_short 
76 0 AP890502-0173  588 0.09563 VSM_short 
76 0 AP890503-0204  589 0.09563 VSM_short 
76 0 AP890703-0142  590 0.09563 VSM_short 
76 0 AP891013-0058  591 0.09563 VSM_short 
76 0 AP890111-0124  592 0.09537 VSM_short 
76 0 AP890123-0329  593 0.09537 VSM_short 
76 0 AP890515-0228  594 0.09537 VSM_short 
76 0 AP890519-0003  595 0.09537 VSM_short 
76 0 AP890703-0020  596 0.09537 VSM_short 
76 0 AP890728-0086  597 0.09537 VSM_short 
76 0 AP890801-0106  598 0.09537 VSM_short 
76 0 AP891018-0237  599 0.09537 VSM_short 
76 0 AP891228-0215  600 0.09536 VSM_short 
76 0 AP890106-0005  601 0.09482 VSM_short 
76 0 AP890103-0095  602 0.09481 VSM_short 
76 0 AP890125-0134  603 0.09481 VSM_short 
76 0 AP890213-0033  604 0.09481 VSM_short 
76 0 AP890224-0060  605 0.09481 VSM_short 
76 0 AP890227-0068  606 0.09481 VSM_short 
76 0 AP890316-0133  607 0.09481 VSM_short 
76 0 AP890324-0075  608 0.09481 VSM_short 
76 0 AP890327-0060  609 0.09481 VSM_short 
76 0 AP890403-0023  610 0.09481 VSM_short 
76 0 AP890417-0067  611 0.09481 VSM_short 
76 0 AP890424-0072  612 0.09481 VSM_short 
76 0 AP890502-0066  613 0.09481 VSM_short 
76 0 AP890503-0262  614 0.09481 VSM_short 
76 0 AP890612-0087  615 0.09481 VSM_short 
76 0 AP890626-0002  616 0.09481 VSM_short 
76 0 AP890628-0004  617 0.09481 VSM_short 
76 0 AP890630-0068  618 0.09481 VSM_short 
76 0 AP890703-0150  619 0.09481 VSM_short 
76 0 AP890704-0130  620 0.09481 VSM_short 
76 0 AP890705-0150  621 0.09481 VSM_short 
76 0 AP890719-0021  622 0.09481 VSM_short 
76 0 AP890816-0210  623 0.09481 VSM_short 
76 0 AP890913-0143  624 0.09481 VSM_short 
76 0 AP890917-0076  625 0.09481 VSM_short 
76 0 AP891002-0109  626 0.09481 VSM_short 
76 0 AP891010-0030  627 0.09481 VSM_short 
76 0 AP891013-0148  628 0.09481 VSM_short 
76 0 AP891027-0051  629 0.09481 VSM_short 
76 0 AP891117-0125  630 0.09481 VSM_short 
