51 0 AP890503-0279    1 0.26778 TREC_short 
22302 0 AP890922-0195  252 0.04124 TREC_short 
22303 0 AP890204-0097  253 0.04106 TREC_short 
22304 0 AP890116-0008  254 0.04066 TREC_short 
22305 0 AP890520-0031  255 0.04059 TREC_short 
22306 0 AP890525-0061  256 0.04059 TREC_short 
22307 0 AP890526-0054  257 0.04059 TREC_short 
22308 0 AP890609-0055  258 0.04059 TREC_short 
22309 0 AP890320-0057  259 0.04059 TREC_short 
22310 0 AP890324-0050  260 0.04059 TREC_short 
22311 0 AP890329-0043  261 0.04059 TREC_short 
22312 0 AP890701-0040  262 0.04059 TREC_short 
22313 0 AP890406-0046  263 0.04059 TREC_short 
22314 0 AP890216-0054  264 0.04059 TREC_short 
22315 0 AP890221-0210  265 0.04059 TREC_short 
22316 0 AP890809-0050  266 0.04059 TREC_short 
22317 0 AP890511-0065  267 0.04059 TREC_short 
22318 0 AP890913-0191  268 0.04027 TREC_short 
22319 0 AP890304-0047  269 0.04027 TREC_short 
22320 0 AP890517-0058  270 0.04027 TREC_short 
22321 0 AP890318-0129  271 0.04020 TREC_short 
22322 0 AP890107-0065  272 0.03979 TREC_short 
22323 0 AP890103-0049  273 0.03974 TREC_short 
22324 0 AP890102-0130  274 0.03974 TREC_short 
22325 0 AP890531-0217  275 0.03946 TREC_short 
22326 0 AP890319-0066  276 0.03946 TREC_short 
22327 0 AP890325-0109  277 0.03946 TREC_short 
22328 0 AP890405-0054  278 0.03946 TREC_short 
22329 0 AP890714-0207  279 0.03946 TREC_short 
22330 0 AP890724-0037  280 0.03946 TREC_short 
22331 0 AP890730-0047  281 0.03946 TREC_short 
22332 0 AP890301-0162  282 0.03946 TREC_short 
22333 0 AP890903-0050  283 0.03946 TREC_short 
22334 0 AP890916-0116  284 0.03946 TREC_short 
22335 0 AP890620-0177  285 0.03836 TREC_short 
22336 0 AP890427-0005  286 0.03836 TREC_short 
22337 0 AP890305-0050  287 0.03836 TREC_short 
22338 0 AP890227-0325  288 0.03808 TREC_short 
22339 0 AP890316-0146  289 0.03791 TREC_short 
22340 0 AP890224-0079  290 0.03791 TREC_short 
22341 0 AP890907-0178  291 0.03791 TREC_short 
22342 0 AP890131-0288  292 0.03791 TREC_short 
22343 0 AP890209-0177  293 0.03784 TREC_short 
22344 0 AP890105-0212  294 0.03784 TREC_short 
22345 0 AP890721-0077  295 0.03738 TREC_short 
22346 0 AP890221-0138  296 0.03731 TREC_short 
22347 0 AP890824-0098  297 0.03718 TREC_short 
22348 0 AP890323-0109  298 0.03686 TREC_short 
22349 0 AP890413-0099  299 0.03686 TREC_short 
22350 0 AP891022-0072  300 0.03679 TREC_short 
22351 0 AP890920-0284  301 0.03679 TREC_short 
22352 0 AP890523-0062  302 0.03655 TREC_short 
22353 0 AP891018-0031  303 0.03655 TREC_short 
22354 0 AP890524-0278  304 0.03655 TREC_short 
22355 0 AP891101-0096  305 0.03655 TREC_short 
22356 0 AP890120-0168  306 0.03655 TREC_short 
22357 0 AP891221-0076  307 0.03655 TREC_short 
22358 0 AP890706-0178  308 0.03655 TREC_short 
22359 0 AP890726-0207  309 0.03655 TREC_short 
22360 0 AP890727-0150  310 0.03655 TREC_short 
22361 0 AP890727-0236  311 0.03655 TREC_short 
22362 0 AP890418-0114  312 0.03655 TREC_short 
22363 0 AP890426-0205  313 0.03655 TREC_short 
22364 0 AP890822-0112  314 0.03655 TREC_short 
22365 0 AP890503-0302  315 0.03655 TREC_short 
22366 0 AP890117-0154  316 0.03655 TREC_short 
22367 0 AP890706-0019  317 0.03652 TREC_short 
22368 0 AP891022-0083  318 0.03634 TREC_short 
22369 0 AP890527-0115  319 0.03634 TREC_short 
22370 0 AP890528-0064  320 0.03634 TREC_short 
22371 0 AP891130-0149  321 0.03634 TREC_short 
22372 0 AP891130-0165  322 0.03634 TREC_short 
22373 0 AP890617-0096  323 0.03634 TREC_short 
22374 0 AP891225-0088  324 0.03634 TREC_short 
22375 0 AP891228-0127  325 0.03634 TREC_short 
22376 0 AP890903-0083  326 0.03634 TREC_short 
22377 0 AP890309-0049  327 0.03634 TREC_short 
22378 0 AP890525-0153  328 0.03612 TREC_short 
22379 0 AP890405-0185  329 0.03612 TREC_short 
22380 0 AP891016-0127  330 0.03572 TREC_short 
22381 0 AP890121-0014  331 0.03572 TREC_short 
22382 0 AP891127-0161  332 0.03572 TREC_short 
22383 0 AP890326-0044  333 0.03572 TREC_short 
22384 0 AP890624-0117  334 0.03572 TREC_short 
22385 0 AP890628-0173  335 0.03572 TREC_short 
22386 0 AP890412-0199  336 0.03572 TREC_short 
22387 0 AP890420-0164  337 0.03572 TREC_short 
22388 0 AP890825-0154  338 0.03572 TREC_short 
22389 0 AP891018-0225  339 0.03538 TREC_short 
22390 0 AP890316-0017  340 0.03538 TREC_short 
22391 0 AP891110-0067  341 0.03538 TREC_short 
22392 0 AP891121-0139  342 0.03538 TREC_short 
22393 0 AP890621-0097  343 0.03538 TREC_short 
22394 0 AP890215-0001  344 0.03538 TREC_short 
22395 0 AP890706-0161  345 0.03538 TREC_short 
22396 0 AP890910-0044  346 0.03538 TREC_short 
22397 0 AP890508-0055  347 0.03538 TREC_short 
22398 0 AP890526-0173  348 0.03479 TREC_short 
22399 0 AP890608-0053  349 0.03479 TREC_short 
22400 0 AP890613-0054  350 0.03479 TREC_short 
22401 0 AP890210-0219  351 0.03479 TREC_short 
22402 0 AP890214-0157  352 0.03479 TREC_short 
22403 0 AP890414-0068  353 0.03479 TREC_short 
22404 0 AP890415-0017  354 0.03479 TREC_short 
22405 0 AP890807-0052  355 0.03479 TREC_short 
22406 0 AP890109-0043  356 0.03479 TREC_short 
22407 0 AP890818-0056  357 0.03479 TREC_short 
22408 0 AP890225-0123  358 0.03479 TREC_short 
22409 0 AP890429-0030  359 0.03479 TREC_short 
22410 0 AP890501-0045  360 0.03479 TREC_short 
22411 0 AP890301-0063  361 0.03479 TREC_short 
22412 0 AP890912-0047  362 0.03479 TREC_short 
22413 0 AP890922-0048  363 0.03479 TREC_short 
22414 0 AP890512-0202  364 0.03479 TREC_short 
22415 0 AP890515-0051  365 0.03479 TREC_short 
22416 0 AP890516-0058  366 0.03479 TREC_short 
22417 0 AP890107-0110  367 0.03461 TREC_short 
22418 0 AP890602-0039  368 0.03457 TREC_short 
22419 0 AP890519-0176  369 0.03438 TREC_short 
22420 0 AP890205-0064  370 0.03433 TREC_short 
22421 0 AP890128-0147  371 0.03433 TREC_short 
22422 0 AP890725-0083  372 0.03386 TREC_short 
22423 0 AP890110-0254  373 0.03385 TREC_short 
22424 0 AP891011-0211  374 0.03385 TREC_short 
22425 0 AP891014-0066  375 0.03385 TREC_short 
22426 0 AP890523-0100  376 0.03385 TREC_short 
22427 0 AP891018-0253  377 0.03385 TREC_short 
22428 0 AP890119-0213  378 0.03385 TREC_short 
22429 0 AP890315-0290  379 0.03385 TREC_short 
22430 0 AP891115-0208  380 0.03385 TREC_short 
22431 0 AP891129-0126  381 0.03385 TREC_short 
22432 0 AP890623-0148  382 0.03385 TREC_short 
22433 0 AP891218-0268  383 0.03385 TREC_short 
22434 0 AP891226-0085  384 0.03385 TREC_short 
22435 0 AP890704-0017  385 0.03385 TREC_short 
22436 0 AP890706-0079  386 0.03385 TREC_short 
22437 0 AP890725-0075  387 0.03385 TREC_short 
22438 0 AP890730-0011  388 0.03385 TREC_short 
22439 0 AP890223-0260  389 0.03385 TREC_short 
22440 0 AP890821-0225  390 0.03385 TREC_short 
22441 0 AP890823-0096  391 0.03385 TREC_short 
22442 0 AP890128-0048  392 0.03385 TREC_short 
22443 0 AP890506-0023  393 0.03385 TREC_short 
22444 0 AP890914-0101  394 0.03385 TREC_short 
22445 0 AP890914-0209  395 0.03385 TREC_short 
22446 0 AP890920-0150  396 0.03385 TREC_short 
22447 0 AP890921-0092  397 0.03385 TREC_short 
22448 0 AP890922-0110  398 0.03385 TREC_short 
22449 0 AP890308-0188  399 0.03385 TREC_short 
22450 0 AP891125-0074  400 0.03351 TREC_short 
22451 0 AP891123-0050  401 0.03321 TREC_short 
22452 0 AP890712-0056  402 0.03321 TREC_short 
22453 0 AP890908-0030  403 0.03321 TREC_short 
22454 0 AP890524-0164  404 0.03317 TREC_short 
22455 0 AP891019-0229  405 0.03317 TREC_short 
22456 0 AP890317-0103  406 0.03317 TREC_short 
22457 0 AP891121-0173  407 0.03317 TREC_short 
22458 0 AP891122-0180  408 0.03317 TREC_short 
22459 0 AP890616-0150  409 0.03317 TREC_short 
22460 0 AP891218-0141  410 0.03317 TREC_short 
22461 0 AP890329-0096  411 0.03317 TREC_short 
22462 0 AP891223-0031  412 0.03317 TREC_short 
22463 0 AP890213-0101  413 0.03317 TREC_short 
22464 0 AP890214-0196  414 0.03317 TREC_short 
22465 0 AP890712-0134  415 0.03317 TREC_short 
22466 0 AP890413-0107  416 0.03317 TREC_short 
22467 0 AP890126-0104  417 0.03317 TREC_short 
22468 0 AP890101-0051  418 0.03317 TREC_short 
22469 0 AP890423-0019  419 0.03317 TREC_short 
22470 0 AP890813-0033  420 0.03317 TREC_short 
22471 0 AP890814-0140  421 0.03317 TREC_short 
22472 0 AP890225-0059  422 0.03317 TREC_short 
22473 0 AP890427-0003  423 0.03317 TREC_short 
22474 0 AP890830-0138  424 0.03317 TREC_short 
22475 0 AP890830-0192  425 0.03317 TREC_short 
22476 0 AP890904-0088  426 0.03317 TREC_short 
22477 0 AP890905-0214  427 0.03317 TREC_short 
22478 0 AP890301-0229  428 0.03317 TREC_short 
22479 0 AP890912-0173  429 0.03317 TREC_short 
22480 0 AP890915-0115  430 0.03317 TREC_short 
22481 0 AP890511-0113  431 0.03317 TREC_short 
22482 0 AP890307-0235  432 0.03317 TREC_short 
22483 0 AP890517-0176  433 0.03317 TREC_short 
22484 0 AP891009-0064  434 0.03303 TREC_short 
22485 0 AP890522-0165  435 0.03303 TREC_short 
22486 0 AP890314-0283  436 0.03303 TREC_short 
22487 0 AP890620-0151  437 0.03303 TREC_short 
22488 0 AP891225-0036  438 0.03303 TREC_short 
22489 0 AP890927-0046  439 0.03303 TREC_short 
22490 0 AP890523-0136  440 0.03301 TREC_short 
22491 0 AP890126-0101  441 0.03277 TREC_short 
22492 0 AP890921-0152  442 0.03261 TREC_short 
22493 0 AP890123-0206  443 0.03258 TREC_short 
22494 0 AP890310-0099  444 0.03249 TREC_short 
22495 0 AP890118-0314  445 0.03249 TREC_short 
22496 0 AP890526-0225  446 0.03249 TREC_short 
22497 0 AP891031-0136  447 0.03249 TREC_short 
22498 0 AP891114-0134  448 0.03249 TREC_short 
22499 0 AP890615-0073  449 0.03249 TREC_short 
22500 0 AP890116-0232  450 0.03249 TREC_short 
22501 0 AP890915-0218  451 0.03249 TREC_short 
22502 0 AP890926-0182  452 0.03249 TREC_short 
22503 0 AP891010-0173  453 0.03222 TREC_short 
22504 0 AP891011-0162  454 0.03222 TREC_short 
22505 0 AP890310-0201  455 0.03222 TREC_short 
22506 0 AP891014-0144  456 0.03222 TREC_short 
22507 0 AP890314-0114  457 0.03222 TREC_short 
22508 0 AP891109-0083  458 0.03222 TREC_short 
22509 0 AP890318-0116  459 0.03222 TREC_short 
22510 0 AP891129-0209  460 0.03222 TREC_short 
22511 0 AP890617-0113  461 0.03222 TREC_short 
22512 0 AP890210-0099  462 0.03222 TREC_short 
22513 0 AP890214-0083  463 0.03222 TREC_short 
22514 0 AP890810-0125  464 0.03222 TREC_short 
22515 0 AP890810-0157  465 0.03222 TREC_short 
22516 0 AP890902-0154  466 0.03222 TREC_short 
22517 0 AP890506-0049  467 0.03222 TREC_short 
22518 0 AP890926-0047  468 0.03222 TREC_short 
22519 0 AP890308-0155  469 0.03222 TREC_short 
22520 0 AP891004-0198  470 0.03222 TREC_short 
22521 0 AP890103-0016  471 0.03222 TREC_short 
22522 0 AP891006-0056  472 0.03222 TREC_short 
22523 0 AP890318-0031  473 0.03204 TREC_short 
22524 0 AP890318-0113  474 0.03204 TREC_short 
22525 0 AP891124-0153  475 0.03204 TREC_short 
22526 0 AP890224-0196  476 0.03204 TREC_short 
22527 0 AP890914-0059  477 0.03204 TREC_short 
22528 0 AP890308-0202  478 0.03204 TREC_short 
22529 0 AP890517-0189  479 0.03204 TREC_short 
22530 0 AP890518-0200  480 0.03204 TREC_short 
22531 0 AP890507-0052  481 0.03197 TREC_short 
22532 0 AP891021-0034  482 0.03197 TREC_short 
22533 0 AP891025-0030  483 0.03197 TREC_short 
22534 0 AP891111-0126  484 0.03197 TREC_short 
22535 0 AP890710-0158  485 0.03197 TREC_short 
22536 0 AP890807-0025  486 0.03197 TREC_short 
22537 0 AP890522-0039  487 0.03157 TREC_short 
22538 0 AP891014-0008  488 0.03157 TREC_short 
22539 0 AP890523-0110  489 0.03157 TREC_short 
22540 0 AP891019-0207  490 0.03157 TREC_short 
22541 0 AP891104-0051  491 0.03157 TREC_short 
22542 0 AP890602-0195  492 0.03157 TREC_short 
22543 0 AP891110-0037  493 0.03157 TREC_short 
22544 0 AP890608-0173  494 0.03157 TREC_short 
22545 0 AP890608-0238  495 0.03157 TREC_short 
22546 0 AP890320-0082  496 0.03157 TREC_short 
22547 0 AP890610-0077  497 0.03157 TREC_short 
22548 0 AP891118-0061  498 0.03157 TREC_short 
22549 0 AP891125-0033  499 0.03157 TREC_short 
22550 0 AP891204-0094  500 0.03157 TREC_short 
22551 0 AP890123-0007  501 0.03157 TREC_short 
22552 0 AP890325-0094  502 0.03157 TREC_short 
22553 0 AP890623-0185  503 0.03157 TREC_short 
22554 0 AP890213-0021  504 0.03157 TREC_short 
22555 0 AP890401-0019  505 0.03157 TREC_short 
22556 0 AP890403-0032  506 0.03157 TREC_short 
22557 0 AP890704-0072  507 0.03157 TREC_short 
22558 0 AP890706-0186  508 0.03157 TREC_short 
22559 0 AP890712-0202  509 0.03157 TREC_short 
22560 0 AP890408-0106  510 0.03157 TREC_short 
22561 0 AP890725-0053  511 0.03157 TREC_short 
22562 0 AP890418-0207  512 0.03157 TREC_short 
22563 0 AP890422-0109  513 0.03157 TREC_short 
22564 0 AP890825-0180  514 0.03157 TREC_short 
22565 0 AP890828-0170  515 0.03157 TREC_short 
22566 0 AP890116-0140  516 0.03157 TREC_short 
22567 0 AP890504-0030  517 0.03157 TREC_short 
22568 0 AP890907-0076  518 0.03157 TREC_short 
22569 0 AP890908-0169  519 0.03157 TREC_short 
22570 0 AP890910-0014  520 0.03157 TREC_short 
22571 0 AP890117-0186  521 0.03157 TREC_short 
22572 0 AP890916-0082  522 0.03157 TREC_short 
22573 0 AP890917-0061  523 0.03157 TREC_short 
22574 0 AP890921-0202  524 0.03157 TREC_short 
22575 0 AP890513-0040  525 0.03157 TREC_short 
22576 0 AP890925-0177  526 0.03157 TREC_short 
22577 0 AP890926-0087  527 0.03157 TREC_short 
22578 0 AP890514-0051  528 0.03157 TREC_short 
22579 0 AP890308-0290  529 0.03157 TREC_short 
22580 0 AP890608-0206  530 0.03149 TREC_short 
22581 0 AP891104-0110  531 0.03145 TREC_short 
22582 0 AP890720-0083  532 0.03145 TREC_short 
22583 0 AP890724-0151  533 0.03145 TREC_short 
22584 0 AP890817-0098  534 0.03145 TREC_short 
22585 0 AP890909-0107  535 0.03145 TREC_short 
22586 0 AP891015-0003  536 0.03093 TREC_short 
22587 0 AP890601-0239  537 0.03093 TREC_short 
22588 0 AP890210-0036  538 0.03093 TREC_short 
22589 0 AP890324-0232  539 0.03093 TREC_short 
22590 0 AP890714-0090  540 0.03093 TREC_short 
22591 0 AP890719-0164  541 0.03093 TREC_short 
22592 0 AP890722-0125  542 0.03093 TREC_short 
22593 0 AP890801-0076  543 0.03093 TREC_short 
22594 0 AP890805-0144  544 0.03093 TREC_short 
22595 0 AP890808-0146  545 0.03093 TREC_short 
22596 0 AP890822-0165  546 0.03093 TREC_short 
22597 0 AP890131-0187  547 0.03093 TREC_short 
22598 0 AP890117-0155  548 0.03093 TREC_short 
22599 0 AP890921-0136  549 0.03093 TREC_short 
22600 0 AP890930-0108  550 0.03093 TREC_short 
22601 0 AP891021-0069  551 0.03046 TREC_short 
22602 0 AP890320-0045  552 0.03046 TREC_short 
22603 0 AP890713-0198  553 0.03046 TREC_short 
22604 0 AP890913-0171  554 0.03046 TREC_short 
22605 0 AP890308-0111  555 0.03046 TREC_short 
22606 0 AP891219-0119  556 0.03046 TREC_short 
22607 0 AP890817-0121  557 0.03035 TREC_short 
22608 0 AP890124-0139  558 0.03017 TREC_short 
22609 0 AP890630-0107  559 0.02958 TREC_short 
22610 0 AP890419-0067  560 0.02958 TREC_short 
22611 0 AP890316-0278  561 0.02902 TREC_short 
22612 0 AP890629-0026  562 0.02902 TREC_short 
22613 0 AP890710-0140  563 0.02902 TREC_short 
22614 0 AP890223-0173  564 0.02902 TREC_short 
22615 0 AP890423-0075  565 0.02902 TREC_short 
22616 0 AP890821-0029  566 0.02902 TREC_short 
22617 0 AP890824-0188  567 0.02902 TREC_short 
22618 0 AP890109-0345  568 0.02902 TREC_short 
22619 0 AP890517-0031  569 0.02902 TREC_short 
22620 0 AP890106-0182  570 0.02899 TREC_short 
22621 0 AP890317-0043  571 0.02899 TREC_short 
22622 0 AP891115-0061  572 0.02899 TREC_short 
22623 0 AP890609-0165  573 0.02899 TREC_short 
22624 0 AP890208-0217  574 0.02899 TREC_short 
22625 0 AP890610-0015  575 0.02899 TREC_short 
22626 0 AP890614-0202  576 0.02899 TREC_short 
22627 0 AP890620-0057  577 0.02899 TREC_short 
22628 0 AP891211-0172  578 0.02899 TREC_short 
22629 0 AP890622-0064  579 0.02899 TREC_short 
22630 0 AP890329-0182  580 0.02899 TREC_short 
22631 0 AP890629-0060  581 0.02899 TREC_short 
22632 0 AP890401-0036  582 0.02899 TREC_short 
22633 0 AP890712-0067  583 0.02899 TREC_short 
22634 0 AP890715-0035  584 0.02899 TREC_short 
22635 0 AP890108-0064  585 0.02899 TREC_short 
22636 0 AP890721-0051  586 0.02899 TREC_short 
22637 0 AP890413-0065  587 0.02899 TREC_short 
22638 0 AP890220-0034  588 0.02899 TREC_short 
22639 0 AP890726-0051  589 0.02899 TREC_short 
22640 0 AP890417-0045  590 0.02899 TREC_short 
22641 0 AP890801-0165  591 0.02899 TREC_short 
22642 0 AP890418-0280  592 0.02899 TREC_short 
22643 0 AP890114-0032  593 0.02899 TREC_short 
22644 0 AP890228-0039  594 0.02899 TREC_short 
22645 0 AP890508-0047  595 0.02899 TREC_short 
22646 0 AP891004-0072  596 0.02899 TREC_short 
22647 0 AP891030-0131  597 0.02896 TREC_short 
22648 0 AP891215-0194  598 0.02896 TREC_short 
22649 0 AP890508-0088  599 0.02896 TREC_short 
22650 0 AP890308-0089  600 0.02896 TREC_short 
22651 0 AP890908-0242  601 0.02862 TREC_short 
22652 0 AP891116-0023  602 0.02848 TREC_short 
22653 0 AP890911-0166  603 0.02848 TREC_short 
22654 0 AP890204-0161  604 0.02819 TREC_short 
22655 0 AP890408-0044  605 0.02819 TREC_short 
22656 0 AP891027-0010  606 0.02789 TREC_short 
22657 0 AP890606-0134  607 0.02782 TREC_short 
22658 0 AP891117-0175  608 0.02782 TREC_short 
22659 0 AP891121-0160  609 0.02782 TREC_short 
22660 0 AP891125-0104  610 0.02782 TREC_short 
22661 0 AP891126-0064  611 0.02782 TREC_short 
22662 0 AP890324-0164  612 0.02782 TREC_short 
22663 0 AP891213-0180  613 0.02782 TREC_short 
22664 0 AP891221-0154  614 0.02782 TREC_short 
22665 0 AP890627-0177  615 0.02782 TREC_short 
22666 0 AP890701-0120  616 0.02782 TREC_short 
22667 0 AP890807-0035  617 0.02782 TREC_short 
22668 0 AP890422-0014  618 0.02782 TREC_short 
22669 0 AP890821-0118  619 0.02782 TREC_short 
22670 0 AP890509-0183  620 0.02782 TREC_short 
22671 0 AP890926-0158  621 0.02782 TREC_short 
22672 0 AP890329-0099  622 0.02750 TREC_short 
22673 0 AP890221-0265  623 0.02750 TREC_short 
22674 0 AP891130-0040  624 0.02741 TREC_short 
22675 0 AP891130-0128  625 0.02741 TREC_short 
22676 0 AP890123-0147  626 0.02741 TREC_short 
22677 0 AP890502-0083  627 0.02741 TREC_short 
22678 0 AP890922-0186  628 0.02741 TREC_short 
22679 0 AP890904-0149  629 0.02734 TREC_short 
22680 0 AP890608-0103  630 0.02730 TREC_short 
22681 0 AP890609-0223  631 0.02730 TREC_short 
22682 0 AP891025-0169  632 0.02712 TREC_short 
22683 0 AP890825-0116  633 0.02712 TREC_short 
22684 0 AP890703-0115  634 0.02709 TREC_short 
22685 0 AP891011-0258  635 0.02708 TREC_short 
22686 0 AP891012-0144  636 0.02708 TREC_short 
22687 0 AP891020-0130  637 0.02708 TREC_short 
22688 0 AP891020-0132  638 0.02708 TREC_short 
22689 0 AP890205-0034  639 0.02708 TREC_short 
22690 0 AP890602-0236  640 0.02708 TREC_short 
22691 0 AP891105-0046  641 0.02708 TREC_short 
22692 0 AP891108-0169  642 0.02708 TREC_short 
22693 0 AP891122-0205  643 0.02708 TREC_short 
22694 0 AP891128-0056  644 0.02708 TREC_short 
22695 0 AP890618-0084  645 0.02708 TREC_short 
22696 0 AP890619-0041  646 0.02708 TREC_short 
22697 0 AP890710-0262  647 0.02708 TREC_short 
22698 0 AP890407-0167  648 0.02708 TREC_short 
22699 0 AP890407-0192  649 0.02708 TREC_short 
22700 0 AP890413-0195  650 0.02708 TREC_short 
22701 0 AP890414-0074  651 0.02708 TREC_short 
22702 0 AP890731-0077  652 0.02708 TREC_short 
22703 0 AP890802-0035  653 0.02708 TREC_short 
22704 0 AP890222-0216  654 0.02708 TREC_short 
22705 0 AP890103-0172  655 0.02708 TREC_short 
22706 0 AP890502-0175  656 0.02708 TREC_short 
22707 0 AP890503-0089  657 0.02708 TREC_short 
22708 0 AP890906-0152  658 0.02708 TREC_short 
22709 0 AP890907-0301  659 0.02708 TREC_short 
22710 0 AP890131-0118  660 0.02708 TREC_short 
22711 0 AP890917-0073  661 0.02708 TREC_short 
22712 0 AP891005-0182  662 0.02708 TREC_short 
22713 0 AP891006-0123  663 0.02708 TREC_short 
22714 0 AP890622-0099  664 0.02687 TREC_short 
22715 0 AP890425-0038  665 0.02687 TREC_short 
22716 0 AP890512-0166  666 0.02687 TREC_short 
22717 0 AP890727-0057  667 0.02683 TREC_short 
22718 0 AP890809-0102  668 0.02683 TREC_short 
22719 0 AP890918-0023  669 0.02683 TREC_short 
22720 0 AP890609-0266  670 0.02655 TREC_short 
22721 0 AP891118-0057  671 0.02655 TREC_short 
22722 0 AP891121-0038  672 0.02655 TREC_short 
22723 0 AP891129-0090  673 0.02655 TREC_short 
22724 0 AP890327-0129  674 0.02655 TREC_short 
22725 0 AP890626-0111  675 0.02655 TREC_short 
22726 0 AP890825-0008  676 0.02655 TREC_short 
22727 0 AP890430-0075  677 0.02655 TREC_short 
22728 0 AP890509-0096  678 0.02655 TREC_short 
22729 0 AP890928-0097  679 0.02655 TREC_short 
22730 0 AP890526-0017  680 0.02653 TREC_short 
22731 0 AP890606-0071  681 0.02649 TREC_short 
22732 0 AP890725-0048  682 0.02649 TREC_short 
22733 0 AP890907-0230  683 0.02649 TREC_short 
22734 0 AP890117-0075  684 0.02649 TREC_short 
22735 0 AP890811-0063  685 0.02648 TREC_short 
22736 0 AP891113-0150  686 0.02632 TREC_short 
22737 0 AP891115-0141  687 0.02632 TREC_short 
22738 0 AP891115-0139  688 0.02632 TREC_short 
22739 0 AP890708-0013  689 0.02632 TREC_short 
22740 0 AP890314-0194  690 0.02628 TREC_short 
22741 0 AP890615-0182  691 0.02628 TREC_short 
22742 0 AP890107-0151  692 0.02628 TREC_short 
22743 0 AP890125-0237  693 0.02628 TREC_short 
22744 0 AP890311-0115  694 0.02624 TREC_short 
22745 0 AP890110-0206  695 0.02624 TREC_short 
22746 0 AP891025-0062  696 0.02624 TREC_short 
22747 0 AP891111-0041  697 0.02624 TREC_short 
22748 0 AP891124-0042  698 0.02624 TREC_short 
22749 0 AP890509-0084  699 0.02624 TREC_short 
22750 0 AP890919-0182  700 0.02624 TREC_short 
22751 0 AP890923-0017  701 0.02624 TREC_short 
22752 0 AP890519-0193  702 0.02603 TREC_short 
22753 0 AP891027-0019  703 0.02603 TREC_short 
22754 0 AP891028-0144  704 0.02603 TREC_short 
22755 0 AP891029-0058  705 0.02603 TREC_short 
22756 0 AP891030-0183  706 0.02603 TREC_short 
22757 0 AP891102-0186  707 0.02603 TREC_short 
22758 0 AP891111-0118  708 0.02603 TREC_short 
22759 0 AP890610-0024  709 0.02603 TREC_short 
22760 0 AP890320-0187  710 0.02603 TREC_short 
22761 0 AP890327-0041  711 0.02603 TREC_short 
22762 0 AP890122-0059  712 0.02603 TREC_short 
22763 0 AP891218-0166  713 0.02603 TREC_short 
22764 0 AP891226-0105  714 0.02603 TREC_short 
22765 0 AP890729-0121  715 0.02603 TREC_short 
22766 0 AP890802-0104  716 0.02603 TREC_short 
22767 0 AP890817-0112  717 0.02603 TREC_short 
22768 0 AP890225-0131  718 0.02603 TREC_short 
22769 0 AP890904-0033  719 0.02603 TREC_short 
22770 0 AP890201-0026  720 0.02603 TREC_short 
22771 0 AP890917-0024  721 0.02603 TREC_short 
22772 0 AP890927-0092  722 0.02603 TREC_short 
22773 0 AP890928-0160  723 0.02603 TREC_short 
22774 0 AP891001-0065  724 0.02603 TREC_short 
22775 0 AP890616-0026  725 0.02592 TREC_short 
22776 0 AP890205-0051  726 0.02543 TREC_short 
22777 0 AP890131-0173  727 0.02543 TREC_short 
22778 0 AP890528-0071  728 0.02538 TREC_short 
22779 0 AP890119-0208  729 0.02538 TREC_short 
22780 0 AP890530-0116  730 0.02538 TREC_short 
22781 0 AP890607-0115  731 0.02538 TREC_short 
22782 0 AP891114-0071  732 0.02538 TREC_short 
22783 0 AP890610-0097  733 0.02538 TREC_short 
22784 0 AP891121-0146  734 0.02538 TREC_short 
22785 0 AP891121-0199  735 0.02538 TREC_short 
22786 0 AP890322-0223  736 0.02538 TREC_short 
22787 0 AP890104-0034  737 0.02538 TREC_short 
22788 0 AP890616-0234  738 0.02538 TREC_short 
22789 0 AP891211-0129  739 0.02538 TREC_short 
22790 0 AP891212-0066  740 0.02538 TREC_short 
22791 0 AP890327-0142  741 0.02538 TREC_short 
22792 0 AP891218-0096  742 0.02538 TREC_short 
22793 0 AP890328-0210  743 0.02538 TREC_short 
22794 0 AP890626-0096  744 0.02538 TREC_short 
22795 0 AP890627-0183  745 0.02538 TREC_short 
22796 0 AP891226-0181  746 0.02538 TREC_short 
22797 0 AP890413-0156  747 0.02538 TREC_short 
22798 0 AP890809-0065  748 0.02538 TREC_short 
22799 0 AP890424-0059  749 0.02538 TREC_short 
22800 0 AP890813-0087  750 0.02538 TREC_short 
22801 0 AP890823-0174  751 0.02538 TREC_short 
22802 0 AP890429-0050  752 0.02538 TREC_short 
22803 0 AP890501-0260  753 0.02538 TREC_short 
22804 0 AP890831-0178  754 0.02538 TREC_short 
22805 0 AP890906-0201  755 0.02538 TREC_short 
22806 0 AP890301-0223  756 0.02538 TREC_short 
22807 0 AP890508-0104  757 0.02538 TREC_short 
22808 0 AP890622-0266  758 0.02518 TREC_short 
22809 0 AP891026-0282  759 0.02488 TREC_short 
22810 0 AP890317-0106  760 0.02488 TREC_short 
22811 0 AP891109-0130  761 0.02488 TREC_short 
22812 0 AP890208-0301  762 0.02488 TREC_short 
22813 0 AP891202-0049  763 0.02488 TREC_short 
22814 0 AP891212-0049  764 0.02488 TREC_short 
22815 0 AP890628-0118  765 0.02488 TREC_short 
22816 0 AP890717-0052  766 0.02488 TREC_short 
22817 0 AP890728-0299  767 0.02488 TREC_short 
22818 0 AP890808-0201  768 0.02488 TREC_short 
