51 0 AP890908-0222    1 42.33588 BM25_long 
74 0 AP890509-0221  477 8.60267 BM25_long 
74 0 AP890707-0235  478 8.59828 BM25_long 
74 0 AP890921-0043  479 8.59522 BM25_long 
74 0 AP890811-0195  480 8.59517 BM25_long 
74 0 AP890528-0070  481 8.59346 BM25_long 
74 0 AP890515-0185  482 8.58806 BM25_long 
74 0 AP890111-0029  483 8.58595 BM25_long 
74 0 AP890926-0112  484 8.58183 BM25_long 
74 0 AP890629-0167  485 8.57942 BM25_long 
74 0 AP890109-0114  486 8.57874 BM25_long 
74 0 AP890807-0054  487 8.56594 BM25_long 
74 0 AP890713-0137  488 8.56528 BM25_long 
74 0 AP890127-0106  489 8.56142 BM25_long 
74 0 AP891006-0030  490 8.55761 BM25_long 
74 0 AP890822-0173  491 8.55148 BM25_long 
74 0 AP890428-0082  492 8.55009 BM25_long 
74 0 AP890120-0083  493 8.54384 BM25_long 
74 0 AP890518-0170  494 8.54150 BM25_long 
74 0 AP891222-0148  495 8.53723 BM25_long 
74 0 AP890512-0172  496 8.53264 BM25_long 
74 0 AP890110-0035  497 8.53141 BM25_long 
74 0 AP890526-0209  498 8.53089 BM25_long 
74 0 AP890905-0234  499 8.52917 BM25_long 
74 0 AP890531-0220  500 8.52197 BM25_long 
74 0 AP890617-0031  501 8.52145 BM25_long 
74 0 AP890412-0216  502 8.51959 BM25_long 
74 0 AP891003-0072  503 8.51388 BM25_long 
74 0 AP890329-0107  504 8.50975 BM25_long 
74 0 AP890510-0237  505 8.50785 BM25_long 
74 0 AP890517-0283  506 8.49947 BM25_long 
74 0 AP890907-0066  507 8.49858 BM25_long 
74 0 AP890920-0213  508 8.49530 BM25_long 
74 0 AP891111-0068  509 8.49384 BM25_long 
74 0 AP891215-0145  510 8.49320 BM25_long 
74 0 AP891228-0205  511 8.49193 BM25_long 
74 0 AP891023-0189  512 8.48928 BM25_long 
74 0 AP891030-0205  513 8.48636 BM25_long 
74 0 AP890725-0036  514 8.48408 BM25_long 
74 0 AP890831-0029  515 8.48212 BM25_long 
74 0 AP890413-0150  516 8.47918 BM25_long 
74 0 AP890731-0096  517 8.47859 BM25_long 
74 0 AP890208-0250  518 8.47786 BM25_long 
74 0 AP890320-0195  519 8.47766 BM25_long 
74 0 AP890424-0003  520 8.47303 BM25_long 
74 0 AP890218-0018  521 8.45682 BM25_long 
74 0 AP890228-0162  522 8.45667 BM25_long 
74 0 AP891030-0131  523 8.45578 BM25_long 
74 0 AP890307-0155  524 8.45317 BM25_long 
74 0 AP890916-0050  525 8.45097 BM25_long 
74 0 AP890414-0219  526 8.44990 BM25_long 
74 0 AP890428-0167  527 8.44802 BM25_long 
74 0 AP890112-0197  528 8.44474 BM25_long 
74 0 AP891014-0086  529 8.44019 BM25_long 
74 0 AP891214-0015  530 8.43763 BM25_long 
74 0 AP890820-0056  531 8.42637 BM25_long 
74 0 AP891103-0013  532 8.42607 BM25_long 
74 0 AP890301-0257  533 8.42466 BM25_long 
74 0 AP890630-0242  534 8.42270 BM25_long 
74 0 AP890319-0060  535 8.42122 BM25_long 
74 0 AP890504-0171  536 8.41980 BM25_long 
74 0 AP891108-0212  537 8.41705 BM25_long 
74 0 AP890105-0276  538 8.41679 BM25_long 
74 0 AP891202-0038  539 8.41162 BM25_long 
74 0 AP891010-0059  540 8.41154 BM25_long 
74 0 AP890921-0122  541 8.41025 BM25_long 
74 0 AP890325-0010  542 8.40800 BM25_long 
74 0 AP890508-0174  543 8.40800 BM25_long 
74 0 AP891112-0047  544 8.40115 BM25_long 
74 0 AP891218-0182  545 8.40108 BM25_long 
74 0 AP891202-0102  546 8.40093 BM25_long 
74 0 AP890724-0241  547 8.40012 BM25_long 
74 0 AP890502-0220  548 8.39872 BM25_long 
74 0 AP891108-0042  549 8.39354 BM25_long 
74 0 AP890418-0109  550 8.39128 BM25_long 
74 0 AP890925-0018  551 8.38815 BM25_long 
74 0 AP890223-0310  552 8.38814 BM25_long 
74 0 AP890803-0128  553 8.38765 BM25_long 
74 0 AP890112-0028  554 8.38693 BM25_long 
74 0 AP890213-0144  555 8.38673 BM25_long 
74 0 AP891224-0054  556 8.37986 BM25_long 
74 0 AP891212-0113  557 8.37293 BM25_long 
74 0 AP890821-0046  558 8.36809 BM25_long 
74 0 AP890417-0261  559 8.36495 BM25_long 
74 0 AP890728-0087  560 8.36017 BM25_long 
74 0 AP890107-0120  561 8.35795 BM25_long 
74 0 AP890107-0135  562 8.35785 BM25_long 
74 0 AP890130-0086  563 8.35662 BM25_long 
74 0 AP890627-0126  564 8.35660 BM25_long 
74 0 AP890915-0109  565 8.34648 BM25_long 
74 0 AP890823-0014  566 8.34305 BM25_long 
74 0 AP890317-0163  567 8.34304 BM25_long 
74 0 AP890113-0086  568 8.34300 BM25_long 
74 0 AP891014-0093  569 8.34248 BM25_long 
74 0 AP890413-0095  570 8.34111 BM25_long 
74 0 AP890505-0134  571 8.34044 BM25_long 
74 0 AP890923-0042  572 8.33998 BM25_long 
74 0 AP890705-0108  573 8.33057 BM25_long 
74 0 AP891017-0175  574 8.32856 BM25_long 
74 0 AP890117-0174  575 8.32805 BM25_long 
74 0 AP890715-0047  576 8.32430 BM25_long 
74 0 AP890107-0130  577 8.32095 BM25_long 
74 0 AP890911-0186  578 8.31816 BM25_long 
74 0 AP890602-0173  579 8.31784 BM25_long 
74 0 AP890718-0281  580 8.31708 BM25_long 
74 0 AP890419-0100  581 8.31629 BM25_long 
74 0 AP890622-0152  582 8.31243 BM25_long 
74 0 AP890619-0087  583 8.30811 BM25_long 
74 0 AP890606-0018  584 8.30787 BM25_long 
74 0 AP890223-0176  585 8.28843 BM25_long 
74 0 AP890227-0122  586 8.28468 BM25_long 
74 0 AP890228-0091  587 8.28430 BM25_long 
74 0 AP891109-0088  588 8.28138 BM25_long 
74 0 AP890505-0065  589 8.28096 BM25_long 
74 0 AP890118-0232  590 8.28019 BM25_long 
74 0 AP890811-0043  591 8.27960 BM25_long 
74 0 AP890207-0122  592 8.27949 BM25_long 
74 0 AP890309-0249  593 8.27822 BM25_long 
74 0 AP890601-0126  594 8.27794 BM25_long 
74 0 AP891221-0054  595 8.27676 BM25_long 
74 0 AP890817-0121  596 8.27403 BM25_long 
74 0 AP890516-0174  597 8.27266 BM25_long 
74 0 AP890104-0049  598 8.26902 BM25_long 
74 0 AP890104-0129  599 8.26902 BM25_long 
74 0 AP891024-0018  600 8.26564 BM25_long 
74 0 AP890119-0080  601 8.26246 BM25_long 
74 0 AP890919-0123  602 8.26161 BM25_long 
74 0 AP891114-0151  603 8.26026 BM25_long 
74 0 AP891018-0176  604 8.25853 BM25_long 
74 0 AP890925-0070  605 8.25351 BM25_long 
74 0 AP890914-0002  606 8.24758 BM25_long 
74 0 AP890613-0075  607 8.24687 BM25_long 
74 0 AP890913-0129  608 8.24426 BM25_long 
74 0 AP891017-0171  609 8.24389 BM25_long 
74 0 AP891222-0094  610 8.24384 BM25_long 
74 0 AP890926-0045  611 8.23732 BM25_long 
74 0 AP890926-0244  612 8.23732 BM25_long 
74 0 AP890824-0073  613 8.23548 BM25_long 
74 0 AP890322-0310  614 8.23261 BM25_long 
74 0 AP890205-0051  615 8.22981 BM25_long 
74 0 AP890602-0166  616 8.22721 BM25_long 
74 0 AP891128-0077  617 8.22690 BM25_long 
74 0 AP891106-0065  618 8.22655 BM25_long 
74 0 AP890502-0160  619 8.22639 BM25_long 
74 0 AP890918-0210  620 8.22627 BM25_long 
74 0 AP891108-0272  621 8.22346 BM25_long 
74 0 AP890922-0199  622 8.22335 BM25_long 
74 0 AP891219-0231  623 8.22125 BM25_long 
74 0 AP890223-0076  624 8.21601 BM25_long 
74 0 AP890911-0123  625 8.21523 BM25_long 
74 0 AP890424-0095  626 8.21487 BM25_long 
74 0 AP891211-0090  627 8.21109 BM25_long 
74 0 AP890830-0146  628 8.20968 BM25_long 
74 0 AP890128-0144  629 8.20826 BM25_long 
74 0 AP890914-0182  630 8.20823 BM25_long 
74 0 AP891212-0202  631 8.20478 BM25_long 
74 0 AP890413-0183  632 8.20133 BM25_long 
74 0 AP890426-0283  633 8.20109 BM25_long 
74 0 AP890601-0013  634 8.19665 BM25_long 
74 0 AP890302-0297  635 8.18783 BM25_long 
74 0 AP890922-0112  636 8.18559 BM25_long 
74 0 AP890210-0206  637 8.18554 BM25_long 
74 0 AP890320-0168  638 8.18334 BM25_long 
74 0 AP890302-0264  639 8.18329 BM25_long 
74 0 AP891102-0298  640 8.18260 BM25_long 
74 0 AP890106-0216  641 8.18216 BM25_long 
74 0 AP890417-0115  642 8.18157 BM25_long 
74 0 AP891228-0115  643 8.17490 BM25_long 
74 0 AP891003-0008  644 8.17034 BM25_long 
74 0 AP891212-0264  645 8.17033 BM25_long 
74 0 AP891215-0095  646 8.16962 BM25_long 
74 0 AP891020-0302  647 8.16934 BM25_long 
74 0 AP890111-0142  648 8.16898 BM25_long 
74 0 AP890603-0067  649 8.16693 BM25_long 
74 0 AP890215-0054  650 8.16669 BM25_long 
74 0 AP890609-0079  651 8.16256 BM25_long 
74 0 AP890210-0292  652 8.15826 BM25_long 
74 0 AP890612-0031  653 8.15608 BM25_long 
74 0 AP890106-0078  654 8.15502 BM25_long 
74 0 AP890126-0211  655 8.15502 BM25_long 
74 0 AP890523-0018  656 8.15324 BM25_long 
74 0 AP890307-0094  657 8.15323 BM25_long 
74 0 AP890226-0103  658 8.14761 BM25_long 
74 0 AP890117-0153  659 8.14544 BM25_long 
74 0 AP890707-0010  660 8.14305 BM25_long 
74 0 AP890422-0083  661 8.13524 BM25_long 
74 0 AP891128-0075  662 8.13417 BM25_long 
74 0 AP891217-0079  663 8.12584 BM25_long 
74 0 AP890201-0216  664 8.12403 BM25_long 
74 0 AP890919-0163  665 8.12218 BM25_long 
74 0 AP890103-0246  666 8.11870 BM25_long 
74 0 AP891130-0167  667 8.11602 BM25_long 
74 0 AP890302-0138  668 8.10702 BM25_long 
74 0 AP890524-0275  669 8.10480 BM25_long 
74 0 AP890718-0244  670 8.10431 BM25_long 
74 0 AP891120-0124  671 8.10113 BM25_long 
74 0 AP890725-0124  672 8.10100 BM25_long 
74 0 AP891130-0159  673 8.09882 BM25_long 
74 0 AP890228-0122  674 8.09875 BM25_long 
74 0 AP891018-0119  675 8.09694 BM25_long 
74 0 AP890301-0172  676 8.09466 BM25_long 
74 0 AP890411-0136  677 8.09346 BM25_long 
74 0 AP890323-0029  678 8.09264 BM25_long 
74 0 AP891001-0047  679 8.09073 BM25_long 
74 0 AP890501-0057  680 8.08710 BM25_long 
74 0 AP890314-0152  681 8.08705 BM25_long 
74 0 AP890623-0242  682 8.08705 BM25_long 
74 0 AP891018-0084  683 8.08423 BM25_long 
74 0 AP890704-0010  684 8.08302 BM25_long 
74 0 AP890519-0252  685 8.08164 BM25_long 
74 0 AP890101-0067  686 8.07862 BM25_long 
74 0 AP890223-0200  687 8.07862 BM25_long 
74 0 AP890906-0041  688 8.07733 BM25_long 
74 0 AP891003-0163  689 8.07547 BM25_long 
74 0 AP890424-0096  690 8.07435 BM25_long 
74 0 AP891213-0025  691 8.06769 BM25_long 
74 0 AP890807-0123  692 8.06687 BM25_long 
74 0 AP890901-0021  693 8.06431 BM25_long 
74 0 AP890124-0172  694 8.06318 BM25_long 
74 0 AP890429-0088  695 8.06264 BM25_long 
74 0 AP890822-0092  696 8.06213 BM25_long 
74 0 AP890109-0194  697 8.06164 BM25_long 
74 0 AP890623-0162  698 8.05654 BM25_long 
74 0 AP891030-0166  699 8.05538 BM25_long 
74 0 AP890912-0071  700 8.05285 BM25_long 
74 0 AP890419-0264  701 8.05228 BM25_long 
74 0 AP890929-0154  702 8.04889 BM25_long 
74 0 AP891011-0213  703 8.04791 BM25_long 
74 0 AP890404-0065  704 8.04744 BM25_long 
74 0 AP890926-0192  705 8.04523 BM25_long 
74 0 AP890114-0001  706 8.04182 BM25_long 
74 0 AP890924-0082  707 8.04182 BM25_long 
74 0 AP891014-0020  708 8.03830 BM25_long 
74 0 AP890522-0169  709 8.03664 BM25_long 
74 0 AP890106-0159  710 8.03568 BM25_long 
74 0 AP890417-0102  711 8.03151 BM25_long 
74 0 AP891211-0178  712 8.03148 BM25_long 
74 0 AP891211-0314  713 8.03148 BM25_long 
74 0 AP890323-0170  714 8.03093 BM25_long 
74 0 AP890123-0095  715 8.02833 BM25_long 
74 0 AP890319-0035  716 8.02781 BM25_long 
74 0 AP890319-0058  717 8.02548 BM25_long 
74 0 AP890721-0156  718 8.02168 BM25_long 
74 0 AP890726-0246  719 8.02074 BM25_long 
74 0 AP890111-0146  720 8.02037 BM25_long 
74 0 AP890401-0018  721 8.01751 BM25_long 
74 0 AP891122-0212  722 8.01706 BM25_long 
74 0 AP890110-0067  723 8.01465 BM25_long 
74 0 AP890314-0203  724 8.01408 BM25_long 
74 0 AP890912-0134  725 8.01359 BM25_long 
74 0 AP890203-0248  726 8.00948 BM25_long 
74 0 AP890407-0124  727 8.00948 BM25_long 
74 0 AP890811-0076  728 8.00948 BM25_long 
74 0 AP891031-0046  729 8.00735 BM25_long 
74 0 AP890523-0037  730 8.00488 BM25_long 
74 0 AP890227-0142  731 8.00464 BM25_long 
74 0 AP890831-0258  732 8.00391 BM25_long 
74 0 AP890826-0024  733 8.00265 BM25_long 
74 0 AP891011-0028  734 8.00138 BM25_long 
74 0 AP891107-0227  735 7.99960 BM25_long 
74 0 AP891212-0194  736 7.99807 BM25_long 
74 0 AP890207-0188  737 7.99530 BM25_long 
74 0 AP891216-0008  738 7.99530 BM25_long 
74 0 AP890621-0105  739 7.99501 BM25_long 
74 0 AP890119-0036  740 7.99393 BM25_long 
74 0 AP890308-0022  741 7.99333 BM25_long 
74 0 AP890309-0035  742 7.99333 BM25_long 
74 0 AP890610-0039  743 7.99266 BM25_long 
74 0 AP890221-0156  744 7.99098 BM25_long 
74 0 AP891114-0170  745 7.98892 BM25_long 
74 0 AP890427-0171  746 7.98196 BM25_long 
74 0 AP890705-0174  747 7.98118 BM25_long 
74 0 AP890619-0039  748 7.98009 BM25_long 
74 0 AP891027-0260  749 7.97800 BM25_long 
74 0 AP890828-0123  750 7.97658 BM25_long 
74 0 AP890505-0165  751 7.97378 BM25_long 
74 0 AP890831-0230  752 7.96550 BM25_long 
74 0 AP890125-0187  753 7.96179 BM25_long 
74 0 AP890330-0013  754 7.96131 BM25_long 
74 0 AP890504-0161  755 7.96068 BM25_long 
74 0 AP891110-0108  756 7.96066 BM25_long 
74 0 AP890912-0263  757 7.96003 BM25_long 
74 0 AP890310-0078  758 7.95876 BM25_long 
74 0 AP890816-0010  759 7.95876 BM25_long 
74 0 AP891127-0115  760 7.95876 BM25_long 
74 0 AP890407-0078  761 7.95558 BM25_long 
74 0 AP890703-0262  762 7.95558 BM25_long 
74 0 AP891209-0074  763 7.95264 BM25_long 
74 0 AP890218-0088  764 7.94715 BM25_long 
74 0 AP890112-0144  765 7.94676 BM25_long 
74 0 AP890327-0076  766 7.94661 BM25_long 
74 0 AP891116-0231  767 7.94661 BM25_long 
74 0 AP890901-0030  768 7.94580 BM25_long 
74 0 AP890128-0151  769 7.94333 BM25_long 
74 0 AP891104-0014  770 7.94134 BM25_long 
74 0 AP891031-0177  771 7.93856 BM25_long 
74 0 AP890727-0044  772 7.93586 BM25_long 
74 0 AP891017-0130  773 7.93536 BM25_long 
74 0 AP890901-0185  774 7.93500 BM25_long 
74 0 AP890818-0007  775 7.93297 BM25_long 
74 0 AP890516-0080  776 7.92684 BM25_long 
74 0 AP890417-0230  777 7.92473 BM25_long 
74 0 AP890513-0112  778 7.91948 BM25_long 
74 0 AP890515-0076  779 7.91948 BM25_long 
74 0 AP890724-0159  780 7.91932 BM25_long 
74 0 AP890806-0067  781 7.91841 BM25_long 
74 0 AP890826-0048  782 7.91780 BM25_long 
74 0 AP891004-0141  783 7.91608 BM25_long 
74 0 AP891101-0023  784 7.91205 BM25_long 
74 0 AP890614-0134  785 7.91157 BM25_long 
74 0 AP890925-0194  786 7.91089 BM25_long 
74 0 AP890707-0106  787 7.90494 BM25_long 
74 0 AP890808-0030  788 7.90361 BM25_long 
74 0 AP890310-0118  789 7.90007 BM25_long 
74 0 AP891031-0055  790 7.89849 BM25_long 
74 0 AP891217-0026  791 7.89397 BM25_long 
74 0 AP890522-0180  792 7.89359 BM25_long 
74 0 AP890821-0237  793 7.89142 BM25_long 
74 0 AP891030-0125  794 7.88659 BM25_long 
74 0 AP891015-0035  795 7.88606 BM25_long 
74 0 AP890211-0031  796 7.88541 BM25_long 
74 0 AP890616-0123  797 7.88473 BM25_long 
74 0 AP890405-0208  798 7.88369 BM25_long 
74 0 AP890418-0177  799 7.88169 BM25_long 
74 0 AP891204-0056  800 7.87947 BM25_long 
74 0 AP890505-0102  801 7.87640 BM25_long 
74 0 AP890718-0245  802 7.86935 BM25_long 
74 0 AP891108-0235  803 7.86461 BM25_long 
74 0 AP890113-0061  804 7.86215 BM25_long 
74 0 AP890728-0074  805 7.86209 BM25_long 
74 0 AP890304-0097  806 7.86047 BM25_long 
74 0 AP891025-0159  807 7.85752 BM25_long 
74 0 AP891221-0028  808 7.85645 BM25_long 
74 0 AP890728-0188  809 7.85545 BM25_long 
74 0 AP890912-0278  810 7.85302 BM25_long 
74 0 AP890429-0070  811 7.85180 BM25_long 
74 0 AP890626-0232  812 7.85084 BM25_long 
74 0 AP891116-0128  813 7.84980 BM25_long 
74 0 AP890320-0283  814 7.84720 BM25_long 
74 0 AP890714-0057  815 7.84519 BM25_long 
74 0 AP890314-0183  816 7.84462 BM25_long 
74 0 AP890809-0190  817 7.84408 BM25_long 
74 0 AP890916-0079  818 7.84189 BM25_long 
74 0 AP890907-0202  819 7.84012 BM25_long 
74 0 AP891026-0140  820 7.83764 BM25_long 
74 0 AP890617-0130  821 7.83431 BM25_long 
74 0 AP890306-0175  822 7.83347 BM25_long 
74 0 AP890809-0255  823 7.83347 BM25_long 
74 0 AP890320-0026  824 7.83129 BM25_long 
74 0 AP890116-0082  825 7.83044 BM25_long 
74 0 AP890511-0125  826 7.83044 BM25_long 
74 0 AP890516-0124  827 7.83037 BM25_long 
74 0 AP890509-0059  828 7.82581 BM25_long 
74 0 AP891025-0258  829 7.82428 BM25_long 
74 0 AP891211-0205  830 7.82271 BM25_long 
74 0 AP891004-0018  831 7.82253 BM25_long 
74 0 AP890712-0204  832 7.82099 BM25_long 
74 0 AP891223-0011  833 7.81763 BM25_long 
74 0 AP890502-0034  834 7.81543 BM25_long 
74 0 AP891228-0018  835 7.81491 BM25_long 
74 0 AP890727-0018  836 7.81399 BM25_long 
74 0 AP890621-0233  837 7.81095 BM25_long 
74 0 AP890821-0167  838 7.80131 BM25_long 
74 0 AP890130-0125  839 7.80041 BM25_long 
74 0 AP890226-0088  840 7.80041 BM25_long 
74 0 AP890110-0184  841 7.79709 BM25_long 
74 0 AP890108-0045  842 7.79352 BM25_long 
74 0 AP891109-0120  843 7.79277 BM25_long 
74 0 AP890531-0176  844 7.79272 BM25_long 
74 0 AP890317-0122  845 7.79133 BM25_long 
74 0 AP890322-0013  846 7.79074 BM25_long 
74 0 AP890603-0045  847 7.78873 BM25_long 
74 0 AP891024-0176  848 7.78864 BM25_long 
74 0 AP890522-0339  849 7.78854 BM25_long 
74 0 AP890921-0054  850 7.78800 BM25_long 
74 0 AP890207-0076  851 7.78751 BM25_long 
74 0 AP891026-0166  852 7.78751 BM25_long 
74 0 AP890131-0143  853 7.78067 BM25_long 
74 0 AP891227-0123  854 7.78056 BM25_long 
74 0 AP890524-0199  855 7.77959 BM25_long 
74 0 AP890826-0068  856 7.77918 BM25_long 
74 0 AP890908-0242  857 7.77918 BM25_long 
74 0 AP891017-0207  858 7.77867 BM25_long 
74 0 AP890508-0150  859 7.77244 BM25_long 
74 0 AP890809-0129  860 7.77244 BM25_long 
74 0 AP891222-0017  861 7.77173 BM25_long 
74 0 AP890328-0175  862 7.77025 BM25_long 
74 0 AP891116-0030  863 7.76778 BM25_long 
74 0 AP891221-0170  864 7.76715 BM25_long 
74 0 AP890513-0105  865 7.76479 BM25_long 
74 0 AP890425-0094  866 7.76445 BM25_long 
74 0 AP890617-0048  867 7.76369 BM25_long 
74 0 AP890206-0145  868 7.76315 BM25_long 
74 0 AP890418-0014  869 7.76065 BM25_long 
74 0 AP891207-0094  870 7.75990 BM25_long 
74 0 AP891117-0232  871 7.75726 BM25_long 
74 0 AP890120-0222  872 7.75637 BM25_long 
74 0 AP890603-0078  873 7.75122 BM25_long 
74 0 AP890603-0083  874 7.75122 BM25_long 
74 0 AP890616-0130  875 7.75111 BM25_long 
74 0 AP890428-0028  876 7.74898 BM25_long 
74 0 AP890207-0249  877 7.74832 BM25_long 
74 0 AP890201-0251  878 7.74649 BM25_long 
74 0 AP891017-0071  879 7.74631 BM25_long 
74 0 AP890626-0148  880 7.74609 BM25_long 
74 0 AP890319-0103  881 7.74599 BM25_long 
74 0 AP890517-0019  882 7.74471 BM25_long 
74 0 AP890302-0050  883 7.74405 BM25_long 
74 0 AP890112-0054  884 7.74137 BM25_long 
74 0 AP890315-0192  885 7.74048 BM25_long 
74 0 AP890719-0169  886 7.74048 BM25_long 
74 0 AP890327-0008  887 7.73862 BM25_long 
74 0 AP890206-0111  888 7.73739 BM25_long 
74 0 AP890308-0124  889 7.73739 BM25_long 
74 0 AP891018-0217  890 7.73739 BM25_long 
74 0 AP890925-0157  891 7.73672 BM25_long 
74 0 AP891218-0135  892 7.73590 BM25_long 
74 0 AP891009-0084  893 7.73410 BM25_long 
74 0 AP890904-0089  894 7.73394 BM25_long 
74 0 AP890830-0091  895 7.73352 BM25_long 
74 0 AP890809-0166  896 7.73190 BM25_long 
74 0 AP891028-0043  897 7.73009 BM25_long 
74 0 AP891009-0035  898 7.72854 BM25_long 
74 0 AP890908-0136  899 7.72837 BM25_long 
74 0 AP890712-0124  900 7.72721 BM25_long 
74 0 AP890217-0165  901 7.72574 BM25_long 
74 0 AP890127-0053  902 7.72423 BM25_long 
74 0 AP890201-0232  903 7.72236 BM25_long 
74 0 AP890422-0133  904 7.72205 BM25_long 
74 0 AP890110-0073  905 7.72005 BM25_long 
74 0 AP890629-0122  906 7.71832 BM25_long 
74 0 AP890724-0095  907 7.71780 BM25_long 
74 0 AP890610-0025  908 7.71733 BM25_long 
74 0 AP890307-0126  909 7.71666 BM25_long 
74 0 AP890913-0149  910 7.71375 BM25_long 
74 0 AP890609-0031  911 7.71318 BM25_long 
74 0 AP890903-0016  912 7.71296 BM25_long 
74 0 AP890812-0043  913 7.71255 BM25_long 
74 0 AP890925-0134  914 7.71190 BM25_long 
74 0 AP890227-0026  915 7.70843 BM25_long 
74 0 AP890803-0185  916 7.70843 BM25_long 
74 0 AP890328-0063  917 7.70784 BM25_long 
74 0 AP891002-0098  918 7.70784 BM25_long 
74 0 AP891106-0079  919 7.70478 BM25_long 
74 0 AP890602-0092  920 7.70450 BM25_long 
74 0 AP890109-0149  921 7.70369 BM25_long 
74 0 AP890111-0114  922 7.70349 BM25_long 
74 0 AP890706-0264  923 7.70183 BM25_long 
74 0 AP891111-0015  924 7.69182 BM25_long 
74 0 AP890718-0086  925 7.69091 BM25_long 
74 0 AP890330-0261  926 7.69028 BM25_long 
74 0 AP890113-0185  927 7.68783 BM25_long 
74 0 AP891113-0188  928 7.67984 BM25_long 
74 0 AP890609-0147  929 7.67943 BM25_long 
74 0 AP890918-0090  930 7.67872 BM25_long 
74 0 AP890105-0236  931 7.67735 BM25_long 
74 0 AP890720-0157  932 7.67451 BM25_long 
74 0 AP890524-0153  933 7.66968 BM25_long 
74 0 AP891019-0329  934 7.66698 BM25_long 
74 0 AP890216-0017  935 7.66421 BM25_long 
74 0 AP890219-0068  936 7.66408 BM25_long 
74 0 AP890611-0017  937 7.66298 BM25_long 
74 0 AP891202-0061  938 7.66221 BM25_long 
74 0 AP891212-0019  939 7.65994 BM25_long 
74 0 AP890128-0073  940 7.65727 BM25_long 
74 0 AP890128-0143  941 7.65727 BM25_long 
74 0 AP890524-0233  942 7.65691 BM25_long 
74 0 AP890509-0151  943 7.65604 BM25_long 
74 0 AP890714-0085  944 7.65522 BM25_long 
74 0 AP890427-0165  945 7.65466 BM25_long 
74 0 AP890615-0022  946 7.65405 BM25_long 
74 0 AP891005-0080  947 7.65403 BM25_long 
74 0 AP891116-0006  948 7.65353 BM25_long 
74 0 AP890128-0138  949 7.65348 BM25_long 
74 0 AP890418-0072  950 7.65309 BM25_long 
74 0 AP891108-0202  951 7.64886 BM25_long 
74 0 AP891007-0127  952 7.64859 BM25_long 
74 0 AP890715-0006  953 7.64789 BM25_long 
74 0 AP890209-0025  954 7.64407 BM25_long 
74 0 AP890110-0270  955 7.64122 BM25_long 
74 0 AP890210-0134  956 7.64025 BM25_long 
74 0 AP890326-0082  957 7.64025 BM25_long 
74 0 AP890609-0154  958 7.63728 BM25_long 
74 0 AP891002-0173  959 7.63712 BM25_long 
74 0 AP890421-0158  960 7.63426 BM25_long 
74 0 AP891108-0201  961 7.63305 BM25_long 
74 0 AP891206-0094  962 7.63135 BM25_long 
74 0 AP891212-0161  963 7.63099 BM25_long 
74 0 AP890620-0183  964 7.63030 BM25_long 
74 0 AP890303-0062  965 7.62789 BM25_long 
74 0 AP890208-0163  966 7.62776 BM25_long 
74 0 AP891012-0186  967 7.62544 BM25_long 
74 0 AP890329-0094  968 7.62390 BM25_long 
74 0 AP890407-0127  969 7.62110 BM25_long 
74 0 AP890125-0184  970 7.62071 BM25_long 
74 0 AP890518-0034  971 7.61788 BM25_long 
74 0 AP891022-0015  972 7.61788 BM25_long 
74 0 AP890309-0164  973 7.61671 BM25_long 
74 0 AP891107-0263  974 7.61671 BM25_long 
74 0 AP890125-0235  975 7.61229 BM25_long 
74 0 AP890623-0099  976 7.61153 BM25_long 
74 0 AP891214-0139  977 7.61153 BM25_long 
74 0 AP891103-0024  978 7.61144 BM25_long 
74 0 AP890821-0092  979 7.60993 BM25_long 
74 0 AP890711-0214  980 7.60810 BM25_long 
74 0 AP890607-0222  981 7.60711 BM25_long 
74 0 AP890314-0164  982 7.60400 BM25_long 
74 0 AP891027-0256  983 7.60058 BM25_long 
74 0 AP891030-0264  984 7.59731 BM25_long 
74 0 AP890926-0132  985 7.59670 BM25_long 
74 0 AP891121-0130  986 7.59646 BM25_long 
74 0 AP890711-0069  987 7.59433 BM25_long 
74 0 AP890814-0084  988 7.59320 BM25_long 
74 0 AP890523-0152  989 7.59317 BM25_long 
74 0 AP890217-0132  990 7.59262 BM25_long 
74 0 AP891005-0166  991 7.58974 BM25_long 
74 0 AP890510-0160  992 7.58901 BM25_long 
74 0 AP890227-0024  993 7.58505 BM25_long 
74 0 AP890929-0050  994 7.58483 BM25_long 
74 0 AP891017-0167  995 7.58483 BM25_long 
74 0 AP890301-0308  996 7.58445 BM25_long 
74 0 AP890217-0055  997 7.58439 BM25_long 
74 0 AP890105-0039  998 7.58372 BM25_long 
74 0 AP891114-0055  999 7.58105 BM25_long 
74 0 AP890220-0085 1000 7.57664 BM25_long 
75 0 AP891023-0144    1 21.11276 BM25_long 
75 0 AP890421-0169    2 16.30590 BM25_long 
75 0 AP890412-0220    3 15.53891 BM25_long 
75 0 AP890501-0245    4 15.39556 BM25_long 
75 0 AP890906-0041    5 15.17939 BM25_long 
75 0 AP890126-0088    6 14.35561 BM25_long 
75 0 AP890417-0139    7 14.16925 BM25_long 
75 0 AP890824-0196    8 14.11098 BM25_long 
75 0 AP891012-0017    9 14.10215 BM25_long 
75 0 AP890724-0185   10 14.08431 BM25_long 
75 0 AP890725-0052   11 14.04876 BM25_long 
75 0 AP890518-0096   12 14.03204 BM25_long 
75 0 AP891228-0144   13 13.74441 BM25_long 
