51 0 AP890518-0275    1 20.99845 LMwDS_long 
77 0 AP891009-0023    2 11.77524 LMwDS_long 
77 0 AP890322-0271    3 11.52414 LMwDS_long 
77 0 AP891214-0098    4 10.35316 LMwDS_long 
77 0 AP890308-0040    5 10.12498 LMwDS_long 
77 0 AP890821-0078    6 9.84806 LMwDS_long 
77 0 AP890421-0122    7 9.02372 LMwDS_long 
77 0 AP891108-0188    8 8.80905 LMwDS_long 
77 0 AP890125-0071    9 8.74071 LMwDS_long 
77 0 AP890728-0169   10 8.71301 LMwDS_long 
77 0 AP891007-0072   11 8.64963 LMwDS_long 
77 0 AP890221-0231   12 8.60773 LMwDS_long 
77 0 AP890227-0004   13 8.60773 LMwDS_long 
77 0 AP890722-0056   14 8.60383 LMwDS_long 
77 0 AP890821-0057   15 8.58488 LMwDS_long 
77 0 AP890324-0028   16 8.39606 LMwDS_long 
77 0 AP891214-0187   17 8.35217 LMwDS_long 
77 0 AP890918-0003   18 8.35017 LMwDS_long 
77 0 AP891016-0178   19 8.30213 LMwDS_long 
77 0 AP890108-0031   20 8.22893 LMwDS_long 
77 0 AP890828-0198   21 8.19114 LMwDS_long 
77 0 AP890830-0207   22 8.19114 LMwDS_long 
77 0 AP890621-0007   23 8.17592 LMwDS_long 
77 0 AP891218-0212   24 8.09217 LMwDS_long 
77 0 AP890211-0095   25 8.01709 LMwDS_long 
77 0 AP890124-0205   26 7.87143 LMwDS_long 
77 0 AP890425-0110   27 7.86034 LMwDS_long 
77 0 AP890729-0037   28 7.85007 LMwDS_long 
77 0 AP890601-0206   29 7.79477 LMwDS_long 
77 0 AP890822-0156   30 7.76544 LMwDS_long 
77 0 AP890517-0031   31 7.71803 LMwDS_long 
77 0 AP890111-0068   32 7.71756 LMwDS_long 
77 0 AP890821-0086   33 7.71100 LMwDS_long 
77 0 AP891117-0142   34 7.66590 LMwDS_long 
77 0 AP890511-0200   35 7.66180 LMwDS_long 
77 0 AP890823-0040   36 7.63796 LMwDS_long 
77 0 AP891204-0230   37 7.59350 LMwDS_long 
77 0 AP890719-0038   38 7.51461 LMwDS_long 
77 0 AP891017-0142   39 7.49264 LMwDS_long 
77 0 AP891114-0214   40 7.49264 LMwDS_long 
77 0 AP890410-0013   41 7.49177 LMwDS_long 
77 0 AP890323-0191   42 7.47177 LMwDS_long 
77 0 AP891127-0046   43 7.40975 LMwDS_long 
77 0 AP890216-0124   44 7.32634 LMwDS_long 
77 0 AP890717-0150   45 7.31600 LMwDS_long 
77 0 AP890403-0010   46 7.25804 LMwDS_long 
77 0 AP891009-0171   47 7.22743 LMwDS_long 
77 0 AP890107-0074   48 7.17196 LMwDS_long 
77 0 AP890302-0045   49 7.15955 LMwDS_long 
77 0 AP890911-0239   50 7.15502 LMwDS_long 
77 0 AP890206-0216   51 6.92771 LMwDS_long 
77 0 AP890907-0274   52 6.89210 LMwDS_long 
77 0 AP891127-0111   53 6.87399 LMwDS_long 
77 0 AP890615-0196   54 6.72138 LMwDS_long 
77 0 AP890803-0189   55 6.72138 LMwDS_long 
77 0 AP891002-0117   56 6.71770 LMwDS_long 
77 0 AP890210-0130   57 6.67717 LMwDS_long 
77 0 AP890211-0129   58 6.66905 LMwDS_long 
77 0 AP890118-0215   59 6.65070 LMwDS_long 
77 0 AP890421-0024   60 6.64076 LMwDS_long 
77 0 AP890815-0153   61 6.63796 LMwDS_long 
77 0 AP890204-0013   62 6.57591 LMwDS_long 
77 0 AP890901-0045   63 6.56967 LMwDS_long 
77 0 AP891019-0143   64 6.56967 LMwDS_long 
77 0 AP890613-0093   65 6.50349 LMwDS_long 
77 0 AP890803-0163   66 6.49329 LMwDS_long 
77 0 AP890823-0184   67 6.48765 LMwDS_long 
77 0 AP890823-0014   68 6.28851 LMwDS_long 
77 0 AP890210-0167   69 6.28120 LMwDS_long 
77 0 AP891009-0131   70 6.27476 LMwDS_long 
77 0 AP890728-0016   71 6.23437 LMwDS_long 
77 0 AP890120-0065   72 6.20741 LMwDS_long 
77 0 AP890416-0080   73 6.15139 LMwDS_long 
77 0 AP890524-0031   74 6.14512 LMwDS_long 
77 0 AP890516-0171   75 6.12998 LMwDS_long 
77 0 AP890907-0229   76 6.12692 LMwDS_long 
77 0 AP890423-0042   77 6.10683 LMwDS_long 
77 0 AP890406-0125   78 6.10337 LMwDS_long 
77 0 AP890116-0118   79 6.07409 LMwDS_long 
77 0 AP890628-0216   80 6.07078 LMwDS_long 
77 0 AP890713-0220   81 6.07078 LMwDS_long 
77 0 AP891005-0132   82 6.06057 LMwDS_long 
77 0 AP891027-0239   83 6.04033 LMwDS_long 
77 0 AP890220-0144   84 6.03317 LMwDS_long 
77 0 AP891012-0277   85 6.00296 LMwDS_long 
77 0 AP890525-0039   86 5.97479 LMwDS_long 
77 0 AP890710-0242   87 5.92873 LMwDS_long 
77 0 AP891031-0159   88 5.88868 LMwDS_long 
77 0 AP890308-0223   89 5.85885 LMwDS_long 
77 0 AP890421-0034   90 5.84753 LMwDS_long 
77 0 AP890914-0021   91 5.84442 LMwDS_long 
77 0 AP890417-0280   92 5.84364 LMwDS_long 
77 0 AP890420-0135   93 5.80756 LMwDS_long 
77 0 AP890118-0096   94 5.79016 LMwDS_long 
77 0 AP890316-0006   95 5.78770 LMwDS_long 
77 0 AP890923-0084   96 5.77797 LMwDS_long 
77 0 AP890314-0232   97 5.77343 LMwDS_long 
77 0 AP890106-0104   98 5.76801 LMwDS_long 
77 0 AP890221-0314   99 5.76265 LMwDS_long 
77 0 AP890314-0208  100 5.75013 LMwDS_long 
77 0 AP890511-0242  101 5.70869 LMwDS_long 
77 0 AP890112-0062  102 5.70154 LMwDS_long 
77 0 AP890810-0016  103 5.69593 LMwDS_long 
77 0 AP890325-0057  104 5.69075 LMwDS_long 
77 0 AP891018-0188  105 5.68774 LMwDS_long 
77 0 AP890912-0008  106 5.68419 LMwDS_long 
77 0 AP890729-0083  107 5.64617 LMwDS_long 
77 0 AP890318-0157  108 5.64134 LMwDS_long 
77 0 AP890425-0124  109 5.60687 LMwDS_long 
77 0 AP890505-0076  110 5.59870 LMwDS_long 
77 0 AP891218-0026  111 5.56984 LMwDS_long 
77 0 AP890302-0026  112 5.56242 LMwDS_long 
77 0 AP890527-0048  113 5.54730 LMwDS_long 
77 0 AP890319-0065  114 5.54675 LMwDS_long 
77 0 AP891031-0042  115 5.53125 LMwDS_long 
77 0 AP891108-0222  116 5.52635 LMwDS_long 
77 0 AP891220-0184  117 5.51505 LMwDS_long 
77 0 AP890315-0253  118 5.45687 LMwDS_long 
77 0 AP890523-0140  119 5.42097 LMwDS_long 
77 0 AP890623-0162  120 5.42062 LMwDS_long 
77 0 AP891127-0197  121 5.40676 LMwDS_long 
77 0 AP890504-0205  122 5.39737 LMwDS_long 
77 0 AP891110-0217  123 5.38786 LMwDS_long 
77 0 AP890910-0007  124 5.38247 LMwDS_long 
77 0 AP891211-0083  125 5.36671 LMwDS_long 
77 0 AP890427-0166  126 5.32277 LMwDS_long 
77 0 AP890826-0068  127 5.31134 LMwDS_long 
77 0 AP890404-0132  128 5.29702 LMwDS_long 
77 0 AP891213-0053  129 5.28874 LMwDS_long 
77 0 AP890223-0076  130 5.26994 LMwDS_long 
77 0 AP890425-0122  131 5.25409 LMwDS_long 
77 0 AP891208-0040  132 5.23700 LMwDS_long 
77 0 AP890919-0177  133 5.23384 LMwDS_long 
77 0 AP890407-0269  134 5.22186 LMwDS_long 
77 0 AP890825-0107  135 5.22186 LMwDS_long 
77 0 AP890920-0073  136 5.22186 LMwDS_long 
77 0 AP890130-0034  137 5.21932 LMwDS_long 
77 0 AP890614-0214  138 5.18678 LMwDS_long 
77 0 AP890617-0057  139 5.18678 LMwDS_long 
77 0 AP890210-0090  140 5.18217 LMwDS_long 
77 0 AP890209-0004  141 5.16741 LMwDS_long 
77 0 AP890710-0007  142 5.16415 LMwDS_long 
77 0 AP891123-0031  143 5.15138 LMwDS_long 
77 0 AP890908-0008  144 5.13966 LMwDS_long 
77 0 AP890417-0161  145 5.13503 LMwDS_long 
77 0 AP890407-0012  146 5.10632 LMwDS_long 
77 0 AP890203-0267  147 5.09607 LMwDS_long 
77 0 AP890325-0143  148 5.09583 LMwDS_long 
77 0 AP890403-0060  149 5.08018 LMwDS_long 
77 0 AP891221-0118  150 5.06235 LMwDS_long 
77 0 AP890920-0252  151 5.04170 LMwDS_long 
77 0 AP890801-0229  152 4.98458 LMwDS_long 
77 0 AP890221-0167  153 4.95890 LMwDS_long 
77 0 AP890210-0149  154 4.95425 LMwDS_long 
77 0 AP890203-0130  155 4.95403 LMwDS_long 
77 0 AP890920-0038  156 4.92707 LMwDS_long 
77 0 AP890920-0144  157 4.92556 LMwDS_long 
77 0 AP890523-0092  158 4.92318 LMwDS_long 
77 0 AP890427-0239  159 4.91953 LMwDS_long 
77 0 AP890618-0013  160 4.91215 LMwDS_long 
77 0 AP890207-0052  161 4.91163 LMwDS_long 
77 0 AP891222-0141  162 4.89102 LMwDS_long 
77 0 AP890306-0254  163 4.88783 LMwDS_long 
77 0 AP891215-0062  164 4.88422 LMwDS_long 
77 0 AP890924-0054  165 4.87386 LMwDS_long 
77 0 AP891006-0208  166 4.85962 LMwDS_long 
77 0 AP890816-0134  167 4.83813 LMwDS_long 
77 0 AP890117-0106  168 4.83215 LMwDS_long 
77 0 AP890203-0166  169 4.82073 LMwDS_long 
77 0 AP890912-0123  170 4.81423 LMwDS_long 
77 0 AP890227-0195  171 4.80737 LMwDS_long 
77 0 AP890328-0144  172 4.80582 LMwDS_long 
77 0 AP890127-0198  173 4.78096 LMwDS_long 
77 0 AP890811-0012  174 4.77935 LMwDS_long 
77 0 AP891202-0065  175 4.77935 LMwDS_long 
77 0 AP891130-0013  176 4.77502 LMwDS_long 
77 0 AP891017-0077  177 4.76952 LMwDS_long 
77 0 AP890206-0230  178 4.75102 LMwDS_long 
77 0 AP890315-0165  179 4.75094 LMwDS_long 
77 0 AP890304-0097  180 4.74335 LMwDS_long 
77 0 AP890810-0256  181 4.74199 LMwDS_long 
77 0 AP890626-0107  182 4.73320 LMwDS_long 
77 0 AP890822-0107  183 4.72682 LMwDS_long 
77 0 AP890223-0114  184 4.72593 LMwDS_long 
77 0 AP890809-0181  185 4.72063 LMwDS_long 
77 0 AP890301-0215  186 4.71831 LMwDS_long 
77 0 AP890417-0198  187 4.71826 LMwDS_long 
77 0 AP890609-0079  188 4.70650 LMwDS_long 
77 0 AP890821-0189  189 4.70650 LMwDS_long 
77 0 AP890823-0022  190 4.70551 LMwDS_long 
77 0 AP890404-0008  191 4.69952 LMwDS_long 
77 0 AP890822-0133  192 4.69449 LMwDS_long 
77 0 AP890730-0039  193 4.68999 LMwDS_long 
77 0 AP890817-0121  194 4.68848 LMwDS_long 
77 0 AP891007-0087  195 4.68264 LMwDS_long 
77 0 AP890920-0028  196 4.68197 LMwDS_long 
77 0 AP890511-0021  197 4.68098 LMwDS_long 
77 0 AP890803-0132  198 4.67850 LMwDS_long 
77 0 AP891027-0146  199 4.67700 LMwDS_long 
77 0 AP891228-0073  200 4.67568 LMwDS_long 
77 0 AP891004-0016  201 4.67368 LMwDS_long 
77 0 AP890819-0148  202 4.66944 LMwDS_long 
77 0 AP890930-0003  203 4.66308 LMwDS_long 
77 0 AP891128-0047  204 4.65821 LMwDS_long 
77 0 AP890508-0014  205 4.65324 LMwDS_long 
77 0 AP890505-0149  206 4.65219 LMwDS_long 
77 0 AP890712-0023  207 4.64521 LMwDS_long 
77 0 AP890310-0231  208 4.64431 LMwDS_long 
77 0 AP890624-0011  209 4.63622 LMwDS_long 
77 0 AP891129-0177  210 4.63622 LMwDS_long 
77 0 AP890104-0031  211 4.63501 LMwDS_long 
77 0 AP890807-0098  212 4.63400 LMwDS_long 
77 0 AP890314-0157  213 4.63214 LMwDS_long 
77 0 AP890413-0005  214 4.62278 LMwDS_long 
77 0 AP890612-0232  215 4.61977 LMwDS_long 
77 0 AP890215-0035  216 4.61517 LMwDS_long 
77 0 AP891122-0120  217 4.61302 LMwDS_long 
77 0 AP890210-0190  218 4.60677 LMwDS_long 
77 0 AP891218-0238  219 4.60677 LMwDS_long 
77 0 AP891218-0250  220 4.60677 LMwDS_long 
77 0 AP890610-0052  221 4.60291 LMwDS_long 
77 0 AP891101-0096  222 4.59861 LMwDS_long 
77 0 AP890822-0198  223 4.59205 LMwDS_long 
77 0 AP891027-0010  224 4.58396 LMwDS_long 
77 0 AP891006-0021  225 4.58005 LMwDS_long 
77 0 AP890123-0269  226 4.57735 LMwDS_long 
77 0 AP890317-0013  227 4.57520 LMwDS_long 
77 0 AP890916-0075  228 4.57520 LMwDS_long 
77 0 AP891019-0225  229 4.57520 LMwDS_long 
77 0 AP890801-0117  230 4.57330 LMwDS_long 
77 0 AP891208-0013  231 4.57059 LMwDS_long 
77 0 AP890310-0131  232 4.56972 LMwDS_long 
77 0 AP890828-0197  233 4.56571 LMwDS_long 
77 0 AP890525-0024  234 4.56537 LMwDS_long 
77 0 AP890802-0165  235 4.56537 LMwDS_long 
77 0 AP890325-0010  236 4.56262 LMwDS_long 
77 0 AP890831-0127  237 4.55921 LMwDS_long 
77 0 AP890419-0046  238 4.55793 LMwDS_long 
77 0 AP890404-0068  239 4.55426 LMwDS_long 
77 0 AP890619-0034  240 4.55421 LMwDS_long 
77 0 AP891026-0221  241 4.53600 LMwDS_long 
77 0 AP890622-0101  242 4.53349 LMwDS_long 
77 0 AP890717-0049  243 4.53349 LMwDS_long 
77 0 AP890727-0006  244 4.53349 LMwDS_long 
77 0 AP890415-0044  245 4.53235 LMwDS_long 
77 0 AP891030-0239  246 4.52983 LMwDS_long 
77 0 AP890111-0089  247 4.51921 LMwDS_long 
77 0 AP891109-0225  248 4.51420 LMwDS_long 
77 0 AP890111-0142  249 4.51255 LMwDS_long 
77 0 AP890427-0150  250 4.51255 LMwDS_long 
77 0 AP890513-0112  251 4.51255 LMwDS_long 
77 0 AP891014-0081  252 4.50726 LMwDS_long 
77 0 AP890610-0124  253 4.50698 LMwDS_long 
77 0 AP891222-0081  254 4.49962 LMwDS_long 
77 0 AP890501-0072  255 4.49958 LMwDS_long 
77 0 AP890502-0068  256 4.49934 LMwDS_long 
77 0 AP890510-0134  257 4.49934 LMwDS_long 
77 0 AP890727-0092  258 4.49934 LMwDS_long 
77 0 AP890602-0160  259 4.49230 LMwDS_long 
77 0 AP890209-0265  260 4.49044 LMwDS_long 
77 0 AP890921-0250  261 4.48428 LMwDS_long 
77 0 AP891111-0054  262 4.48312 LMwDS_long 
77 0 AP891012-0121  263 4.48304 LMwDS_long 
77 0 AP890416-0059  264 4.47926 LMwDS_long 
77 0 AP890715-0084  265 4.47664 LMwDS_long 
77 0 AP890921-0249  266 4.46293 LMwDS_long 
77 0 AP890411-0138  267 4.46062 LMwDS_long 
77 0 AP890729-0024  268 4.46054 LMwDS_long 
77 0 AP890104-0049  269 4.45438 LMwDS_long 
77 0 AP890104-0129  270 4.45438 LMwDS_long 
77 0 AP890727-0171  271 4.44891 LMwDS_long 
77 0 AP890629-0056  272 4.44242 LMwDS_long 
77 0 AP890120-0029  273 4.43612 LMwDS_long 
77 0 AP890403-0117  274 4.43422 LMwDS_long 
77 0 AP890406-0215  275 4.43422 LMwDS_long 
77 0 AP890215-0021  276 4.42497 LMwDS_long 
77 0 AP890719-0165  277 4.42442 LMwDS_long 
77 0 AP890720-0051  278 4.42442 LMwDS_long 
77 0 AP890103-0011  279 4.42184 LMwDS_long 
77 0 AP890104-0022  280 4.41748 LMwDS_long 
77 0 AP891219-0118  281 4.41748 LMwDS_long 
77 0 AP891214-0150  282 4.41291 LMwDS_long 
77 0 AP890719-0086  283 4.40775 LMwDS_long 
77 0 AP890117-0054  284 4.40764 LMwDS_long 
77 0 AP890930-0040  285 4.40716 LMwDS_long 
77 0 AP890809-0020  286 4.39446 LMwDS_long 
77 0 AP891109-0088  287 4.39178 LMwDS_long 
77 0 AP890508-0174  288 4.39056 LMwDS_long 
77 0 AP890505-0251  289 4.37577 LMwDS_long 
77 0 AP891026-0256  290 4.36170 LMwDS_long 
77 0 AP891114-0039  291 4.36030 LMwDS_long 
77 0 AP890221-0016  292 4.35973 LMwDS_long 
77 0 AP890801-0150  293 4.35477 LMwDS_long 
77 0 AP891114-0138  294 4.34101 LMwDS_long 
77 0 AP890812-0062  295 4.34065 LMwDS_long 
77 0 AP890207-0122  296 4.33783 LMwDS_long 
77 0 AP890406-0194  297 4.33627 LMwDS_long 
77 0 AP890826-0017  298 4.32619 LMwDS_long 
77 0 AP891229-0071  299 4.32348 LMwDS_long 
77 0 AP890512-0040  300 4.32079 LMwDS_long 
77 0 AP890123-0014  301 4.31542 LMwDS_long 
77 0 AP890724-0152  302 4.31380 LMwDS_long 
77 0 AP890427-0021  303 4.30925 LMwDS_long 
77 0 AP890103-0193  304 4.30922 LMwDS_long 
77 0 AP891007-0003  305 4.30690 LMwDS_long 
77 0 AP891206-0073  306 4.30458 LMwDS_long 
77 0 AP890224-0279  307 4.30368 LMwDS_long 
77 0 AP890426-0132  308 4.29987 LMwDS_long 
77 0 AP890210-0144  309 4.29773 LMwDS_long 
77 0 AP890522-0126  310 4.29666 LMwDS_long 
77 0 AP890518-0084  311 4.29439 LMwDS_long 
77 0 AP890831-0219  312 4.29439 LMwDS_long 
77 0 AP891208-0044  313 4.29437 LMwDS_long 
77 0 AP890407-0109  314 4.29200 LMwDS_long 
77 0 AP891215-0156  315 4.29180 LMwDS_long 
77 0 AP890817-0169  316 4.28754 LMwDS_long 
77 0 AP890721-0141  317 4.28405 LMwDS_long 
77 0 AP890322-0030  318 4.27409 LMwDS_long 
77 0 AP890818-0228  319 4.26761 LMwDS_long 
77 0 AP890322-0018  320 4.26608 LMwDS_long 
77 0 AP890918-0133  321 4.26014 LMwDS_long 
77 0 AP890407-0156  322 4.25763 LMwDS_long 
77 0 AP890113-0230  323 4.25414 LMwDS_long 
77 0 AP890119-0010  324 4.25414 LMwDS_long 
77 0 AP890215-0125  325 4.25414 LMwDS_long 
77 0 AP890220-0063  326 4.25414 LMwDS_long 
77 0 AP890427-0156  327 4.25407 LMwDS_long 
77 0 AP890130-0076  328 4.25312 LMwDS_long 
77 0 AP890221-0259  329 4.25138 LMwDS_long 
77 0 AP891213-0001  330 4.25071 LMwDS_long 
77 0 AP890103-0152  331 4.25038 LMwDS_long 
77 0 AP890503-0129  332 4.24893 LMwDS_long 
77 0 AP890414-0212  333 4.24589 LMwDS_long 
77 0 AP891104-0026  334 4.24257 LMwDS_long 
77 0 AP890313-0195  335 4.24050 LMwDS_long 
77 0 AP890314-0030  336 4.23629 LMwDS_long 
77 0 AP890817-0220  337 4.23629 LMwDS_long 
77 0 AP890224-0167  338 4.23474 LMwDS_long 
77 0 AP891107-0025  339 4.23176 LMwDS_long 
77 0 AP891105-0096  340 4.22699 LMwDS_long 
77 0 AP890708-0051  341 4.22687 LMwDS_long 
77 0 AP890105-0183  342 4.21897 LMwDS_long 
77 0 AP890410-0199  343 4.21896 LMwDS_long 
77 0 AP891005-0255  344 4.21677 LMwDS_long 
77 0 AP890425-0096  345 4.21654 LMwDS_long 
77 0 AP890222-0181  346 4.21509 LMwDS_long 
77 0 AP890503-0098  347 4.21314 LMwDS_long 
77 0 AP890116-0182  348 4.20802 LMwDS_long 
77 0 AP890210-0075  349 4.19829 LMwDS_long 
77 0 AP890731-0021  350 4.19701 LMwDS_long 
77 0 AP891207-0010  351 4.19513 LMwDS_long 
77 0 AP891013-0110  352 4.19341 LMwDS_long 
77 0 AP890410-0077  353 4.19309 LMwDS_long 
77 0 AP891030-0238  354 4.19207 LMwDS_long 
77 0 AP891022-0015  355 4.18789 LMwDS_long 
77 0 AP890519-0082  356 4.18780 LMwDS_long 
77 0 AP890827-0021  357 4.18780 LMwDS_long 
77 0 AP891120-0149  358 4.18698 LMwDS_long 
77 0 AP890623-0131  359 4.18327 LMwDS_long 
77 0 AP890316-0125  360 4.17834 LMwDS_long 
77 0 AP890322-0179  361 4.15893 LMwDS_long 
77 0 AP890126-0102  362 4.15097 LMwDS_long 
77 0 AP890824-0065  363 4.14961 LMwDS_long 
77 0 AP891208-0172  364 4.14660 LMwDS_long 
77 0 AP891010-0088  365 4.14632 LMwDS_long 
77 0 AP890408-0099  366 4.13934 LMwDS_long 
77 0 AP891222-0044  367 4.13738 LMwDS_long 
77 0 AP890629-0038  368 4.13562 LMwDS_long 
77 0 AP890502-0170  369 4.13542 LMwDS_long 
77 0 AP890324-0109  370 4.13498 LMwDS_long 
77 0 AP890810-0113  371 4.13450 LMwDS_long 
77 0 AP890503-0215  372 4.12744 LMwDS_long 
77 0 AP890612-0029  373 4.12313 LMwDS_long 
77 0 AP890829-0134  374 4.12313 LMwDS_long 
77 0 AP890609-0154  375 4.10636 LMwDS_long 
77 0 AP890803-0041  376 4.10566 LMwDS_long 
77 0 AP890503-0099  377 4.09509 LMwDS_long 
77 0 AP890902-0160  378 4.09349 LMwDS_long 
77 0 AP890712-0036  379 4.08971 LMwDS_long 
77 0 AP891105-0092  380 4.08947 LMwDS_long 
77 0 AP890216-0118  381 4.08882 LMwDS_long 
77 0 AP890412-0217  382 4.08465 LMwDS_long 
77 0 AP890320-0013  383 4.08333 LMwDS_long 
77 0 AP891004-0275  384 4.08333 LMwDS_long 
77 0 AP890831-0218  385 4.08159 LMwDS_long 
77 0 AP890106-0069  386 4.07628 LMwDS_long 
77 0 AP890713-0039  387 4.06821 LMwDS_long 
77 0 AP890401-0038  388 4.06470 LMwDS_long 
77 0 AP890418-0192  389 4.06448 LMwDS_long 
77 0 AP890209-0184  390 4.06105 LMwDS_long 
77 0 AP890210-0021  391 4.06105 LMwDS_long 
77 0 AP890202-0242  392 4.05754 LMwDS_long 
77 0 AP890802-0107  393 4.05507 LMwDS_long 
77 0 AP891026-0075  394 4.05507 LMwDS_long 
77 0 AP890509-0231  395 4.05445 LMwDS_long 
77 0 AP891113-0202  396 4.05327 LMwDS_long 
77 0 AP890317-0163  397 4.04994 LMwDS_long 
77 0 AP890726-0246  398 4.04699 LMwDS_long 
77 0 AP891025-0234  399 4.04422 LMwDS_long 
77 0 AP890531-0026  400 4.04382 LMwDS_long 
77 0 AP890109-0295  401 4.04276 LMwDS_long 
77 0 AP890819-0029  402 4.04009 LMwDS_long 
77 0 AP890506-0014  403 4.04003 LMwDS_long 
77 0 AP891211-0097  404 4.03771 LMwDS_long 
77 0 AP890110-0069  405 4.03477 LMwDS_long 
77 0 AP890110-0103  406 4.03477 LMwDS_long 
77 0 AP890107-0008  407 4.03188 LMwDS_long 
77 0 AP890802-0031  408 4.02482 LMwDS_long 
77 0 AP890920-0166  409 4.02068 LMwDS_long 
77 0 AP890125-0286  410 4.02005 LMwDS_long 
77 0 AP890908-0242  411 4.01118 LMwDS_long 
77 0 AP890706-0272  412 4.00795 LMwDS_long 
77 0 AP890324-0085  413 4.00764 LMwDS_long 
77 0 AP890414-0224  414 4.00761 LMwDS_long 
77 0 AP890629-0249  415 4.00365 LMwDS_long 
77 0 AP890425-0239  416 4.00317 LMwDS_long 
77 0 AP891010-0057  417 4.00317 LMwDS_long 
77 0 AP891012-0129  418 4.00317 LMwDS_long 
77 0 AP891012-0284  419 4.00317 LMwDS_long 
77 0 AP890202-0248  420 3.99675 LMwDS_long 
77 0 AP890511-0087  421 3.99526 LMwDS_long 
77 0 AP890315-0022  422 3.99465 LMwDS_long 
77 0 AP890825-0193  423 3.99463 LMwDS_long 
77 0 AP890916-0144  424 3.99076 LMwDS_long 
77 0 AP891115-0120  425 3.99076 LMwDS_long 
77 0 AP890830-0022  426 3.98768 LMwDS_long 
77 0 AP891216-0120  427 3.98183 LMwDS_long 
77 0 AP890227-0284  428 3.98171 LMwDS_long 
77 0 AP890104-0207  429 3.97890 LMwDS_long 
77 0 AP890726-0139  430 3.97861 LMwDS_long 
77 0 AP890130-0258  431 3.97305 LMwDS_long 
77 0 AP890228-0122  432 3.96925 LMwDS_long 
77 0 AP890707-0118  433 3.96247 LMwDS_long 
77 0 AP890731-0197  434 3.95938 LMwDS_long 
77 0 AP890108-0023  435 3.95421 LMwDS_long 
77 0 AP890227-0267  436 3.95421 LMwDS_long 
77 0 AP890416-0044  437 3.95421 LMwDS_long 
77 0 AP890501-0107  438 3.95421 LMwDS_long 
77 0 AP890630-0179  439 3.95421 LMwDS_long 
77 0 AP890816-0265  440 3.95421 LMwDS_long 
77 0 AP890818-0015  441 3.95210 LMwDS_long 
77 0 AP890629-0130  442 3.95136 LMwDS_long 
77 0 AP890322-0122  443 3.94759 LMwDS_long 
77 0 AP890326-0022  444 3.94456 LMwDS_long 
77 0 AP891220-0027  445 3.93476 LMwDS_long 
77 0 AP891024-0221  446 3.93012 LMwDS_long 
77 0 AP891031-0001  447 3.93012 LMwDS_long 
77 0 AP890413-0161  448 3.92919 LMwDS_long 
77 0 AP890314-0249  449 3.92156 LMwDS_long 
77 0 AP890321-0011  450 3.91341 LMwDS_long 
77 0 AP890318-0111  451 3.91298 LMwDS_long 
77 0 AP890101-0068  452 3.90734 LMwDS_long 
77 0 AP890209-0118  453 3.90734 LMwDS_long 
77 0 AP891022-0045  454 3.90734 LMwDS_long 
77 0 AP890324-0140  455 3.90556 LMwDS_long 
77 0 AP891025-0048  456 3.90556 LMwDS_long 
77 0 AP890302-0215  457 3.89829 LMwDS_long 
77 0 AP891012-0130  458 3.89829 LMwDS_long 
77 0 AP891015-0035  459 3.89603 LMwDS_long 
77 0 AP890609-0128  460 3.89548 LMwDS_long 
77 0 AP891005-0184  461 3.89548 LMwDS_long 
77 0 AP890119-0226  462 3.89384 LMwDS_long 
77 0 AP890901-0247  463 3.89384 LMwDS_long 
77 0 AP891012-0199  464 3.89237 LMwDS_long 
77 0 AP890704-0142  465 3.88963 LMwDS_long 
77 0 AP890405-0162  466 3.88919 LMwDS_long 
77 0 AP890206-0065  467 3.88827 LMwDS_long 
77 0 AP890810-0031  468 3.88245 LMwDS_long 
77 0 AP890616-0182  469 3.87498 LMwDS_long 
77 0 AP890623-0007  470 3.87498 LMwDS_long 
77 0 AP890522-0082  471 3.86873 LMwDS_long 
77 0 AP890123-0142  472 3.86607 LMwDS_long 
77 0 AP890414-0026  473 3.86557 LMwDS_long 
77 0 AP890425-0014  474 3.85983 LMwDS_long 
77 0 AP890826-0016  475 3.85665 LMwDS_long 
77 0 AP890907-0184  476 3.85373 LMwDS_long 
77 0 AP890912-0054  477 3.85238 LMwDS_long 
77 0 AP890729-0016  478 3.84824 LMwDS_long 
77 0 AP891113-0200  479 3.84824 LMwDS_long 
77 0 AP890124-0082  480 3.84645 LMwDS_long 
77 0 AP890809-0259  481 3.84397 LMwDS_long 
77 0 AP891002-0193  482 3.84137 LMwDS_long 
77 0 AP890301-0002  483 3.83904 LMwDS_long 
77 0 AP890609-0061  484 3.83904 LMwDS_long 
77 0 AP890625-0001  485 3.83904 LMwDS_long 
77 0 AP890113-0118  486 3.83895 LMwDS_long 
77 0 AP890911-0166  487 3.83895 LMwDS_long 
77 0 AP890124-0034  488 3.83404 LMwDS_long 
77 0 AP890410-0113  489 3.83202 LMwDS_long 
77 0 AP890130-0152  490 3.82999 LMwDS_long 
77 0 AP891102-0240  491 3.82674 LMwDS_long 
77 0 AP890417-0212  492 3.82672 LMwDS_long 
77 0 AP891207-0066  493 3.82478 LMwDS_long 
77 0 AP890821-0090  494 3.82477 LMwDS_long 
77 0 AP891026-0108  495 3.81888 LMwDS_long 
77 0 AP890628-0110  496 3.81309 LMwDS_long 
77 0 AP890727-0194  497 3.80979 LMwDS_long 
77 0 AP890712-0141  498 3.80756 LMwDS_long 
77 0 AP891222-0090  499 3.80741 LMwDS_long 
77 0 AP890816-0022  500 3.80710 LMwDS_long 
