51 0 AP890908-0222    1 8.04724 LMwDS_short 
80 0 AP891017-0007  195 4.11934 LMwDS_short 
80 0 AP891025-0294  196 4.11934 LMwDS_short 
80 0 AP891028-0118  197 4.11934 LMwDS_short 
80 0 AP891115-0011  198 4.11934 LMwDS_short 
80 0 AP891211-0022  199 4.11934 LMwDS_short 
80 0 AP890125-0217  200 4.10915 LMwDS_short 
80 0 AP891101-0120  201 4.10915 LMwDS_short 
80 0 AP890521-0031  202 4.08808 LMwDS_short 
80 0 AP890427-0088  203 4.07903 LMwDS_short 
80 0 AP890530-0183  204 4.06439 LMwDS_short 
80 0 AP890812-0048  205 4.05549 LMwDS_short 
80 0 AP890606-0163  206 4.05516 LMwDS_short 
80 0 AP890201-0169  207 4.04911 LMwDS_short 
80 0 AP891220-0075  208 4.03662 LMwDS_short 
80 0 AP890517-0001  209 4.03020 LMwDS_short 
80 0 AP891110-0048  210 4.03020 LMwDS_short 
80 0 AP890914-0152  211 4.02261 LMwDS_short 
80 0 AP890117-0179  212 3.98934 LMwDS_short 
80 0 AP890224-0170  213 3.98934 LMwDS_short 
80 0 AP890619-0199  214 3.98934 LMwDS_short 
80 0 AP890629-0149  215 3.98934 LMwDS_short 
80 0 AP890630-0005  216 3.98934 LMwDS_short 
80 0 AP890920-0190  217 3.98934 LMwDS_short 
80 0 AP891111-0016  218 3.98934 LMwDS_short 
80 0 AP890322-0275  219 3.94306 LMwDS_short 
80 0 AP890419-0212  220 3.93524 LMwDS_short 
80 0 AP890106-0023  221 3.92175 LMwDS_short 
80 0 AP891026-0051  222 3.92175 LMwDS_short 
80 0 AP891104-0107  223 3.92175 LMwDS_short 
80 0 AP891107-0126  224 3.92165 LMwDS_short 
80 0 AP890526-0167  225 3.91902 LMwDS_short 
80 0 AP890120-0011  226 3.88768 LMwDS_short 
80 0 AP890503-0225  227 3.87338 LMwDS_short 
80 0 AP891126-0001  228 3.87338 LMwDS_short 
80 0 AP890218-0001  229 3.85539 LMwDS_short 
80 0 AP890615-0031  230 3.85193 LMwDS_short 
80 0 AP890531-0043  231 3.83714 LMwDS_short 
80 0 AP891022-0082  232 3.83714 LMwDS_short 
80 0 AP890927-0014  233 3.82527 LMwDS_short 
80 0 AP890121-0149  234 3.80203 LMwDS_short 
80 0 AP890720-0014  235 3.80203 LMwDS_short 
80 0 AP890724-0022  236 3.80203 LMwDS_short 
80 0 AP891102-0223  237 3.79781 LMwDS_short 
80 0 AP891109-0008  238 3.79781 LMwDS_short 
80 0 AP890329-0022  239 3.79016 LMwDS_short 
80 0 AP890511-0051  240 3.76885 LMwDS_short 
80 0 AP890928-0174  241 3.74971 LMwDS_short 
80 0 AP891002-0029  242 3.74971 LMwDS_short 
80 0 AP891002-0225  243 3.73810 LMwDS_short 
80 0 AP890629-0210  244 3.71852 LMwDS_short 
80 0 AP890728-0193  245 3.71679 LMwDS_short 
80 0 AP890530-0013  246 3.69572 LMwDS_short 
80 0 AP890516-0104  247 3.68930 LMwDS_short 
80 0 AP890925-0052  248 3.68802 LMwDS_short 
80 0 AP890718-0106  249 3.68799 LMwDS_short 
80 0 AP890512-0145  250 3.68380 LMwDS_short 
80 0 AP890718-0186  251 3.68380 LMwDS_short 
80 0 AP890226-0062  252 3.66799 LMwDS_short 
80 0 AP890318-0120  253 3.66799 LMwDS_short 
80 0 AP890513-0065  254 3.66799 LMwDS_short 
80 0 AP891113-0095  255 3.66799 LMwDS_short 
80 0 AP890310-0127  256 3.65919 LMwDS_short 
80 0 AP890312-0070  257 3.64289 LMwDS_short 
80 0 AP890320-0040  258 3.63566 LMwDS_short 
80 0 AP890620-0017  259 3.62634 LMwDS_short 
80 0 AP891003-0063  260 3.61432 LMwDS_short 
80 0 AP891108-0033  261 3.59031 LMwDS_short 
80 0 AP890514-0031  262 3.59004 LMwDS_short 
80 0 AP890131-0154  263 3.57366 LMwDS_short 
80 0 AP890715-0076  264 3.56685 LMwDS_short 
80 0 AP891207-0191  265 3.56681 LMwDS_short 
80 0 AP890104-0024  266 3.56170 LMwDS_short 
80 0 AP890104-0123  267 3.56170 LMwDS_short 
80 0 AP890524-0111  268 3.55039 LMwDS_short 
80 0 AP891112-0039  269 3.54578 LMwDS_short 
80 0 AP891108-0018  270 3.53670 LMwDS_short 
80 0 AP890612-0163  271 3.53426 LMwDS_short 
80 0 AP890309-0183  272 3.53248 LMwDS_short 
80 0 AP890519-0009  273 3.53248 LMwDS_short 
80 0 AP891027-0224  274 3.53248 LMwDS_short 
80 0 AP890825-0048  275 3.51732 LMwDS_short 
80 0 AP890316-0182  276 3.51117 LMwDS_short 
80 0 AP890508-0143  277 3.51117 LMwDS_short 
80 0 AP890518-0082  278 3.51117 LMwDS_short 
80 0 AP890925-0201  279 3.51117 LMwDS_short 
80 0 AP891116-0196  280 3.51117 LMwDS_short 
80 0 AP890412-0069  281 3.50099 LMwDS_short 
80 0 AP890511-0039  282 3.50099 LMwDS_short 
80 0 AP890607-0173  283 3.50099 LMwDS_short 
80 0 AP890203-0200  284 3.49624 LMwDS_short 
80 0 AP890506-0087  285 3.49624 LMwDS_short 
80 0 AP890514-0043  286 3.49624 LMwDS_short 
80 0 AP890622-0094  287 3.49624 LMwDS_short 
80 0 AP890622-0205  288 3.49624 LMwDS_short 
80 0 AP890515-0102  289 3.48607 LMwDS_short 
80 0 AP890216-0204  290 3.48157 LMwDS_short 
80 0 AP890210-0113  291 3.46303 LMwDS_short 
80 0 AP891107-0157  292 3.46303 LMwDS_short 
80 0 AP890220-0084  293 3.46049 LMwDS_short 
80 0 AP890525-0027  294 3.46049 LMwDS_short 
80 0 AP891220-0246  295 3.46049 LMwDS_short 
80 0 AP890530-0054  296 3.46004 LMwDS_short 
80 0 AP891109-0251  297 3.45880 LMwDS_short 
80 0 AP890716-0071  298 3.44902 LMwDS_short 
80 0 AP890429-0112  299 3.44543 LMwDS_short 
80 0 AP890408-0067  300 3.43340 LMwDS_short 
80 0 AP890506-0108  301 3.43340 LMwDS_short 
80 0 AP890701-0098  302 3.43340 LMwDS_short 
80 0 AP891113-0116  303 3.43340 LMwDS_short 
80 0 AP891125-0074  304 3.43340 LMwDS_short 
80 0 AP890914-0018  305 3.42977 LMwDS_short 
80 0 AP890207-0192  306 3.42795 LMwDS_short 
80 0 AP890506-0085  307 3.42795 LMwDS_short 
80 0 AP890506-0103  308 3.42795 LMwDS_short 
80 0 AP891119-0048  309 3.42795 LMwDS_short 
80 0 AP890320-0003  310 3.41139 LMwDS_short 
80 0 AP890320-0026  311 3.41139 LMwDS_short 
80 0 AP890601-0034  312 3.41128 LMwDS_short 
80 0 AP890724-0052  313 3.39357 LMwDS_short 
80 0 AP890719-0035  314 3.37518 LMwDS_short 
80 0 AP890710-0138  315 3.34816 LMwDS_short 
80 0 AP890710-0100  316 3.34200 LMwDS_short 
80 0 AP890114-0064  317 3.32709 LMwDS_short 
80 0 AP890424-0063  318 3.32709 LMwDS_short 
80 0 AP890530-0159  319 3.32709 LMwDS_short 
80 0 AP890704-0024  320 3.32709 LMwDS_short 
80 0 AP890713-0194  321 3.32709 LMwDS_short 
80 0 AP890714-0206  322 3.32709 LMwDS_short 
80 0 AP891103-0051  323 3.32709 LMwDS_short 
80 0 AP890620-0090  324 3.32578 LMwDS_short 
80 0 AP890115-0060  325 3.30906 LMwDS_short 
80 0 AP891121-0147  326 3.30906 LMwDS_short 
80 0 AP890225-0079  327 3.30147 LMwDS_short 
80 0 AP890406-0210  328 3.29380 LMwDS_short 
80 0 AP890322-0083  329 3.28244 LMwDS_short 
80 0 AP890515-0059  330 3.28244 LMwDS_short 
80 0 AP891014-0092  331 3.27658 LMwDS_short 
80 0 AP891108-0100  332 3.27658 LMwDS_short 
80 0 AP891125-0069  333 3.27658 LMwDS_short 
80 0 AP890124-0039  334 3.27342 LMwDS_short 
80 0 AP890812-0112  335 3.27342 LMwDS_short 
80 0 AP891001-0072  336 3.27342 LMwDS_short 
80 0 AP891120-0101  337 3.27342 LMwDS_short 
80 0 AP890629-0182  338 3.26355 LMwDS_short 
80 0 AP891107-0043  339 3.26355 LMwDS_short 
80 0 AP890110-0188  340 3.25863 LMwDS_short 
80 0 AP890608-0117  341 3.25863 LMwDS_short 
80 0 AP890612-0167  342 3.25863 LMwDS_short 
80 0 AP891120-0178  343 3.25117 LMwDS_short 
80 0 AP890320-0217  344 3.24914 LMwDS_short 
80 0 AP890717-0179  345 3.24914 LMwDS_short 
80 0 AP890719-0018  346 3.22848 LMwDS_short 
80 0 AP890928-0080  347 3.22848 LMwDS_short 
80 0 AP890604-0001  348 3.22804 LMwDS_short 
80 0 AP890130-0195  349 3.22780 LMwDS_short 
80 0 AP890201-0155  350 3.22780 LMwDS_short 
80 0 AP890315-0263  351 3.22780 LMwDS_short 
80 0 AP890511-0206  352 3.22780 LMwDS_short 
80 0 AP890512-0221  353 3.22780 LMwDS_short 
80 0 AP890519-0048  354 3.22780 LMwDS_short 
80 0 AP890614-0141  355 3.22780 LMwDS_short 
80 0 AP891109-0155  356 3.22780 LMwDS_short 
80 0 AP890505-0226  357 3.19526 LMwDS_short 
80 0 AP891216-0128  358 3.19526 LMwDS_short 
80 0 AP890309-0193  359 3.19518 LMwDS_short 
80 0 AP890617-0117  360 3.19518 LMwDS_short 
80 0 AP890131-0260  361 3.19135 LMwDS_short 
80 0 AP890203-0172  362 3.19135 LMwDS_short 
80 0 AP890512-0222  363 3.19135 LMwDS_short 
80 0 AP890513-0125  364 3.19135 LMwDS_short 
80 0 AP890514-0068  365 3.19135 LMwDS_short 
80 0 AP890515-0228  366 3.19135 LMwDS_short 
80 0 AP890519-0003  367 3.19135 LMwDS_short 
80 0 AP890712-0049  368 3.19135 LMwDS_short 
80 0 AP890803-0178  369 3.19135 LMwDS_short 
80 0 AP891027-0244  370 3.18354 LMwDS_short 
80 0 AP890611-0016  371 3.18275 LMwDS_short 
80 0 AP890601-0160  372 3.18022 LMwDS_short 
80 0 AP890523-0035  373 3.17449 LMwDS_short 
80 0 AP891207-0189  374 3.17449 LMwDS_short 
80 0 AP891215-0145  375 3.17449 LMwDS_short 
80 0 AP890313-0023  376 3.17027 LMwDS_short 
80 0 AP890412-0181  377 3.17027 LMwDS_short 
80 0 AP890516-0191  378 3.17027 LMwDS_short 
80 0 AP890524-0239  379 3.17027 LMwDS_short 
80 0 AP890530-0201  380 3.17027 LMwDS_short 
80 0 AP891120-0212  381 3.17027 LMwDS_short 
80 0 AP891218-0069  382 3.17027 LMwDS_short 
80 0 AP890413-0109  383 3.16807 LMwDS_short 
80 0 AP890521-0056  384 3.16807 LMwDS_short 
80 0 AP890624-0002  385 3.16807 LMwDS_short 
80 0 AP890701-0042  386 3.16807 LMwDS_short 
80 0 AP890719-0292  387 3.16807 LMwDS_short 
80 0 AP890723-0059  388 3.16807 LMwDS_short 
80 0 AP890805-0124  389 3.16807 LMwDS_short 
80 0 AP891102-0193  390 3.16807 LMwDS_short 
80 0 AP891031-0071  391 3.16028 LMwDS_short 
80 0 AP890218-0050  392 3.14475 LMwDS_short 
80 0 AP890322-0016  393 3.14475 LMwDS_short 
80 0 AP891014-0100  394 3.14475 LMwDS_short 
80 0 AP890603-0019  395 3.14251 LMwDS_short 
80 0 AP890604-0045  396 3.14251 LMwDS_short 
80 0 AP890128-0085  397 3.12213 LMwDS_short 
80 0 AP890227-0231  398 3.12213 LMwDS_short 
80 0 AP890410-0074  399 3.12213 LMwDS_short 
80 0 AP890516-0103  400 3.12213 LMwDS_short 
80 0 AP890526-0076  401 3.12213 LMwDS_short 
80 0 AP891215-0122  402 3.12213 LMwDS_short 
80 0 AP891215-0207  403 3.12213 LMwDS_short 
80 0 AP891216-0044  404 3.12213 LMwDS_short 
80 0 AP890106-0142  405 3.12079 LMwDS_short 
80 0 AP890301-0218  406 3.10080 LMwDS_short 
80 0 AP890409-0053  407 3.10080 LMwDS_short 
80 0 AP890723-0068  408 3.10080 LMwDS_short 
80 0 AP891224-0027  409 3.09716 LMwDS_short 
80 0 AP890213-0126  410 3.09440 LMwDS_short 
80 0 AP890512-0045  411 3.09440 LMwDS_short 
80 0 AP891020-0008  412 3.09440 LMwDS_short 
80 0 AP891207-0151  413 3.09440 LMwDS_short 
80 0 AP890604-0037  414 3.08051 LMwDS_short 
80 0 AP891012-0238  415 3.07049 LMwDS_short 
80 0 AP890603-0075  416 3.06634 LMwDS_short 
80 0 AP890928-0086  417 3.06427 LMwDS_short 
80 0 AP891211-0138  418 3.06427 LMwDS_short 
80 0 AP890221-0196  419 3.06422 LMwDS_short 
80 0 AP891112-0076  420 3.06422 LMwDS_short 
80 0 AP890628-0094  421 3.05249 LMwDS_short 
80 0 AP890629-0156  422 3.05022 LMwDS_short 
80 0 AP890721-0150  423 3.02388 LMwDS_short 
80 0 AP890905-0173  424 3.01726 LMwDS_short 
80 0 AP890507-0035  425 3.01622 LMwDS_short 
80 0 AP890206-0132  426 3.01125 LMwDS_short 
80 0 AP890213-0187  427 3.01125 LMwDS_short 
80 0 AP890305-0022  428 3.01125 LMwDS_short 
80 0 AP890310-0150  429 3.01125 LMwDS_short 
80 0 AP890423-0027  430 3.01125 LMwDS_short 
80 0 AP890606-0088  431 3.01125 LMwDS_short 
80 0 AP890205-0063  432 3.00607 LMwDS_short 
80 0 AP890401-0011  433 3.00607 LMwDS_short 
80 0 AP890816-0105  434 3.00607 LMwDS_short 
80 0 AP890111-0243  435 2.97976 LMwDS_short 
80 0 AP890111-0175  436 2.97501 LMwDS_short 
80 0 AP890112-0011  437 2.97501 LMwDS_short 
80 0 AP890319-0015  438 2.97501 LMwDS_short 
80 0 AP890529-0029  439 2.97501 LMwDS_short 
80 0 AP890826-0122  440 2.97501 LMwDS_short 
80 0 AP890109-0054  441 2.95559 LMwDS_short 
80 0 AP890325-0065  442 2.95328 LMwDS_short 
80 0 AP890618-0008  443 2.95328 LMwDS_short 
80 0 AP890228-0095  444 2.93926 LMwDS_short 
80 0 AP890610-0031  445 2.93926 LMwDS_short 
80 0 AP890123-0036  446 2.93781 LMwDS_short 
80 0 AP890407-0166  447 2.93781 LMwDS_short 
80 0 AP890526-0158  448 2.93781 LMwDS_short 
80 0 AP890605-0056  449 2.93781 LMwDS_short 
80 0 AP890619-0068  450 2.93781 LMwDS_short 
80 0 AP891109-0231  451 2.93781 LMwDS_short 
80 0 AP891111-0068  452 2.93781 LMwDS_short 
80 0 AP890427-0132  453 2.93758 LMwDS_short 
80 0 AP890502-0164  454 2.93758 LMwDS_short 
80 0 AP890506-0011  455 2.93758 LMwDS_short 
80 0 AP890510-0169  456 2.93758 LMwDS_short 
80 0 AP890515-0193  457 2.93758 LMwDS_short 
80 0 AP890327-0061  458 2.93634 LMwDS_short 
80 0 AP891028-0091  459 2.93634 LMwDS_short 
80 0 AP890430-0085  460 2.92266 LMwDS_short 
80 0 AP890509-0204  461 2.92266 LMwDS_short 
80 0 AP890510-0191  462 2.92266 LMwDS_short 
80 0 AP890611-0075  463 2.92266 LMwDS_short 
80 0 AP890803-0081  464 2.92266 LMwDS_short 
80 0 AP890817-0155  465 2.92266 LMwDS_short 
80 0 AP890910-0084  466 2.92266 LMwDS_short 
80 0 AP891114-0142  467 2.92266 LMwDS_short 
80 0 AP891123-0104  468 2.92266 LMwDS_short 
80 0 AP890122-0056  469 2.91913 LMwDS_short 
80 0 AP890723-0041  470 2.91913 LMwDS_short 
80 0 AP891110-0080  471 2.91913 LMwDS_short 
80 0 AP891211-0224  472 2.91027 LMwDS_short 
80 0 AP890619-0154  473 2.90740 LMwDS_short 
80 0 AP890813-0006  474 2.90740 LMwDS_short 
80 0 AP890126-0087  475 2.90672 LMwDS_short 
80 0 AP890429-0107  476 2.90672 LMwDS_short 
80 0 AP890526-0249  477 2.90672 LMwDS_short 
80 0 AP890807-0050  478 2.90672 LMwDS_short 
80 0 AP890814-0036  479 2.90672 LMwDS_short 
80 0 AP890911-0160  480 2.90672 LMwDS_short 
80 0 AP891218-0151  481 2.90672 LMwDS_short 
80 0 AP890717-0038  482 2.90651 LMwDS_short 
80 0 AP890907-0177  483 2.90305 LMwDS_short 
80 0 AP890124-0034  484 2.88691 LMwDS_short 
80 0 AP890223-0241  485 2.88691 LMwDS_short 
80 0 AP890307-0003  486 2.88691 LMwDS_short 
80 0 AP890506-0130  487 2.88691 LMwDS_short 
80 0 AP890509-0215  488 2.88691 LMwDS_short 
80 0 AP890819-0031  489 2.88691 LMwDS_short 
80 0 AP891118-0086  490 2.88691 LMwDS_short 
80 0 AP891123-0091  491 2.88691 LMwDS_short 
80 0 AP890507-0081  492 2.86870 LMwDS_short 
80 0 AP890609-0056  493 2.86870 LMwDS_short 
80 0 AP891202-0056  494 2.86870 LMwDS_short 
80 0 AP890112-0142  495 2.85473 LMwDS_short 
80 0 AP891107-0212  496 2.85473 LMwDS_short 
80 0 AP891114-0015  497 2.85473 LMwDS_short 
80 0 AP890406-0102  498 2.85463 LMwDS_short 
80 0 AP890422-0110  499 2.85463 LMwDS_short 
80 0 AP890425-0190  500 2.85463 LMwDS_short 
80 0 AP890715-0107  501 2.85463 LMwDS_short 
80 0 AP890123-0167  502 2.85436 LMwDS_short 
80 0 AP890221-0099  503 2.85436 LMwDS_short 
80 0 AP890306-0154  504 2.85436 LMwDS_short 
80 0 AP890310-0132  505 2.85436 LMwDS_short 
80 0 AP890425-0043  506 2.85436 LMwDS_short 
80 0 AP890428-0173  507 2.85436 LMwDS_short 
80 0 AP890705-0004  508 2.85436 LMwDS_short 
80 0 AP891005-0146  509 2.85436 LMwDS_short 
80 0 AP891014-0011  510 2.85436 LMwDS_short 
80 0 AP891118-0067  511 2.85436 LMwDS_short 
80 0 AP891215-0089  512 2.85436 LMwDS_short 
80 0 AP891215-0165  513 2.85436 LMwDS_short 
80 0 AP890313-0178  514 2.83948 LMwDS_short 
80 0 AP891207-0193  515 2.82049 LMwDS_short 
80 0 AP891109-0104  516 2.80781 LMwDS_short 
80 0 AP890214-0173  517 2.80586 LMwDS_short 
80 0 AP890317-0155  518 2.80586 LMwDS_short 
80 0 AP890605-0035  519 2.80586 LMwDS_short 
80 0 AP890613-0161  520 2.80586 LMwDS_short 
80 0 AP890703-0157  521 2.80586 LMwDS_short 
80 0 AP890804-0094  522 2.80586 LMwDS_short 
80 0 AP891102-0194  523 2.80586 LMwDS_short 
80 0 AP891120-0049  524 2.80586 LMwDS_short 
80 0 AP891209-0126  525 2.80586 LMwDS_short 
80 0 AP891013-0066  526 2.80565 LMwDS_short 
80 0 AP890412-0088  527 2.80322 LMwDS_short 
80 0 AP890615-0115  528 2.79481 LMwDS_short 
80 0 AP890823-0038  529 2.79288 LMwDS_short 
80 0 AP890319-0016  530 2.79029 LMwDS_short 
80 0 AP890516-0206  531 2.79029 LMwDS_short 
80 0 AP890527-0083  532 2.79029 LMwDS_short 
80 0 AP890529-0083  533 2.79029 LMwDS_short 
80 0 AP890913-0064  534 2.79029 LMwDS_short 
80 0 AP891023-0005  535 2.79029 LMwDS_short 
80 0 AP891120-0153  536 2.79029 LMwDS_short 
80 0 AP891201-0120  537 2.79029 LMwDS_short 
80 0 AP890509-0217  538 2.78016 LMwDS_short 
80 0 AP891106-0140  539 2.78016 LMwDS_short 
80 0 AP890128-0098  540 2.75350 LMwDS_short 
80 0 AP890204-0068  541 2.75350 LMwDS_short 
80 0 AP890207-0181  542 2.75350 LMwDS_short 
80 0 AP890304-0018  543 2.75350 LMwDS_short 
80 0 AP890507-0069  544 2.75350 LMwDS_short 
80 0 AP890522-0301  545 2.75350 LMwDS_short 
80 0 AP890603-0106  546 2.75350 LMwDS_short 
80 0 AP890622-0049  547 2.75350 LMwDS_short 
80 0 AP890806-0071  548 2.75350 LMwDS_short 
80 0 AP890906-0206  549 2.75350 LMwDS_short 
80 0 AP890908-0047  550 2.75350 LMwDS_short 
80 0 AP891113-0153  551 2.75350 LMwDS_short 
80 0 AP891215-0097  552 2.75350 LMwDS_short 
80 0 AP890327-0016  553 2.75219 LMwDS_short 
80 0 AP890328-0076  554 2.75219 LMwDS_short 
80 0 AP890515-0162  555 2.75219 LMwDS_short 
80 0 AP890609-0163  556 2.75219 LMwDS_short 
80 0 AP890628-0167  557 2.75219 LMwDS_short 
80 0 AP890714-0220  558 2.75219 LMwDS_short 
80 0 AP890909-0031  559 2.75219 LMwDS_short 
80 0 AP890909-0118  560 2.75219 LMwDS_short 
80 0 AP890916-0100  561 2.75219 LMwDS_short 
80 0 AP891002-0174  562 2.75219 LMwDS_short 
80 0 AP891012-0225  563 2.75219 LMwDS_short 
80 0 AP891018-0189  564 2.75219 LMwDS_short 
80 0 AP891103-0178  565 2.75219 LMwDS_short 
80 0 AP891217-0078  566 2.75125 LMwDS_short 
80 0 AP890326-0021  567 2.74602 LMwDS_short 
80 0 AP890403-0078  568 2.74602 LMwDS_short 
80 0 AP890408-0104  569 2.74602 LMwDS_short 
80 0 AP890823-0060  570 2.74602 LMwDS_short 
80 0 AP891211-0052  571 2.74602 LMwDS_short 
80 0 AP890108-0035  572 2.72791 LMwDS_short 
80 0 AP890605-0047  573 2.72791 LMwDS_short 
80 0 AP890710-0191  574 2.72791 LMwDS_short 
80 0 AP891013-0065  575 2.70306 LMwDS_short 
80 0 AP891014-0126  576 2.69795 LMwDS_short 
80 0 AP890413-0166  577 2.69791 LMwDS_short 
80 0 AP890731-0180  578 2.69791 LMwDS_short 
80 0 AP890326-0043  579 2.69558 LMwDS_short 
80 0 AP890401-0094  580 2.69558 LMwDS_short 
80 0 AP890514-0030  581 2.69558 LMwDS_short 
80 0 AP890723-0072  582 2.69558 LMwDS_short 
80 0 AP890905-0052  583 2.69558 LMwDS_short 
80 0 AP890818-0044  584 2.69026 LMwDS_short 
80 0 AP891205-0020  585 2.68441 LMwDS_short 
80 0 AP891016-0212  586 2.67758 LMwDS_short 
80 0 AP890120-0245  587 2.66380 LMwDS_short 
80 0 AP890408-0087  588 2.66380 LMwDS_short 
80 0 AP890919-0216  589 2.66380 LMwDS_short 
80 0 AP891108-0152  590 2.66029 LMwDS_short 
80 0 AP891209-0067  591 2.66029 LMwDS_short 
80 0 AP890112-0009  592 2.64904 LMwDS_short 
80 0 AP890302-0053  593 2.64904 LMwDS_short 
80 0 AP890303-0130  594 2.64904 LMwDS_short 
80 0 AP890310-0030  595 2.64904 LMwDS_short 
80 0 AP890502-0008  596 2.64904 LMwDS_short 
80 0 AP890508-0018  597 2.64904 LMwDS_short 
80 0 AP890513-0092  598 2.64904 LMwDS_short 
80 0 AP890729-0077  599 2.64904 LMwDS_short 
80 0 AP890830-0058  600 2.64904 LMwDS_short 
80 0 AP891011-0135  601 2.64904 LMwDS_short 
80 0 AP891016-0173  602 2.64904 LMwDS_short 
80 0 AP891111-0070  603 2.64904 LMwDS_short 
80 0 AP891115-0077  604 2.64904 LMwDS_short 
80 0 AP891218-0177  605 2.64904 LMwDS_short 
80 0 AP890213-0025  606 2.64883 LMwDS_short 
80 0 AP890213-0026  607 2.64883 LMwDS_short 
80 0 AP890403-0006  608 2.63725 LMwDS_short 
80 0 AP891119-0063  609 2.63579 LMwDS_short 
80 0 AP890428-0201  610 2.62480 LMwDS_short 
80 0 AP890521-0016  611 2.61718 LMwDS_short 
80 0 AP890527-0060  612 2.61718 LMwDS_short 
80 0 AP890527-0107  613 2.61718 LMwDS_short 
80 0 AP890605-0098  614 2.61718 LMwDS_short 
80 0 AP890911-0116  615 2.61718 LMwDS_short 
80 0 AP890912-0132  616 2.61718 LMwDS_short 
80 0 AP890929-0108  617 2.61718 LMwDS_short 
80 0 AP891108-0154  618 2.61718 LMwDS_short 
80 0 AP891109-0019  619 2.61718 LMwDS_short 
80 0 AP890219-0015  620 2.60099 LMwDS_short 
80 0 AP890307-0157  621 2.60099 LMwDS_short 
80 0 AP890128-0169  622 2.60090 LMwDS_short 
80 0 AP890202-0038  623 2.60090 LMwDS_short 
80 0 AP890422-0115  624 2.60090 LMwDS_short 
80 0 AP890501-0059  625 2.60090 LMwDS_short 
80 0 AP890510-0070  626 2.60090 LMwDS_short 
80 0 AP890524-0229  627 2.60090 LMwDS_short 
80 0 AP890614-0054  628 2.60090 LMwDS_short 
80 0 AP890622-0093  629 2.60090 LMwDS_short 
80 0 AP890702-0018  630 2.60090 LMwDS_short 
80 0 AP890714-0101  631 2.60090 LMwDS_short 
80 0 AP890810-0142  632 2.60090 LMwDS_short 
80 0 AP891107-0232  633 2.60090 LMwDS_short 
80 0 AP890127-0054  634 2.59668 LMwDS_short 
80 0 AP890213-0005  635 2.59668 LMwDS_short 
80 0 AP890221-0185  636 2.59668 LMwDS_short 
80 0 AP890302-0033  637 2.59668 LMwDS_short 
80 0 AP890316-0171  638 2.59668 LMwDS_short 
80 0 AP890318-0048  639 2.59668 LMwDS_short 
80 0 AP890318-0051  640 2.59668 LMwDS_short 
80 0 AP890502-0047  641 2.59668 LMwDS_short 
80 0 AP890508-0189  642 2.59668 LMwDS_short 
80 0 AP890511-0002  643 2.59668 LMwDS_short 
80 0 AP890512-0022  644 2.59668 LMwDS_short 
80 0 AP890515-0026  645 2.59668 LMwDS_short 
80 0 AP890705-0119  646 2.59668 LMwDS_short 
80 0 AP890720-0016  647 2.59668 LMwDS_short 
80 0 AP890901-0168  648 2.59668 LMwDS_short 
80 0 AP891116-0088  649 2.59668 LMwDS_short 
80 0 AP891127-0017  650 2.59668 LMwDS_short 
80 0 AP891212-0164  651 2.59668 LMwDS_short 
80 0 AP891219-0053  652 2.59668 LMwDS_short 
80 0 AP890122-0078  653 2.58939 LMwDS_short 
80 0 AP890209-0082  654 2.58939 LMwDS_short 
80 0 AP890621-0020  655 2.58939 LMwDS_short 
80 0 AP891219-0119  656 2.58939 LMwDS_short 
80 0 AP891017-0147  657 2.57745 LMwDS_short 
80 0 AP890304-0059  658 2.57067 LMwDS_short 
80 0 AP890327-0041  659 2.57067 LMwDS_short 
80 0 AP890422-0004  660 2.57067 LMwDS_short 
80 0 AP890913-0092  661 2.57067 LMwDS_short 
80 0 AP890926-0184  662 2.57067 LMwDS_short 
80 0 AP891103-0209  663 2.57067 LMwDS_short 
80 0 AP890727-0206  664 2.56561 LMwDS_short 
80 0 AP890202-0069  665 2.54981 LMwDS_short 
80 0 AP890227-0150  666 2.54030 LMwDS_short 
80 0 AP890312-0025  667 2.54030 LMwDS_short 
80 0 AP890527-0093  668 2.54030 LMwDS_short 
80 0 AP890128-0141  669 2.53653 LMwDS_short 
80 0 AP890311-0025  670 2.53653 LMwDS_short 
80 0 AP890320-0158  671 2.53653 LMwDS_short 
80 0 AP890323-0179  672 2.53653 LMwDS_short 
80 0 AP890423-0052  673 2.53653 LMwDS_short 
80 0 AP890424-0175  674 2.53653 LMwDS_short 
80 0 AP890505-0112  675 2.53653 LMwDS_short 
80 0 AP890517-0113  676 2.53653 LMwDS_short 
80 0 AP890807-0112  677 2.53653 LMwDS_short 
80 0 AP890912-0146  678 2.53653 LMwDS_short 
80 0 AP890913-0044  679 2.53653 LMwDS_short 
80 0 AP891006-0117  680 2.53653 LMwDS_short 
80 0 AP891014-0096  681 2.53653 LMwDS_short 
80 0 AP891029-0033  682 2.53653 LMwDS_short 
80 0 AP890223-0211  683 2.53269 LMwDS_short 
80 0 AP890516-0140  684 2.53166 LMwDS_short 
80 0 AP891114-0083  685 2.53166 LMwDS_short 
80 0 AP890228-0094  686 2.51813 LMwDS_short 
80 0 AP890116-0020  687 2.49904 LMwDS_short 
80 0 AP890219-0021  688 2.49690 LMwDS_short 
80 0 AP890527-0069  689 2.49690 LMwDS_short 
80 0 AP891103-0094  690 2.49690 LMwDS_short 
80 0 AP890420-0017  691 2.49068 LMwDS_short 
80 0 AP890326-0059  692 2.48718 LMwDS_short 
80 0 AP890131-0221  693 2.48609 LMwDS_short 
