51 0 AP890908-0222    1 10.20738 LMwJMS_short 
74 0 AP891128-0075  248 4.17623 LMwJMS_short 
74 0 AP891221-0054  249 4.17623 LMwJMS_short 
74 0 AP891221-0210  250 4.17623 LMwJMS_short 
74 0 AP891222-0203  251 4.17623 LMwJMS_short 
74 0 AP890131-0017  252 4.07144 LMwJMS_short 
74 0 AP890323-0237  253 4.07144 LMwJMS_short 
74 0 AP890815-0092  254 4.07144 LMwJMS_short 
74 0 AP890328-0072  255 4.06036 LMwJMS_short 
74 0 AP890530-0127  256 4.06036 LMwJMS_short 
74 0 AP891003-0163  257 4.06036 LMwJMS_short 
74 0 AP890102-0126  258 3.81832 LMwJMS_short 
74 0 AP890103-0004  259 3.81832 LMwJMS_short 
74 0 AP890123-0196  260 3.81832 LMwJMS_short 
74 0 AP890201-0296  261 3.81832 LMwJMS_short 
74 0 AP890202-0179  262 3.81832 LMwJMS_short 
74 0 AP890223-0076  263 3.81832 LMwJMS_short 
74 0 AP890223-0220  264 3.81832 LMwJMS_short 
74 0 AP890225-0157  265 3.81832 LMwJMS_short 
74 0 AP890228-0175  266 3.81832 LMwJMS_short 
74 0 AP890302-0251  267 3.81832 LMwJMS_short 
74 0 AP890302-0264  268 3.81832 LMwJMS_short 
74 0 AP890315-0263  269 3.81832 LMwJMS_short 
74 0 AP890316-0140  270 3.81832 LMwJMS_short 
74 0 AP890317-0232  271 3.81832 LMwJMS_short 
74 0 AP890326-0068  272 3.81832 LMwJMS_short 
74 0 AP890329-0094  273 3.81832 LMwJMS_short 
74 0 AP890414-0114  274 3.81832 LMwJMS_short 
74 0 AP890417-0274  275 3.81832 LMwJMS_short 
74 0 AP890419-0264  276 3.81832 LMwJMS_short 
74 0 AP890420-0280  277 3.81832 LMwJMS_short 
74 0 AP890421-0093  278 3.81832 LMwJMS_short 
74 0 AP890421-0204  279 3.81832 LMwJMS_short 
74 0 AP890427-0290  280 3.81832 LMwJMS_short 
74 0 AP890503-0131  281 3.81832 LMwJMS_short 
74 0 AP890503-0213  282 3.81832 LMwJMS_short 
74 0 AP890505-0018  283 3.81832 LMwJMS_short 
74 0 AP890516-0046  284 3.81832 LMwJMS_short 
74 0 AP890516-0090  285 3.81832 LMwJMS_short 
74 0 AP890518-0145  286 3.81832 LMwJMS_short 
74 0 AP890519-0207  287 3.81832 LMwJMS_short 
74 0 AP890521-0054  288 3.81832 LMwJMS_short 
74 0 AP890522-0060  289 3.81832 LMwJMS_short 
74 0 AP890523-0114  290 3.81832 LMwJMS_short 
74 0 AP890524-0223  291 3.81832 LMwJMS_short 
74 0 AP890526-0164  292 3.81832 LMwJMS_short 
74 0 AP890530-0199  293 3.81832 LMwJMS_short 
74 0 AP890531-0297  294 3.81832 LMwJMS_short 
74 0 AP890609-0076  295 3.81832 LMwJMS_short 
74 0 AP890616-0168  296 3.81832 LMwJMS_short 
74 0 AP890616-0240  297 3.81832 LMwJMS_short 
74 0 AP890617-0061  298 3.81832 LMwJMS_short 
74 0 AP890619-0039  299 3.81832 LMwJMS_short 
74 0 AP890620-0074  300 3.81832 LMwJMS_short 
74 0 AP890629-0004  301 3.81832 LMwJMS_short 
74 0 AP890630-0123  302 3.81832 LMwJMS_short 
74 0 AP890701-0125  303 3.81832 LMwJMS_short 
74 0 AP890711-0025  304 3.81832 LMwJMS_short 
74 0 AP890712-0023  305 3.81832 LMwJMS_short 
74 0 AP890712-0217  306 3.81832 LMwJMS_short 
74 0 AP890712-0220  307 3.81832 LMwJMS_short 
74 0 AP890728-0175  308 3.81832 LMwJMS_short 
74 0 AP890802-0080  309 3.81832 LMwJMS_short 
74 0 AP890804-0167  310 3.81832 LMwJMS_short 
74 0 AP890807-0013  311 3.81832 LMwJMS_short 
74 0 AP890811-0248  312 3.81832 LMwJMS_short 
74 0 AP890813-0066  313 3.81832 LMwJMS_short 
74 0 AP890814-0203  314 3.81832 LMwJMS_short 
74 0 AP890820-0037  315 3.81832 LMwJMS_short 
74 0 AP890820-0053  316 3.81832 LMwJMS_short 
74 0 AP890827-0007  317 3.81832 LMwJMS_short 
74 0 AP890831-0165  318 3.81832 LMwJMS_short 
74 0 AP890906-0045  319 3.81832 LMwJMS_short 
74 0 AP890911-0138  320 3.81832 LMwJMS_short 
74 0 AP890913-0249  321 3.81832 LMwJMS_short 
74 0 AP890914-0002  322 3.81832 LMwJMS_short 
74 0 AP890915-0090  323 3.81832 LMwJMS_short 
74 0 AP890915-0124  324 3.81832 LMwJMS_short 
74 0 AP890919-0084  325 3.81832 LMwJMS_short 
74 0 AP890925-0020  326 3.81832 LMwJMS_short 
74 0 AP890928-0026  327 3.81832 LMwJMS_short 
74 0 AP890928-0106  328 3.81832 LMwJMS_short 
74 0 AP891004-0195  329 3.81832 LMwJMS_short 
74 0 AP891007-0123  330 3.81832 LMwJMS_short 
74 0 AP891008-0041  331 3.81832 LMwJMS_short 
74 0 AP891010-0202  332 3.81832 LMwJMS_short 
74 0 AP891012-0010  333 3.81832 LMwJMS_short 
74 0 AP891016-0143  334 3.81832 LMwJMS_short 
74 0 AP891017-0203  335 3.81832 LMwJMS_short 
74 0 AP891017-0207  336 3.81832 LMwJMS_short 
74 0 AP891020-0313  337 3.81832 LMwJMS_short 
74 0 AP891023-0106  338 3.81832 LMwJMS_short 
74 0 AP891103-0085  339 3.81832 LMwJMS_short 
74 0 AP891107-0110  340 3.81832 LMwJMS_short 
74 0 AP891114-0025  341 3.81832 LMwJMS_short 
74 0 AP891115-0099  342 3.81832 LMwJMS_short 
74 0 AP891115-0116  343 3.81832 LMwJMS_short 
74 0 AP891129-0044  344 3.81832 LMwJMS_short 
74 0 AP891207-0007  345 3.81832 LMwJMS_short 
74 0 AP891207-0175  346 3.81832 LMwJMS_short 
74 0 AP891211-0090  347 3.81832 LMwJMS_short 
74 0 AP891219-0160  348 3.81832 LMwJMS_short 
74 0 AP891225-0002  349 3.81832 LMwJMS_short 
74 0 AP890822-0070  350 3.70179 LMwJMS_short 
74 0 AP890511-0081  351 3.63889 LMwJMS_short 
74 0 AP890120-0289  352 3.59917 LMwJMS_short 
74 0 AP890826-0058  353 3.53465 LMwJMS_short 
74 0 AP890225-0154  354 3.48480 LMwJMS_short 
74 0 AP890301-0051  355 3.48480 LMwJMS_short 
74 0 AP890326-0057  356 3.48480 LMwJMS_short 
74 0 AP890403-0026  357 3.48480 LMwJMS_short 
74 0 AP890728-0178  358 3.48480 LMwJMS_short 
74 0 AP891018-0194  359 3.48480 LMwJMS_short 
74 0 AP890207-0146  360 3.46181 LMwJMS_short 
74 0 AP890629-0213  361 3.46181 LMwJMS_short 
74 0 AP890107-0080  362 3.38431 LMwJMS_short 
74 0 AP890123-0254  363 3.38431 LMwJMS_short 
74 0 AP890126-0011  364 3.38431 LMwJMS_short 
74 0 AP890130-0218  365 3.38431 LMwJMS_short 
74 0 AP890227-0237  366 3.38431 LMwJMS_short 
74 0 AP890328-0106  367 3.38431 LMwJMS_short 
74 0 AP890328-0231  368 3.38431 LMwJMS_short 
74 0 AP890405-0232  369 3.38431 LMwJMS_short 
74 0 AP890407-0245  370 3.38431 LMwJMS_short 
74 0 AP890429-0052  371 3.38431 LMwJMS_short 
74 0 AP890529-0102  372 3.38431 LMwJMS_short 
74 0 AP890612-0071  373 3.38431 LMwJMS_short 
74 0 AP890616-0135  374 3.38431 LMwJMS_short 
74 0 AP890629-0104  375 3.38431 LMwJMS_short 
74 0 AP890708-0088  376 3.38431 LMwJMS_short 
74 0 AP890710-0004  377 3.38431 LMwJMS_short 
74 0 AP890804-0038  378 3.38431 LMwJMS_short 
74 0 AP890912-0096  379 3.38431 LMwJMS_short 
74 0 AP890928-0085  380 3.38431 LMwJMS_short 
74 0 AP890928-0210  381 3.38431 LMwJMS_short 
74 0 AP891003-0003  382 3.38431 LMwJMS_short 
74 0 AP891005-0105  383 3.38431 LMwJMS_short 
74 0 AP891006-0126  384 3.38431 LMwJMS_short 
74 0 AP891107-0250  385 3.38431 LMwJMS_short 
74 0 AP891110-0012  386 3.38431 LMwJMS_short 
74 0 AP891115-0195  387 3.38431 LMwJMS_short 
74 0 AP891119-0006  388 3.38431 LMwJMS_short 
74 0 AP891222-0148  389 3.38431 LMwJMS_short 
74 0 AP891223-0061  390 3.38431 LMwJMS_short 
74 0 AP890328-0130  391 3.35563 LMwJMS_short 
74 0 AP890113-0176  392 3.34044 LMwJMS_short 
74 0 AP890208-0205  393 3.32056 LMwJMS_short 
74 0 AP890502-0216  394 3.32056 LMwJMS_short 
74 0 AP891018-0172  395 3.32056 LMwJMS_short 
74 0 AP890205-0013  396 3.24648 LMwJMS_short 
74 0 AP890301-0138  397 3.24648 LMwJMS_short 
74 0 AP890831-0122  398 3.24648 LMwJMS_short 
74 0 AP890405-0108  399 3.22707 LMwJMS_short 
74 0 AP890410-0110  400 3.22707 LMwJMS_short 
74 0 AP890616-0150  401 3.22707 LMwJMS_short 
74 0 AP890713-0137  402 3.22707 LMwJMS_short 
74 0 AP890802-0245  403 3.22707 LMwJMS_short 
74 0 AP891002-0147  404 3.22707 LMwJMS_short 
74 0 AP891218-0141  405 3.22707 LMwJMS_short 
74 0 AP890208-0095  406 3.20728 LMwJMS_short 
74 0 AP890323-0070  407 3.20728 LMwJMS_short 
74 0 AP891002-0219  408 3.14544 LMwJMS_short 
74 0 AP890721-0004  409 3.12757 LMwJMS_short 
74 0 AP890102-0054  410 3.09920 LMwJMS_short 
74 0 AP890509-0045  411 3.09920 LMwJMS_short 
74 0 AP890527-0137  412 3.09920 LMwJMS_short 
74 0 AP890323-0204  413 3.04778 LMwJMS_short 
74 0 AP890410-0019  414 3.04485 LMwJMS_short 
74 0 AP891025-0148  415 3.04485 LMwJMS_short 
74 0 AP891227-0115  416 3.04485 LMwJMS_short 
74 0 AP890211-0052  417 3.03302 LMwJMS_short 
74 0 AP890517-0279  418 3.03302 LMwJMS_short 
74 0 AP890623-0143  419 3.03302 LMwJMS_short 
74 0 AP890831-0054  420 3.03302 LMwJMS_short 
74 0 AP890922-0123  421 3.03302 LMwJMS_short 
74 0 AP891006-0052  422 3.03302 LMwJMS_short 
74 0 AP891130-0048  423 3.03302 LMwJMS_short 
74 0 AP891205-0009  424 3.03302 LMwJMS_short 
74 0 AP890315-0100  425 2.97169 LMwJMS_short 
74 0 AP890410-0085  426 2.97169 LMwJMS_short 
74 0 AP890502-0189  427 2.97169 LMwJMS_short 
74 0 AP890505-0201  428 2.97169 LMwJMS_short 
74 0 AP890519-0086  429 2.97169 LMwJMS_short 
74 0 AP891122-0126  430 2.97169 LMwJMS_short 
74 0 AP891209-0091  431 2.97169 LMwJMS_short 
74 0 AP891211-0129  432 2.97169 LMwJMS_short 
74 0 AP890205-0003  433 2.95253 LMwJMS_short 
74 0 AP890629-0150  434 2.95253 LMwJMS_short 
74 0 AP890714-0195  435 2.95253 LMwJMS_short 
74 0 AP891006-0008  436 2.95253 LMwJMS_short 
74 0 AP891116-0217  437 2.95253 LMwJMS_short 
74 0 AP891214-0236  438 2.95253 LMwJMS_short 
74 0 AP891222-0282  439 2.95253 LMwJMS_short 
74 0 AP890107-0006  440 2.93300 LMwJMS_short 
74 0 AP890125-0255  441 2.93300 LMwJMS_short 
74 0 AP890203-0072  442 2.93300 LMwJMS_short 
74 0 AP890317-0163  443 2.93300 LMwJMS_short 
74 0 AP890324-0082  444 2.93300 LMwJMS_short 
74 0 AP890401-0005  445 2.93300 LMwJMS_short 
74 0 AP890602-0265  446 2.93300 LMwJMS_short 
74 0 AP890606-0135  447 2.93300 LMwJMS_short 
74 0 AP890607-0079  448 2.93300 LMwJMS_short 
74 0 AP890705-0203  449 2.93300 LMwJMS_short 
74 0 AP890710-0269  450 2.93300 LMwJMS_short 
74 0 AP890805-0066  451 2.93300 LMwJMS_short 
74 0 AP890906-0283  452 2.93300 LMwJMS_short 
74 0 AP891012-0185  453 2.93300 LMwJMS_short 
74 0 AP891108-0284  454 2.93300 LMwJMS_short 
74 0 AP890117-0100  455 2.88932 LMwJMS_short 
74 0 AP890117-0146  456 2.82185 LMwJMS_short 
74 0 AP890123-0020  457 2.82185 LMwJMS_short 
74 0 AP890202-0144  458 2.82185 LMwJMS_short 
74 0 AP890202-0204  459 2.82185 LMwJMS_short 
74 0 AP890216-0131  460 2.82185 LMwJMS_short 
74 0 AP890227-0146  461 2.82185 LMwJMS_short 
74 0 AP890228-0143  462 2.82185 LMwJMS_short 
74 0 AP890403-0038  463 2.82185 LMwJMS_short 
74 0 AP890406-0155  464 2.82185 LMwJMS_short 
74 0 AP890414-0176  465 2.82185 LMwJMS_short 
74 0 AP890415-0018  466 2.82185 LMwJMS_short 
74 0 AP890504-0193  467 2.82185 LMwJMS_short 
74 0 AP890603-0064  468 2.82185 LMwJMS_short 
74 0 AP890612-0171  469 2.82185 LMwJMS_short 
74 0 AP890615-0121  470 2.82185 LMwJMS_short 
74 0 AP890703-0040  471 2.82185 LMwJMS_short 
74 0 AP890728-0198  472 2.82185 LMwJMS_short 
74 0 AP890807-0061  473 2.82185 LMwJMS_short 
74 0 AP890810-0099  474 2.82185 LMwJMS_short 
74 0 AP890815-0214  475 2.82185 LMwJMS_short 
74 0 AP890901-0130  476 2.82185 LMwJMS_short 
74 0 AP890914-0208  477 2.82185 LMwJMS_short 
74 0 AP891016-0054  478 2.82185 LMwJMS_short 
74 0 AP891109-0192  479 2.82185 LMwJMS_short 
74 0 AP891204-0093  480 2.82185 LMwJMS_short 
74 0 AP890120-0277  481 2.80704 LMwJMS_short 
74 0 AP890325-0070  482 2.80704 LMwJMS_short 
74 0 AP890802-0175  483 2.80704 LMwJMS_short 
74 0 AP891012-0273  484 2.80704 LMwJMS_short 
74 0 AP891028-0102  485 2.80704 LMwJMS_short 
74 0 AP891108-0216  486 2.80704 LMwJMS_short 
74 0 AP891110-0117  487 2.80704 LMwJMS_short 
74 0 AP891110-0212  488 2.80704 LMwJMS_short 
74 0 AP891127-0015  489 2.80704 LMwJMS_short 
74 0 AP890324-0069  490 2.79956 LMwJMS_short 
74 0 AP890324-0122  491 2.79956 LMwJMS_short 
74 0 AP890315-0027  492 2.78060 LMwJMS_short 
74 0 AP890407-0089  493 2.78060 LMwJMS_short 
74 0 AP890414-0191  494 2.78060 LMwJMS_short 
74 0 AP890503-0033  495 2.78060 LMwJMS_short 
74 0 AP890510-0051  496 2.78060 LMwJMS_short 
74 0 AP890518-0066  497 2.78060 LMwJMS_short 
74 0 AP890620-0157  498 2.78060 LMwJMS_short 
74 0 AP890622-0125  499 2.78060 LMwJMS_short 
74 0 AP890624-0014  500 2.78060 LMwJMS_short 
74 0 AP890726-0261  501 2.78060 LMwJMS_short 
74 0 AP891103-0150  502 2.78060 LMwJMS_short 
74 0 AP891108-0282  503 2.78060 LMwJMS_short 
74 0 AP890302-0198  504 2.70093 LMwJMS_short 
74 0 AP890315-0297  505 2.70093 LMwJMS_short 
74 0 AP890110-0053  506 2.66291 LMwJMS_short 
74 0 AP890119-0225  507 2.66291 LMwJMS_short 
74 0 AP890221-0103  508 2.66291 LMwJMS_short 
74 0 AP890310-0310  509 2.66291 LMwJMS_short 
74 0 AP890317-0009  510 2.66291 LMwJMS_short 
74 0 AP890322-0021  511 2.66291 LMwJMS_short 
74 0 AP890509-0156  512 2.66291 LMwJMS_short 
74 0 AP890510-0146  513 2.66291 LMwJMS_short 
74 0 AP890705-0010  514 2.66291 LMwJMS_short 
74 0 AP890710-0023  515 2.66291 LMwJMS_short 
74 0 AP890727-0063  516 2.66291 LMwJMS_short 
74 0 AP890830-0056  517 2.66291 LMwJMS_short 
74 0 AP890913-0246  518 2.66291 LMwJMS_short 
74 0 AP890914-0137  519 2.66291 LMwJMS_short 
74 0 AP890928-0023  520 2.66291 LMwJMS_short 
74 0 AP891116-0251  521 2.66291 LMwJMS_short 
74 0 AP891120-0067  522 2.66291 LMwJMS_short 
74 0 AP890104-0237  523 2.59151 LMwJMS_short 
74 0 AP890125-0152  524 2.59151 LMwJMS_short 
74 0 AP890125-0253  525 2.59151 LMwJMS_short 
74 0 AP890130-0157  526 2.59151 LMwJMS_short 
74 0 AP890201-0184  527 2.59151 LMwJMS_short 
74 0 AP890206-0064  528 2.59151 LMwJMS_short 
74 0 AP890301-0223  529 2.59151 LMwJMS_short 
74 0 AP890302-0173  530 2.59151 LMwJMS_short 
74 0 AP890327-0150  531 2.59151 LMwJMS_short 
74 0 AP890413-0156  532 2.59151 LMwJMS_short 
74 0 AP890414-0205  533 2.59151 LMwJMS_short 
74 0 AP890501-0061  534 2.59151 LMwJMS_short 
74 0 AP890502-0135  535 2.59151 LMwJMS_short 
74 0 AP890508-0262  536 2.59151 LMwJMS_short 
74 0 AP890508-0271  537 2.59151 LMwJMS_short 
74 0 AP890520-0106  538 2.59151 LMwJMS_short 
74 0 AP890530-0079  539 2.59151 LMwJMS_short 
74 0 AP890603-0053  540 2.59151 LMwJMS_short 
74 0 AP890703-0053  541 2.59151 LMwJMS_short 
74 0 AP890801-0172  542 2.59151 LMwJMS_short 
74 0 AP890803-0093  543 2.59151 LMwJMS_short 
74 0 AP890815-0182  544 2.59151 LMwJMS_short 
74 0 AP890906-0082  545 2.59151 LMwJMS_short 
74 0 AP891003-0256  546 2.59151 LMwJMS_short 
74 0 AP891102-0077  547 2.59151 LMwJMS_short 
74 0 AP891118-0038  548 2.59151 LMwJMS_short 
74 0 AP891120-0228  549 2.59151 LMwJMS_short 
74 0 AP891121-0199  550 2.59151 LMwJMS_short 
74 0 AP891129-0024  551 2.59151 LMwJMS_short 
74 0 AP891206-0161  552 2.59151 LMwJMS_short 
74 0 AP890110-0153  553 2.57283 LMwJMS_short 
74 0 AP890113-0129  554 2.57283 LMwJMS_short 
74 0 AP890119-0149  555 2.57283 LMwJMS_short 
74 0 AP890119-0206  556 2.57283 LMwJMS_short 
74 0 AP890120-0285  557 2.57283 LMwJMS_short 
74 0 AP890127-0191  558 2.57283 LMwJMS_short 
74 0 AP890207-0069  559 2.57283 LMwJMS_short 
74 0 AP890221-0138  560 2.57283 LMwJMS_short 
74 0 AP890228-0119  561 2.57283 LMwJMS_short 
74 0 AP890301-0238  562 2.57283 LMwJMS_short 
74 0 AP890302-0103  563 2.57283 LMwJMS_short 
74 0 AP890305-0004  564 2.57283 LMwJMS_short 
74 0 AP890306-0157  565 2.57283 LMwJMS_short 
74 0 AP890307-0072  566 2.57283 LMwJMS_short 
74 0 AP890307-0184  567 2.57283 LMwJMS_short 
74 0 AP890309-0018  568 2.57283 LMwJMS_short 
74 0 AP890313-0057  569 2.57283 LMwJMS_short 
74 0 AP890320-0073  570 2.57283 LMwJMS_short 
74 0 AP890322-0218  571 2.57283 LMwJMS_short 
74 0 AP890323-0080  572 2.57283 LMwJMS_short 
74 0 AP890404-0047  573 2.57283 LMwJMS_short 
74 0 AP890417-0184  574 2.57283 LMwJMS_short 
74 0 AP890420-0105  575 2.57283 LMwJMS_short 
74 0 AP890427-0065  576 2.57283 LMwJMS_short 
74 0 AP890427-0278  577 2.57283 LMwJMS_short 
74 0 AP890503-0266  578 2.57283 LMwJMS_short 
74 0 AP890508-0171  579 2.57283 LMwJMS_short 
74 0 AP890517-0156  580 2.57283 LMwJMS_short 
74 0 AP890522-0051  581 2.57283 LMwJMS_short 
74 0 AP890530-0031  582 2.57283 LMwJMS_short 
74 0 AP890531-0063  583 2.57283 LMwJMS_short 
74 0 AP890619-0278  584 2.57283 LMwJMS_short 
74 0 AP890703-0121  585 2.57283 LMwJMS_short 
74 0 AP890714-0167  586 2.57283 LMwJMS_short 
74 0 AP890718-0145  587 2.57283 LMwJMS_short 
74 0 AP890719-0142  588 2.57283 LMwJMS_short 
74 0 AP890808-0174  589 2.57283 LMwJMS_short 
74 0 AP890809-0046  590 2.57283 LMwJMS_short 
74 0 AP890816-0088  591 2.57283 LMwJMS_short 
74 0 AP890822-0147  592 2.57283 LMwJMS_short 
74 0 AP890825-0043  593 2.57283 LMwJMS_short 
74 0 AP890906-0266  594 2.57283 LMwJMS_short 
74 0 AP890907-0028  595 2.57283 LMwJMS_short 
74 0 AP890921-0177  596 2.57283 LMwJMS_short 
74 0 AP891002-0106  597 2.57283 LMwJMS_short 
74 0 AP891006-0150  598 2.57283 LMwJMS_short 
74 0 AP891006-0165  599 2.57283 LMwJMS_short 
74 0 AP891007-0023  600 2.57283 LMwJMS_short 
74 0 AP891007-0065  601 2.57283 LMwJMS_short 
74 0 AP891009-0204  602 2.57283 LMwJMS_short 
74 0 AP891012-0274  603 2.57283 LMwJMS_short 
74 0 AP891022-0015  604 2.57283 LMwJMS_short 
74 0 AP891023-0154  605 2.57283 LMwJMS_short 
74 0 AP891024-0012  606 2.57283 LMwJMS_short 
74 0 AP891025-0193  607 2.57283 LMwJMS_short 
74 0 AP891102-0156  608 2.57283 LMwJMS_short 
74 0 AP891103-0284  609 2.57283 LMwJMS_short 
74 0 AP891106-0268  610 2.57283 LMwJMS_short 
74 0 AP891110-0089  611 2.57283 LMwJMS_short 
74 0 AP891110-0225  612 2.57283 LMwJMS_short 
74 0 AP891110-0253  613 2.57283 LMwJMS_short 
74 0 AP891111-0035  614 2.57283 LMwJMS_short 
74 0 AP891113-0245  615 2.57283 LMwJMS_short 
74 0 AP891124-0215  616 2.57283 LMwJMS_short 
74 0 AP891129-0006  617 2.57283 LMwJMS_short 
74 0 AP891203-0030  618 2.57283 LMwJMS_short 
74 0 AP891206-0100  619 2.57283 LMwJMS_short 
74 0 AP891219-0115  620 2.57283 LMwJMS_short 
74 0 AP891221-0132  621 2.57283 LMwJMS_short 
74 0 AP891227-0185  622 2.57283 LMwJMS_short 
74 0 AP890106-0128  623 2.55380 LMwJMS_short 
74 0 AP890119-0041  624 2.55380 LMwJMS_short 
74 0 AP890126-0191  625 2.55380 LMwJMS_short 
74 0 AP890131-0104  626 2.55380 LMwJMS_short 
74 0 AP890208-0121  627 2.55380 LMwJMS_short 
74 0 AP890221-0286  628 2.55380 LMwJMS_short 
74 0 AP890223-0176  629 2.55380 LMwJMS_short 
74 0 AP890228-0165  630 2.55380 LMwJMS_short 
74 0 AP890306-0123  631 2.55380 LMwJMS_short 
74 0 AP890310-0099  632 2.55380 LMwJMS_short 
74 0 AP890310-0105  633 2.55380 LMwJMS_short 
74 0 AP890316-0079  634 2.55380 LMwJMS_short 
74 0 AP890327-0052  635 2.55380 LMwJMS_short 
74 0 AP890403-0048  636 2.55380 LMwJMS_short 
74 0 AP890421-0148  637 2.55380 LMwJMS_short 
74 0 AP890422-0027  638 2.55380 LMwJMS_short 
74 0 AP890504-0128  639 2.55380 LMwJMS_short 
74 0 AP890515-0166  640 2.55380 LMwJMS_short 
74 0 AP890531-0166  641 2.55380 LMwJMS_short 
74 0 AP890608-0043  642 2.55380 LMwJMS_short 
74 0 AP890611-0068  643 2.55380 LMwJMS_short 
74 0 AP890616-0211  644 2.55380 LMwJMS_short 
74 0 AP890627-0117  645 2.55380 LMwJMS_short 
74 0 AP890628-0137  646 2.55380 LMwJMS_short 
74 0 AP890628-0162  647 2.55380 LMwJMS_short 
74 0 AP890629-0189  648 2.55380 LMwJMS_short 
74 0 AP890701-0019  649 2.55380 LMwJMS_short 
74 0 AP890703-0164  650 2.55380 LMwJMS_short 
74 0 AP890706-0100  651 2.55380 LMwJMS_short 
74 0 AP890715-0142  652 2.55380 LMwJMS_short 
74 0 AP890720-0180  653 2.55380 LMwJMS_short 
74 0 AP890731-0018  654 2.55380 LMwJMS_short 
74 0 AP890809-0092  655 2.55380 LMwJMS_short 
74 0 AP890810-0117  656 2.55380 LMwJMS_short 
74 0 AP890815-0049  657 2.55380 LMwJMS_short 
74 0 AP890824-0073  658 2.55380 LMwJMS_short 
74 0 AP890828-0127  659 2.55380 LMwJMS_short 
74 0 AP890908-0165  660 2.55380 LMwJMS_short 
74 0 AP890918-0043  661 2.55380 LMwJMS_short 
74 0 AP890922-0257  662 2.55380 LMwJMS_short 
74 0 AP890924-0006  663 2.55380 LMwJMS_short 
74 0 AP890927-0199  664 2.55380 LMwJMS_short 
74 0 AP891002-0073  665 2.55380 LMwJMS_short 
74 0 AP891003-0033  666 2.55380 LMwJMS_short 
74 0 AP891003-0122  667 2.55380 LMwJMS_short 
74 0 AP891010-0180  668 2.55380 LMwJMS_short 
74 0 AP891012-0180  669 2.55380 LMwJMS_short 
74 0 AP891025-0252  670 2.55380 LMwJMS_short 
74 0 AP891106-0104  671 2.55380 LMwJMS_short 
74 0 AP891114-0092  672 2.55380 LMwJMS_short 
74 0 AP891117-0137  673 2.55380 LMwJMS_short 
74 0 AP891121-0177  674 2.55380 LMwJMS_short 
74 0 AP891208-0196  675 2.55380 LMwJMS_short 
74 0 AP891221-0131  676 2.55380 LMwJMS_short 
74 0 AP890128-0018  677 2.49444 LMwJMS_short 
74 0 AP890205-0054  678 2.49444 LMwJMS_short 
74 0 AP890210-0054  679 2.49444 LMwJMS_short 
74 0 AP890221-0104  680 2.49444 LMwJMS_short 
74 0 AP890224-0011  681 2.49444 LMwJMS_short 
74 0 AP890306-0072  682 2.49444 LMwJMS_short 
74 0 AP890311-0081  683 2.49444 LMwJMS_short 
74 0 AP890405-0043  684 2.49444 LMwJMS_short 
74 0 AP890501-0025  685 2.49444 LMwJMS_short 
74 0 AP890511-0092  686 2.49444 LMwJMS_short 
74 0 AP890526-0156  687 2.49444 LMwJMS_short 
74 0 AP890602-0173  688 2.49444 LMwJMS_short 
74 0 AP890731-0082  689 2.49444 LMwJMS_short 
74 0 AP890809-0085  690 2.49444 LMwJMS_short 
74 0 AP890908-0030  691 2.49444 LMwJMS_short 
74 0 AP890913-0093  692 2.49444 LMwJMS_short 
74 0 AP891027-0122  693 2.49444 LMwJMS_short 
74 0 AP891030-0155  694 2.49444 LMwJMS_short 
74 0 AP891103-0023  695 2.49444 LMwJMS_short 
74 0 AP891122-0047  696 2.49444 LMwJMS_short 
74 0 AP891104-0072  697 2.47384 LMwJMS_short 
74 0 AP890109-0242  698 2.46862 LMwJMS_short 
74 0 AP890220-0123  699 2.46862 LMwJMS_short 
74 0 AP890222-0092  700 2.46862 LMwJMS_short 
74 0 AP890228-0059  701 2.46862 LMwJMS_short 
74 0 AP890303-0026  702 2.46862 LMwJMS_short 
74 0 AP890329-0128  703 2.46862 LMwJMS_short 
74 0 AP890410-0017  704 2.46862 LMwJMS_short 
74 0 AP890423-0053  705 2.46862 LMwJMS_short 
74 0 AP890623-0029  706 2.46862 LMwJMS_short 
74 0 AP890530-0118  707 2.38692 LMwJMS_short 
74 0 AP890218-0015  708 2.32849 LMwJMS_short 
74 0 AP890301-0145  709 2.32849 LMwJMS_short 
74 0 AP890316-0098  710 2.32849 LMwJMS_short 
74 0 AP890506-0065  711 2.32849 LMwJMS_short 
74 0 AP890525-0117  712 2.32849 LMwJMS_short 
74 0 AP890601-0279  713 2.32849 LMwJMS_short 
74 0 AP890607-0230  714 2.32849 LMwJMS_short 
74 0 AP890612-0009  715 2.32849 LMwJMS_short 
74 0 AP891013-0095  716 2.32849 LMwJMS_short 
74 0 AP891019-0127  717 2.32849 LMwJMS_short 
74 0 AP891021-0101  718 2.32849 LMwJMS_short 
74 0 AP891214-0066  719 2.32849 LMwJMS_short 
74 0 AP891227-0019  720 2.32849 LMwJMS_short 
74 0 AP890106-0019  721 2.31027 LMwJMS_short 
74 0 AP890106-0024  722 2.31027 LMwJMS_short 
74 0 AP890112-0185  723 2.31027 LMwJMS_short 
74 0 AP890127-0211  724 2.31027 LMwJMS_short 
74 0 AP890130-0103  725 2.31027 LMwJMS_short 
74 0 AP890201-0217  726 2.31027 LMwJMS_short 
74 0 AP890202-0156  727 2.31027 LMwJMS_short 
74 0 AP890209-0117  728 2.31027 LMwJMS_short 
